plate,row,col,droplets_print,layer_label,color,well_name,alpha,display_color,marker_size,hover
1,4,15,10,"Unit 21, Unit 22",#f59e0b,D15,0.41500000000000004,"rgba(245,158,11,0.415)",16.5,"Final site D15<br>Row 3, Column 14<br>Merged droplets: 10<br>Units/layers: Unit 21, Unit 22"
1,4,16,15,"Unit 21, Unit 22, Unit 23",#0d9488,D16,0.5125,"rgba(13,148,136,0.512)",17.28660704987056,"Final site D16<br>Row 3, Column 15<br>Merged droplets: 15<br>Units/layers: Unit 21, Unit 22, Unit 23"
1,4,17,15,"Unit 22, Unit 23, Unit 24",#f59e0b,D17,0.5125,"rgba(245,158,11,0.512)",17.28660704987056,"Final site D17<br>Row 3, Column 16<br>Merged droplets: 15<br>Units/layers: Unit 22, Unit 23, Unit 24"
1,4,18,10,"Unit 23, Unit 24",#f59e0b,D18,0.41500000000000004,"rgba(245,158,11,0.415)",16.5,"Final site D18<br>Row 3, Column 17<br>Merged droplets: 10<br>Units/layers: Unit 23, Unit 24"
1,5,14,20,"Unit 19, Unit 20, Unit 21, Unit 22",#f59e0b,E14,0.61,"rgba(245,158,11,0.610)",17.949747468305834,"Final site E14<br>Row 4, Column 13<br>Merged droplets: 20<br>Units/layers: Unit 19, Unit 20, Unit 21, Unit 22"
1,5,15,25,"Unit 19, Unit 20, Unit 21, Unit 22, Unit 23",#0d9488,E15,0.7075,"rgba(13,148,136,0.708)",18.533985905294664,"Final site E15<br>Row 4, Column 14<br>Merged droplets: 25<br>Units/layers: Unit 19, Unit 20, Unit 21, Unit 22, Unit 23"
1,5,16,30,"Unit 20, Unit 21, Unit 22, Unit 23, Unit 24, Unit 25",#0d9488,E16,0.8049999999999999,"rgba(13,148,136,0.805)",19.06217782649107,"Final site E16<br>Row 4, Column 15<br>Merged droplets: 30<br>Units/layers: Unit 20, Unit 21, Unit 22, Unit 23, Unit 24, Unit 25"
1,5,17,35,"Unit 20, Unit 21, Unit 22, Unit 23, Unit 24, Unit 25, Unit 26",#f59e0b,E17,0.9025,"rgba(245,158,11,0.902)",19.547900426854397,"Final site E17<br>Row 4, Column 16<br>Merged droplets: 35<br>Units/layers: Unit 20, Unit 21, Unit 22, Unit 23, Unit 24, Unit 25, Unit 26"
1,5,18,25,"Unit 22, Unit 23, Unit 24, Unit 25, Unit 26",#f59e0b,E18,0.7075,"rgba(245,158,11,0.708)",18.533985905294664,"Final site E18<br>Row 4, Column 17<br>Merged droplets: 25<br>Units/layers: Unit 22, Unit 23, Unit 24, Unit 25, Unit 26"
1,5,19,25,"Unit 23, Unit 24, Unit 25, Unit 26, Unit 27",#0d9488,E19,0.7075,"rgba(13,148,136,0.708)",18.533985905294664,"Final site E19<br>Row 4, Column 18<br>Merged droplets: 25<br>Units/layers: Unit 23, Unit 24, Unit 25, Unit 26, Unit 27"
1,5,20,10,"Unit 25, Unit 26",#f59e0b,E20,0.41500000000000004,"rgba(245,158,11,0.415)",16.5,"Final site E20<br>Row 4, Column 19<br>Merged droplets: 10<br>Units/layers: Unit 25, Unit 26"
1,6,12,5,Unit 18,#f59e0b,F12,0.3175,"rgba(245,158,11,0.318)",15.474873734152917,"Final site F12<br>Row 5, Column 11<br>Merged droplets: 5<br>Units/layers: Unit 18"
1,6,13,20,"Unit 17, Unit 18, Unit 19, Unit 20",#f59e0b,F13,0.61,"rgba(245,158,11,0.610)",17.949747468305834,"Final site F13<br>Row 5, Column 12<br>Merged droplets: 20<br>Units/layers: Unit 17, Unit 18, Unit 19, Unit 20"
