plate,row,col,droplets_print,layer_label,color,shape
1,4,18,5,Unit 23,#0d9488,circle
1,4,18,5,Unit 24,#f59e0b,circle
1,4,17,5,Unit 22,#f59e0b,circle
1,4,17,5,Unit 23,#0d9488,circle
1,4,17,5,Unit 24,#f59e0b,circle
1,4,16,5,Unit 21,#0d9488,circle
1,4,16,5,Unit 22,#f59e0b,circle
1,4,16,5,Unit 23,#0d9488,circle
1,4,15,5,Unit 21,#0d9488,circle
1,4,15,5,Unit 22,#f59e0b,circle
1,5,14,5,Unit 19,#0d9488,circle
1,5,14,5,Unit 20,#f59e0b,circle
1,5,14,5,Unit 21,#0d9488,circle
1,5,14,5,Unit 22,#f59e0b,circle
1,5,15,5,Unit 19,#0d9488,circle
1,5,15,5,Unit 20,#f59e0b,circle
1,5,15,5,Unit 21,#0d9488,circle
1,5,15,5,Unit 23,#0d9488,circle
1,5,15,5,Unit 22,#f59e0b,circle
1,5,16,5,Unit 25,#0d9488,circle
1,5,16,5,Unit 24,#f59e0b,circle
1,5,16,5,Unit 22,#f59e0b,circle
1,5,16,5,Unit 23,#0d9488,circle
1,5,16,5,Unit 21,#0d9488,circle
1,5,16,5,Unit 20,#f59e0b,circle
1,5,17,5,Unit 22,#f59e0b,circle
1,5,17,5,Unit 23,#0d9488,circle
1,5,17,5,Unit 20,#f59e0b,circle
1,5,17,5,Unit 24,#f59e0b,circle
1,5,17,5,Unit 21,#0d9488,circle
1,5,17,5,Unit 25,#0d9488,circle
1,5,17,5,Unit 26,#f59e0b,circle
1,5,18,5,Unit 22,#f59e0b,circle
1,5,18,5,Unit 23,#0d9488,circle
1,5,18,5,Unit 26,#f59e0b,circle
1,5,18,5,Unit 24,#f59e0b,circle
1,5,18,5,Unit 25,#0d9488,circle
1,5,19,5,Unit 26,#f59e0b,circle
1,5,19,5,Unit 24,#f59e0b,circle
1,5,19,5,Unit 25,#0d9488,circle
1,5,19,5,Unit 23,#0d9488,circle
1,5,19,5,Unit 27,#0d9488,circle
1,5,20,5,Unit 26,#f59e0b,circle
1,5,20,5,Unit 25,#0d9488,circle
1,6,21,5,Unit 28,#f59e0b,circle
1,6,21,5,Unit 27,#0d9488,circle
1,6,20,5,Unit 26,#f59e0b,circle
1,6,20,5,Unit 28,#f59e0b,circle
1,6,20,5,Unit 27,#0d9488,circle
1,6,20,5,Unit 25,#0d9488,circle
1,6,19,5,Unit 24,#f59e0b,circle
1,6,19,5,Unit 25,#0d9488,circle
1,6,19,5,Unit 26,#f59e0b,circle
1,6,19,5,Unit 23,#0d9488,circle
1,6,19,5,Unit 27,#0d9488,circle
1,6,19,5,Unit 28,#f59e0b,circle
1,6,18,5,Unit 22,#f59e0b,circle
1,6,18,5,Unit 23,#0d9488,circle
1,6,18,5,Unit 27,#0d9488,circle
1,6,18,5,Unit 25,#0d9488,circle
1,6,18,5,Unit 24,#f59e0b,circle
1,6,18,5,Unit 26,#f59e0b,circle
1,6,17,5,Unit 27,#0d9488,circle
1,6,17,5,Unit 23,#0d9488,circle
1,6,17,5,Unit 24,#f59e0b,circle
1,6,17,5,Unit 20,#f59e0b,circle
1,6,17,5,Unit 22,#f59e0b,circle
1,6,17,5,Unit 21,#0d9488,circle
1,6,17,5,Unit 25,#0d9488,circle
1,6,17,5,Unit 26,#f59e0b,circle
1,6,16,5,Unit 24,#f59e0b,circle
1,6,16,5,Unit 25,#0d9488,circle
1,6,16,5,Unit 23,#0d9488,circle
1,6,16,5,Unit 22,#f59e0b,circle
1,6,16,5,Unit 21,#0d9488,circle
1,6,16,5,Unit 20,#f59e0b,circle
1,6,16,5,Unit 19,#0d9488,circle
1,6,15,5,Unit 22,#f59e0b,circle
1,6,15,5,Unit 21,#0d9488,circle
1,6,15,5,Unit 20,#f59e0b,circle
1,6,15,5,Unit 23,#0d9488,circle
1,6,15,5,Unit 19,#0d9488,circle
1,6,15,5,Unit 18,#f59e0b,circle
1,6,14,5,Unit 17,#0d9488,circle
1,6,14,5,Unit 18,#f59e0b,circle
1,6,14,5,Unit 21,#0d9488,circle
1,6,14,5,Unit 20,#f59e0b,circle
1,6,14,5,Unit 19,#0d9488,circle
1,6,13,5,Unit 18,#f59e0b,circle
1,6,13,5,Unit 20,#f59e0b,circle
1,6,13,5,Unit 19,#0d9488,circle
1,6,13,5,Unit 17,#0d9488,circle
1,6,12,5,Unit 18,#f59e0b,circle
1,7,4,5,Unit 01,#0d9488,circle
1,7,12,5,Unit 16,#f59e0b,circle
1,7,12,5,Unit 18,#f59e0b,circle
1,7,12,5,Unit 17,#0d9488,circle
1,7,13,5,Unit 19,#0d9488,circle
1,7,13,5,Unit 18,#f59e0b,circle
1,7,13,5,Unit 16,#f59e0b,circle
1,7,13,5,Unit 17,#0d9488,circle
1,7,14,5,Unit 17,#0d9488,circle
1,7,14,5,Unit 16,#f59e0b,circle
1,7,14,5,Unit 20,#f59e0b,circle
1,7,14,5,Unit 18,#f59e0b,circle
1,7,14,5,Unit 19,#0d9488,circle
1,7,15,5,Unit 17,#0d9488,circle
1,7,15,5,Unit 18,#f59e0b,circle
1,7,15,5,Unit 21,#0d9488,circle
1,7,15,5,Unit 19,#0d9488,circle
1,7,15,5,Unit 20,#f59e0b,circle
1,7,16,5,Unit 20,#f59e0b,circle
1,7,16,5,Unit 21,#0d9488,circle
1,7,16,5,Unit 18,#f59e0b,circle
1,7,16,5,Unit 19,#0d9488,circle
1,7,17,5,Unit 25,#0d9488,circle
1,7,17,5,Unit 26,#f59e0b,circle
1,7,17,5,Unit 27,#0d9488,circle
1,7,18,5,Unit 25,#0d9488,circle
1,7,18,5,Unit 26,#f59e0b,circle
1,7,18,5,Unit 28,#f59e0b,circle
1,7,18,5,Unit 27,#0d9488,circle
1,7,19,5,Unit 29,#0d9488,circle
1,7,19,5,Unit 28,#f59e0b,circle
1,7,19,5,Unit 27,#0d9488,circle
1,7,19,5,Unit 26,#f59e0b,circle
1,7,19,5,Unit 25,#0d9488,circle
1,7,20,5,Unit 27,#0d9488,circle
1,7,20,5,Unit 28,#f59e0b,circle
1,7,20,5,Unit 29,#0d9488,circle
1,7,20,5,Unit 26,#f59e0b,circle
1,7,21,5,Unit 27,#0d9488,circle
1,7,21,5,Unit 28,#f59e0b,circle
1,7,21,5,Unit 29,#0d9488,circle
1,7,21,5,Unit 30,#f59e0b,circle
1,7,22,5,Unit 28,#f59e0b,circle
1,7,22,5,Unit 29,#0d9488,circle
1,8,23,5,Unit 30,#f59e0b,circle
1,8,22,5,Unit 30,#f59e0b,circle
1,8,22,5,Unit 29,#0d9488,circle
1,8,21,5,Unit 30,#f59e0b,circle
1,8,21,5,Unit 29,#0d9488,circle
1,8,21,5,Unit 28,#f59e0b,circle
1,8,20,5,Unit 27,#0d9488,circle
1,8,20,5,Unit 30,#f59e0b,circle
1,8,20,5,Unit 29,#0d9488,circle
1,8,20,5,Unit 28,#f59e0b,circle
1,8,19,5,Unit 30,#f59e0b,circle
1,8,19,5,Unit 29,#0d9488,circle
1,8,19,5,Unit 27,#0d9488,circle
1,8,19,5,Unit 28,#f59e0b,circle
1,8,18,5,Unit 29,#0d9488,circle
1,8,18,5,Unit 28,#f59e0b,circle
1,8,15,5,Unit 17,#0d9488,circle
1,8,15,5,Unit 18,#f59e0b,circle
1,8,15,5,Unit 16,#f59e0b,circle
1,8,14,5,Unit 18,#f59e0b,circle
1,8,14,5,Unit 17,#0d9488,circle
1,8,14,5,Unit 15,#0d9488,circle
1,8,14,5,Unit 16,#f59e0b,circle
1,8,13,5,Unit 15,#0d9488,circle
1,8,13,5,Unit 18,#f59e0b,circle
1,8,13,5,Unit 16,#f59e0b,circle
1,8,13,5,Unit 17,#0d9488,circle
1,8,12,5,Unit 14,#f59e0b,circle
1,8,12,5,Unit 15,#0d9488,circle
1,8,12,5,Unit 16,#f59e0b,circle
1,8,12,5,Unit 17,#0d9488,circle
1,8,11,5,Unit 16,#f59e0b,circle
1,8,11,5,Unit 15,#0d9488,circle
1,8,11,5,Unit 14,#f59e0b,circle
1,8,6,5,Unit 02,#f59e0b,circle
1,8,6,5,Unit 01,#0d9488,circle
1,8,5,5,Unit 02,#f59e0b,circle
1,8,5,5,Unit 01,#0d9488,circle
1,8,4,5,Unit 01,#0d9488,circle
1,8,4,5,Unit 02,#f59e0b,circle
1,8,3,5,Unit 01,#0d9488,circle
1,8,2,5,Unit 01,#0d9488,circle
1,9,2,5,Unit 01,#0d9488,circle
1,9,3,5,Unit 01,#0d9488,circle
1,9,3,5,Unit 02,#f59e0b,circle
1,9,4,5,Unit 02,#f59e0b,circle
1,9,4,5,Unit 03,#0d9488,circle
1,9,4,5,Unit 01,#0d9488,circle
1,9,5,5,Unit 01,#0d9488,circle
1,9,5,5,Unit 02,#f59e0b,circle
1,9,5,5,Unit 03,#0d9488,circle
1,9,5,5,Unit 04,#f59e0b,circle
1,9,6,5,Unit 02,#f59e0b,circle
1,9,6,5,Unit 03,#0d9488,circle
1,9,6,5,Unit 04,#f59e0b,circle
1,9,6,5,Unit 01,#0d9488,circle
1,9,7,5,Unit 02,#f59e0b,circle
1,9,7,5,Unit 03,#0d9488,circle
1,9,10,5,Unit 14,#f59e0b,circle
1,9,10,5,Unit 13,#0d9488,circle
1,9,10,5,Unit 15,#0d9488,circle
1,9,11,5,Unit 16,#f59e0b,circle
1,9,11,5,Unit 15,#0d9488,circle
1,9,11,5,Unit 14,#f59e0b,circle
1,9,11,5,Unit 13,#0d9488,circle
1,9,12,5,Unit 13,#0d9488,circle
1,9,12,5,Unit 15,#0d9488,circle
