plate,row,col,x_norm,y_norm,layer_order,layer_label,color,shape,droplets_print,well_name,hover
1,7,4,0.14583333333333334,0.40625,0,Unit 01,#0d9488,circle,5,G4,"Unit 01<br>Grid site G4<br>Row 6, Column 3<br>Droplets: 5"
1,8,2,0.0625,0.46875,0,Unit 01,#0d9488,circle,5,H2,"Unit 01<br>Grid site H2<br>Row 7, Column 1<br>Droplets: 5"
1,8,3,0.10416666666666667,0.46875,0,Unit 01,#0d9488,circle,5,H3,"Unit 01<br>Grid site H3<br>Row 7, Column 2<br>Droplets: 5"
1,8,4,0.14583333333333334,0.46875,0,Unit 01,#0d9488,circle,5,H4,"Unit 01<br>Grid site H4<br>Row 7, Column 3<br>Droplets: 5"
1,8,5,0.1875,0.46875,0,Unit 01,#0d9488,circle,5,H5,"Unit 01<br>Grid site H5<br>Row 7, Column 4<br>Droplets: 5"
1,8,6,0.22916666666666666,0.46875,0,Unit 01,#0d9488,circle,5,H6,"Unit 01<br>Grid site H6<br>Row 7, Column 5<br>Droplets: 5"
1,9,2,0.0625,0.53125,0,Unit 01,#0d9488,circle,5,I2,"Unit 01<br>Grid site I2<br>Row 8, Column 1<br>Droplets: 5"
1,9,3,0.10416666666666667,0.53125,0,Unit 01,#0d9488,circle,5,I3,"Unit 01<br>Grid site I3<br>Row 8, Column 2<br>Droplets: 5"
1,9,4,0.14583333333333334,0.53125,0,Unit 01,#0d9488,circle,5,I4,"Unit 01<br>Grid site I4<br>Row 8, Column 3<br>Droplets: 5"
1,9,5,0.1875,0.53125,0,Unit 01,#0d9488,circle,5,I5,"Unit 01<br>Grid site I5<br>Row 8, Column 4<br>Droplets: 5"
1,9,6,0.22916666666666666,0.53125,0,Unit 01,#0d9488,circle,5,I6,"Unit 01<br>Grid site I6<br>Row 8, Column 5<br>Droplets: 5"
1,10,4,0.14583333333333334,0.59375,0,Unit 01,#0d9488,circle,5,J4,"Unit 01<br>Grid site J4<br>Row 9, Column 3<br>Droplets: 5"
1,8,4,0.14583333333333334,0.46875,1,Unit 02,#f59e0b,circle,5,H4,"Unit 02<br>Grid site H4<br>Row 7, Column 3<br>Droplets: 5"
1,8,5,0.1875,0.46875,1,Unit 02,#f59e0b,circle,5,H5,"Unit 02<br>Grid site H5<br>Row 7, Column 4<br>Droplets: 5"
1,8,6,0.22916666666666666,0.46875,1,Unit 02,#f59e0b,circle,5,H6,"Unit 02<br>Grid site H6<br>Row 7, Column 5<br>Droplets: 5"
1,9,3,0.10416666666666667,0.53125,1,Unit 02,#f59e0b,circle,5,I3,"Unit 02<br>Grid site I3<br>Row 8, Column 2<br>Droplets: 5"
