plate,row,col,droplets_print,layer_label,color,well_name,alpha,display_color,marker_size,hover
1,4,9,5,Reaction-diffusion flower,#0d9488,D9,1.0,"rgba(13,148,136,1.000)",20.0,"Final site D9<br>Row 3, Column 8<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,4,10,5,Reaction-diffusion flower,#0d9488,D10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site D10<br>Row 3, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,4,15,5,Reaction-diffusion flower,#0d9488,D15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site D15<br>Row 3, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,4,16,5,Reaction-diffusion flower,#0d9488,D16,1.0,"rgba(13,148,136,1.000)",20.0,"Final site D16<br>Row 3, Column 15<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,5,9,5,Reaction-diffusion flower,#0d9488,E9,1.0,"rgba(13,148,136,1.000)",20.0,"Final site E9<br>Row 4, Column 8<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,5,10,5,Reaction-diffusion flower,#0d9488,E10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site E10<br>Row 4, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,5,11,5,Reaction-diffusion flower,#0d9488,E11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site E11<br>Row 4, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,5,14,5,Reaction-diffusion flower,#0d9488,E14,1.0,"rgba(13,148,136,1.000)",20.0,"Final site E14<br>Row 4, Column 13<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,5,15,5,Reaction-diffusion flower,#0d9488,E15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site E15<br>Row 4, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,5,16,5,Reaction-diffusion flower,#0d9488,E16,1.0,"rgba(13,148,136,1.000)",20.0,"Final site E16<br>Row 4, Column 15<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,6,10,5,Reaction-diffusion flower,#0d9488,F10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site F10<br>Row 5, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,6,11,5,Reaction-diffusion flower,#0d9488,F11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site F11<br>Row 5, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,6,12,5,Reaction-diffusion flower,#0d9488,F12,1.0,"rgba(13,148,136,1.000)",20.0,"Final site F12<br>Row 5, Column 11<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,6,13,5,Reaction-diffusion flower,#0d9488,F13,1.0,"rgba(13,148,136,1.000)",20.0,"Final site F13<br>Row 5, Column 12<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,6,14,5,Reaction-diffusion flower,#0d9488,F14,1.0,"rgba(13,148,136,1.000)",20.0,"Final site F14<br>Row 5, Column 13<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,6,15,5,Reaction-diffusion flower,#0d9488,F15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site F15<br>Row 5, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,7,10,5,Reaction-diffusion flower,#0d9488,G10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site G10<br>Row 6, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,7,11,5,Reaction-diffusion flower,#0d9488,G11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site G11<br>Row 6, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,7,12,5,Reaction-diffusion flower,#0d9488,G12,1.0,"rgba(13,148,136,1.000)",20.0,"Final site G12<br>Row 6, Column 11<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,7,13,5,Reaction-diffusion flower,#0d9488,G13,1.0,"rgba(13,148,136,1.000)",20.0,"Final site G13<br>Row 6, Column 12<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,7,14,5,Reaction-diffusion flower,#0d9488,G14,1.0,"rgba(13,148,136,1.000)",20.0,"Final site G14<br>Row 6, Column 13<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,7,15,5,Reaction-diffusion flower,#0d9488,G15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site G15<br>Row 6, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,6,5,Reaction-diffusion flower,#0d9488,H6,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H6<br>Row 7, Column 5<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,7,5,Reaction-diffusion flower,#0d9488,H7,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H7<br>Row 7, Column 6<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,8,5,Reaction-diffusion flower,#0d9488,H8,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H8<br>Row 7, Column 7<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,9,5,Reaction-diffusion flower,#0d9488,H9,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H9<br>Row 7, Column 8<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,10,5,Reaction-diffusion flower,#0d9488,H10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H10<br>Row 7, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,11,5,Reaction-diffusion flower,#0d9488,H11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H11<br>Row 7, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,14,5,Reaction-diffusion flower,#0d9488,H14,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H14<br>Row 7, Column 13<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,15,5,Reaction-diffusion flower,#0d9488,H15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H15<br>Row 7, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,16,5,Reaction-diffusion flower,#0d9488,H16,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H16<br>Row 7, Column 15<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,17,5,Reaction-diffusion flower,#0d9488,H17,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H17<br>Row 7, Column 16<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,18,5,Reaction-diffusion flower,#0d9488,H18,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H18<br>Row 7, Column 17<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,8,19,5,Reaction-diffusion flower,#0d9488,H19,1.0,"rgba(13,148,136,1.000)",20.0,"Final site H19<br>Row 7, Column 18<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,6,5,Reaction-diffusion flower,#0d9488,I6,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I6<br>Row 8, Column 5<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,7,5,Reaction-diffusion flower,#0d9488,I7,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I7<br>Row 8, Column 6<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,8,5,Reaction-diffusion flower,#0d9488,I8,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I8<br>Row 8, Column 7<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,9,5,Reaction-diffusion flower,#0d9488,I9,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I9<br>Row 8, Column 8<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,10,5,Reaction-diffusion flower,#0d9488,I10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I10<br>Row 8, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,11,5,Reaction-diffusion flower,#0d9488,I11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I11<br>Row 8, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,14,5,Reaction-diffusion flower,#0d9488,I14,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I14<br>Row 8, Column 13<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,15,5,Reaction-diffusion flower,#0d9488,I15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I15<br>Row 8, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,16,5,Reaction-diffusion flower,#0d9488,I16,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I16<br>Row 8, Column 15<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,17,5,Reaction-diffusion flower,#0d9488,I17,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I17<br>Row 8, Column 16<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,18,5,Reaction-diffusion flower,#0d9488,I18,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I18<br>Row 8, Column 17<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,9,19,5,Reaction-diffusion flower,#0d9488,I19,1.0,"rgba(13,148,136,1.000)",20.0,"Final site I19<br>Row 8, Column 18<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,10,10,5,Reaction-diffusion flower,#0d9488,J10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site J10<br>Row 9, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,10,11,5,Reaction-diffusion flower,#0d9488,J11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site J11<br>Row 9, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
