plate,row,col,droplets_print,layer_label,color,shape
1,4,16,5,Reaction-diffusion flower,#0d9488,stencil
1,4,15,5,Reaction-diffusion flower,#0d9488,stencil
1,4,10,5,Reaction-diffusion flower,#0d9488,stencil
1,4,9,5,Reaction-diffusion flower,#0d9488,stencil
1,5,9,5,Reaction-diffusion flower,#0d9488,stencil
1,5,10,5,Reaction-diffusion flower,#0d9488,stencil
1,5,11,5,Reaction-diffusion flower,#0d9488,stencil
1,5,14,5,Reaction-diffusion flower,#0d9488,stencil
1,5,15,5,Reaction-diffusion flower,#0d9488,stencil
1,5,16,5,Reaction-diffusion flower,#0d9488,stencil
1,6,15,5,Reaction-diffusion flower,#0d9488,stencil
1,6,14,5,Reaction-diffusion flower,#0d9488,stencil
1,6,13,5,Reaction-diffusion flower,#0d9488,stencil
1,6,12,5,Reaction-diffusion flower,#0d9488,stencil
1,6,11,5,Reaction-diffusion flower,#0d9488,stencil
1,6,10,5,Reaction-diffusion flower,#0d9488,stencil
1,7,10,5,Reaction-diffusion flower,#0d9488,stencil
1,7,11,5,Reaction-diffusion flower,#0d9488,stencil
1,7,12,5,Reaction-diffusion flower,#0d9488,stencil
1,7,13,5,Reaction-diffusion flower,#0d9488,stencil
1,7,14,5,Reaction-diffusion flower,#0d9488,stencil
1,7,15,5,Reaction-diffusion flower,#0d9488,stencil
1,8,19,5,Reaction-diffusion flower,#0d9488,stencil
1,8,18,5,Reaction-diffusion flower,#0d9488,stencil
1,8,17,5,Reaction-diffusion flower,#0d9488,stencil
1,8,16,5,Reaction-diffusion flower,#0d9488,stencil
1,8,15,5,Reaction-diffusion flower,#0d9488,stencil
1,8,14,5,Reaction-diffusion flower,#0d9488,stencil
1,8,11,5,Reaction-diffusion flower,#0d9488,stencil
1,8,10,5,Reaction-diffusion flower,#0d9488,stencil
1,8,9,5,Reaction-diffusion flower,#0d9488,stencil
1,8,8,5,Reaction-diffusion flower,#0d9488,stencil
1,8,7,5,Reaction-diffusion flower,#0d9488,stencil
1,8,6,5,Reaction-diffusion flower,#0d9488,stencil
1,9,6,5,Reaction-diffusion flower,#0d9488,stencil
1,9,7,5,Reaction-diffusion flower,#0d9488,stencil
1,9,8,5,Reaction-diffusion flower,#0d9488,stencil
1,9,9,5,Reaction-diffusion flower,#0d9488,stencil
1,9,10,5,Reaction-diffusion flower,#0d9488,stencil
1,9,11,5,Reaction-diffusion flower,#0d9488,stencil
1,9,14,5,Reaction-diffusion flower,#0d9488,stencil
1,9,15,5,Reaction-diffusion flower,#0d9488,stencil
1,9,16,5,Reaction-diffusion flower,#0d9488,stencil
1,9,17,5,Reaction-diffusion flower,#0d9488,stencil
1,9,18,5,Reaction-diffusion flower,#0d9488,stencil
1,9,19,5,Reaction-diffusion flower,#0d9488,stencil
1,10,15,5,Reaction-diffusion flower,#0d9488,stencil
1,10,14,5,Reaction-diffusion flower,#0d9488,stencil
1,10,13,5,Reaction-diffusion flower,#0d9488,stencil
1,10,12,5,Reaction-diffusion flower,#0d9488,stencil
1,10,11,5,Reaction-diffusion flower,#0d9488,stencil
1,10,10,5,Reaction-diffusion flower,#0d9488,stencil
1,11,10,5,Reaction-diffusion flower,#0d9488,stencil
1,11,11,5,Reaction-diffusion flower,#0d9488,stencil
1,11,12,5,Reaction-diffusion flower,#0d9488,stencil
1,11,13,5,Reaction-diffusion flower,#0d9488,stencil
1,11,14,5,Reaction-diffusion flower,#0d9488,stencil
1,11,15,5,Reaction-diffusion flower,#0d9488,stencil
1,12,16,5,Reaction-diffusion flower,#0d9488,stencil
1,12,15,5,Reaction-diffusion flower,#0d9488,stencil
1,12,14,5,Reaction-diffusion flower,#0d9488,stencil
1,12,11,5,Reaction-diffusion flower,#0d9488,stencil
1,12,10,5,Reaction-diffusion flower,#0d9488,stencil
1,12,9,5,Reaction-diffusion flower,#0d9488,stencil
1,13,9,5,Reaction-diffusion flower,#0d9488,stencil
1,13,10,5,Reaction-diffusion flower,#0d9488,stencil
1,13,15,5,Reaction-diffusion flower,#0d9488,stencil
1,13,16,5,Reaction-diffusion flower,#0d9488,stencil
