plate,row,col,x_norm,y_norm,layer_order,layer_label,color,shape,droplets_print,well_name,hover
1,4,9,0.3541666666666667,0.21875,0,Reaction-diffusion flower,#0d9488,stencil,5,D9,"Reaction-diffusion flower<br>Grid site D9<br>Row 3, Column 8<br>Droplets: 5"
1,4,10,0.3958333333333333,0.21875,0,Reaction-diffusion flower,#0d9488,stencil,5,D10,"Reaction-diffusion flower<br>Grid site D10<br>Row 3, Column 9<br>Droplets: 5"
1,4,15,0.6041666666666666,0.21875,0,Reaction-diffusion flower,#0d9488,stencil,5,D15,"Reaction-diffusion flower<br>Grid site D15<br>Row 3, Column 14<br>Droplets: 5"
1,4,16,0.6458333333333334,0.21875,0,Reaction-diffusion flower,#0d9488,stencil,5,D16,"Reaction-diffusion flower<br>Grid site D16<br>Row 3, Column 15<br>Droplets: 5"
1,5,9,0.3541666666666667,0.28125,0,Reaction-diffusion flower,#0d9488,stencil,5,E9,"Reaction-diffusion flower<br>Grid site E9<br>Row 4, Column 8<br>Droplets: 5"
1,5,10,0.3958333333333333,0.28125,0,Reaction-diffusion flower,#0d9488,stencil,5,E10,"Reaction-diffusion flower<br>Grid site E10<br>Row 4, Column 9<br>Droplets: 5"
1,5,11,0.4375,0.28125,0,Reaction-diffusion flower,#0d9488,stencil,5,E11,"Reaction-diffusion flower<br>Grid site E11<br>Row 4, Column 10<br>Droplets: 5"
1,5,14,0.5625,0.28125,0,Reaction-diffusion flower,#0d9488,stencil,5,E14,"Reaction-diffusion flower<br>Grid site E14<br>Row 4, Column 13<br>Droplets: 5"
1,5,15,0.6041666666666666,0.28125,0,Reaction-diffusion flower,#0d9488,stencil,5,E15,"Reaction-diffusion flower<br>Grid site E15<br>Row 4, Column 14<br>Droplets: 5"
1,5,16,0.6458333333333334,0.28125,0,Reaction-diffusion flower,#0d9488,stencil,5,E16,"Reaction-diffusion flower<br>Grid site E16<br>Row 4, Column 15<br>Droplets: 5"
