Row,Column,Droplet
0,1,5
0,2,2
0,3,4
0,4,6
0,5,4
0,6,3
0,7,5
0,8,7
0,9,6
0,10,1
0,11,5
0,12,7
0,14,3
0,15,6
0,16,6
0,17,7
0,18,6
0,19,5
0,21,2
0,22,3
0,23,2
1,0,6
1,1,2
1,2,3
1,3,3
1,4,5
1,5,4
1,6,5
1,7,1
1,8,5
1,9,4
1,10,3
1,11,3
1,12,8
1,13,8
1,14,3
1,17,1
1,18,2
1,19,5
1,20,6
1,22,2
1,23,3
2,0,5
2,1,1
2,2,1
2,3,4
2,5,1
2,6,4
2,7,7
2,8,6
2,9,2
2,10,5
2,11,3
2,12,8
2,13,4
2,14,2
2,15,5
2,16,2
2,17,5
2,18,5
2,19,7
2,20,1
2,21,5
2,22,5
2,23,4
3,0,7
3,1,6
3,2,5
3,3,5
3,4,5
3,5,5
3,6,4
3,7,3
3,9,2
3,10,4
3,11,3
3,12,6
3,13,1
3,14,1
3,15,2
3,16,5
3,18,6
3,19,4
3,20,6
3,21,5
3,22,4
3,23,2
