Row,Column,Droplet
0,1,1
0,3,3
0,5,1
0,7,3
0,8,3
0,9,5
0,10,5
0,11,3
0,12,1
0,14,1
0,15,3
0,17,5
0,20,5
0,21,5
0,22,1
1,0,5
1,1,1
1,2,5
1,3,5
1,4,5
1,6,1
1,7,5
1,8,3
1,9,5
1,10,5
1,11,3
1,12,3
1,18,3
1,19,1
1,21,3
1,22,1
2,0,5
2,2,3
2,3,5
2,5,1
2,7,3
2,8,1
2,9,3
2,10,1
2,11,1
2,12,1
2,14,1
2,15,5
2,16,5
2,17,5
2,18,3
2,20,5
2,21,3
2,22,3
2,23,5
3,0,3
3,1,1
3,2,3
3,4,3
3,5,1
3,6,1
3,7,3
3,8,1
3,9,1
3,10,3
3,11,5
3,12,1
3,13,5
3,15,5
3,16,1
3,18,3
3,19,1
3,20,1
3,21,3
3,22,1
4,0,3
4,1,3
4,2,5
4,3,1
4,4,5
4,5,5
4,6,3
4,7,5
4,8,1
4,10,3
4,11,5
