Row,Column,Droplet
0,0,7
0,1,4
0,2,5
0,3,2
0,4,6
0,5,4
0,6,6
0,7,2
0,8,4
0,11,2
0,12,4
0,13,5
0,14,5
0,15,2
0,16,5
0,17,1
0,18,5
0,19,5
0,20,1
0,22,5
0,23,5
1,1,5
1,3,2
1,5,6
1,6,4
1,8,2
1,10,1
1,11,2
1,12,4
1,13,5
1,14,5
1,15,7
1,16,6
1,17,5
1,18,2
1,19,4
1,20,5
1,21,3
1,22,4
1,23,5
2,1,5
2,2,3
2,3,1
2,4,6
2,5,4
2,6,6
2,7,3
2,8,5
2,9,3
2,10,4
2,11,5
2,12,6
2,13,6
2,14,4
2,17,1
2,18,2
2,19,5
2,20,1
2,21,2
2,22,2
3,0,2
3,1,4
3,2,2
3,3,5
3,4,2
3,5,4
3,6,5
3,7,2
3,8,6
3,9,4
3,10,3
3,11,2
3,12,4
3,14,6
3,15,1
3,16,5
3,17,7
3,18,4
3,19,4
3,20,6
3,21,3
3,22,5
3,23,6
4,0,3
4,1,3
4,2,1
4,3,5
4,4,2
4,5,1
4,6,3
4,8,4
4,9,5
4,10,2
