reaction,well_id,well_name,bR_G,lipo,mCherry,water,wce
0,100,E05,0.0,3.787878787878788,1.0,0.06060606060606061,0.7575757575757576
1,90,D19,0.0,2.272727272727273,1.0,0.12121212121212122,0.7575757575757576
2,92,D21,0.0,0.7575757575757576,1.0,0.18181818181818182,0.7575757575757576
3,89,D18,0.0,0.0,1.0,0.21212121212121213,0.7575757575757576
4,101,E06,1.0,3.787878787878788,1.0,0.030303030303030304,0.7575757575757576
5,55,C08,1.0,2.272727272727273,1.0,0.09090909090909091,0.7575757575757576
6,88,D17,1.0,0.7575757575757576,1.0,0.15151515151515152,0.7575757575757576
7,54,C07,1.0,0.0,1.0,0.18181818181818182,0.7575757575757576
8,48,C01,2.0,3.787878787878788,1.0,0.0,0.7575757575757576
9,66,C19,2.0,2.272727272727273,1.0,0.06060606060606061,0.7575757575757576
10,58,C11,2.0,0.7575757575757576,1.0,0.12121212121212122,0.7575757575757576
11,2,A03,2.0,0.0,1.0,0.15151515151515152,0.7575757575757576
12,87,D16,3.0,3.787878787878788,1.0,0.030303030303030304,0.7575757575757576
13,102,E07,3.0,2.272727272727273,1.0,0.09090909090909091,0.7575757575757576
14,56,C09,3.0,0.7575757575757576,1.0,0.15151515151515152,0.7575757575757576
15,95,D24,3.0,0.0,1.0,0.18181818181818182,0.7575757575757576
16,107,E12,6.0,3.787878787878788,1.0,0.0,0.7575757575757576
17,42,B19,6.0,2.272727272727273,1.0,0.06060606060606061,0.7575757575757576
18,62,C15,6.0,0.7575757575757576,1.0,0.12121212121212122,0.7575757575757576
19,105,E10,6.0,0.0,1.0,0.15151515151515152,0.7575757575757576
20,17,A18,4.0,3.787878787878788,1.0,0.030303030303030304,0.7575757575757576
21,97,E02,4.0,2.272727272727273,1.0,0.09090909090909091,0.7575757575757576
22,59,C12,4.0,0.7575757575757576,1.0,0.15151515151515152,0.7575757575757576
23,86,D15,4.0,0.0,1.0,0.18181818181818182,0.7575757575757576
24,33,B10,8.0,3.787878787878788,1.0,0.0,0.7575757575757576
25,35,B12,8.0,2.272727272727273,1.0,0.06060606060606061,0.7575757575757576
26,46,B23,8.0,0.7575757575757576,1.0,0.12121212121212122,0.7575757575757576
27,44,B21,8.0,0.0,1.0,0.15151515151515152,0.7575757575757576
28,31,B08,5.0,3.787878787878788,1.0,0.0,0.7575757575757576
29,70,C23,5.0,2.272727272727273,1.0,0.06060606060606061,0.7575757575757576
30,53,C06,5.0,0.7575757575757576,1.0,0.12121212121212122,0.7575757575757576
31,38,B15,5.0,0.0,1.0,0.15151515151515152,0.7575757575757576
32,10,A11,7.0,3.787878787878788,1.0,0.0,0.7575757575757576
33,32,B09,7.0,2.272727272727273,1.0,0.06060606060606061,0.7575757575757576
34,73,D02,7.0,0.7575757575757576,1.0,0.12121212121212122,0.7575757575757576
35,19,A20,7.0,0.0,1.0,0.15151515151515152,0.7575757575757576
