Row,Column,Droplet
0,0,3
0,1,4
0,2,5
0,5,4
0,6,5
0,7,2
0,8,4
0,10,4
0,11,4
0,13,4
0,14,2
0,15,4
0,16,5
0,18,2
0,19,4
0,21,2
0,22,4
0,23,2
1,0,6
1,1,4
1,2,2
1,4,3
1,5,5
1,6,2
1,8,4
1,9,2
1,10,2
1,11,2
1,13,7
1,14,2
1,15,2
1,16,4
1,17,4
1,18,2
1,19,2
1,20,2
1,21,2
1,22,5
1,23,4
2,0,2
2,3,4
2,4,4
2,5,2
2,7,2
2,8,2
2,9,2
2,10,4
2,12,4
2,13,2
2,14,6
2,15,4
2,16,2
2,17,3
2,18,4
2,19,3
2,20,2
2,21,2
2,23,5
3,0,5
3,1,4
3,2,3
3,3,2
3,4,4
3,5,3
3,6,5
3,7,4
3,8,2
3,9,4
3,10,4
3,11,2
3,12,4
3,14,2
3,15,2
3,16,3
3,17,4
3,18,4
3,19,4
3,20,7
3,21,2
3,22,4
3,23,3
4,2,2
4,4,2
4,5,5
4,6,4
4,7,2
4,11,2
4,12,2
4,13,4
4,14,2
4,16,2
4,17,5
4,18,2
4,19,4
4,21,4
4,22,2
4,23,2
5,0,2
5,1,2
5,2,2
5,3,4
5,4,2
5,7,4
5,8,2
5,9,3
5,10,2
5,11,2
5,12,2
5,13,3
5,14,2
5,15,2
5,16,2
5,17,6
5,18,2
5,19,4
5,20,2
5,22,2
5,23,4
6,0,5
6,1,7
6,2,2
6,3,2
6,5,2
6,6,2
6,7,5
6,9,2
6,10,2
6,11,6
6,12,4
6,13,2
6,15,4
6,16,3
6,18,2
6,19,4
6,21,2
6,22,4
6,23,4
7,3,2
7,4,4
7,5,2
7,8,4
7,9,2
7,10,5
7,11,5
7,12,2
7,14,2
7,15,5
7,17,4
7,18,2
7,20,2
7,21,4
8,0,6
8,2,4
8,3,2
8,4,2
8,5,2
8,7,2
8,9,6
8,10,4
8,11,5
8,12,2
8,13,2
8,14,4
8,15,4
8,16,2
8,17,2
8,18,2
8,19,2
8,20,2
8,21,4
8,22,2
9,0,2
9,2,4
9,3,2
9,4,6
9,5,4
9,6,2
9,7,4
9,8,2
9,10,4
9,11,2
9,12,2
9,13,2
9,14,2
9,15,4
9,18,4
9,19,3
9,20,6
9,21,3
9,22,2
9,23,3
10,0,6
10,1,2
10,2,2
10,3,4
10,4,4
10,5,2
10,6,2
10,8,4
10,9,2
10,10,2
10,11,5
10,12,5
10,13,2
10,14,3
10,15,3
10,16,2
10,17,2
10,18,2
10,19,3
10,20,2
10,21,2
10,22,2
10,23,4
11,2,2
11,5,4
11,6,2
11,7,3
11,8,2
