Row,Column,Droplet
0,4,3
0,9,3
0,10,1
0,11,1
0,12,3
0,14,3
0,17,3
0,18,1
0,23,3
1,1,3
1,8,1
1,14,3
1,16,1
1,23,1
2,10,1
2,11,3
2,18,1
2,21,1
2,22,3
3,1,1
3,11,1
3,15,1
3,19,1
3,21,1
4,4,3
4,6,1
4,8,3
4,11,1
4,15,3
4,20,3
4,23,3
5,0,3
5,3,3
5,5,3
5,6,3
5,12,3
5,14,1
5,15,3
5,16,1
5,22,1
5,23,1
6,2,1
6,4,3
6,6,3
6,9,3
6,11,1
6,15,1
6,18,1
6,21,1
6,22,1
6,23,1
7,3,3
7,4,1
7,8,3
7,9,3
7,14,3
7,19,3
7,23,3
8,1,3
8,3,3
8,5,1
8,7,1
8,15,1
8,16,3
8,22,1
9,1,3
9,4,1
9,7,1
9,8,1
9,10,1
9,14,1
9,16,3
10,0,1
10,2,3
10,9,3
11,2,1
11,4,3
11,6,3
