Row,Column,Droplet
0,1,1
0,7,1
0,8,1
0,13,1
0,19,1
0,20,3
0,22,1
1,7,3
1,9,3
1,11,3
1,12,3
1,20,1
1,21,3
2,0,3
2,2,3
2,9,1
2,12,1
2,13,1
2,15,1
2,20,3
3,3,3
3,7,1
3,9,1
3,10,1
3,13,3
3,14,3
3,22,1
4,0,3
4,3,3
4,7,3
4,14,1
5,2,3
5,4,1
5,8,1
5,17,1
5,18,1
5,20,1
5,21,3
6,12,3
6,19,1
6,20,3
7,0,3
7,1,3
7,6,3
7,17,1
7,18,1
7,20,3
7,22,3
8,0,1
8,10,1
8,13,1
8,14,1
8,17,1
8,20,1
8,23,3
9,0,1
9,2,3
9,3,3
9,6,3
9,9,3
9,11,1
9,13,3
9,15,1
9,17,3
9,20,1
9,22,1
10,1,3
10,4,3
10,5,3
10,7,3
10,8,1
10,10,1
10,16,3
10,17,3
10,18,1
10,21,3
10,23,1
11,3,3
