Row,Column,Droplet
0,3,3
0,5,1
0,15,1
0,21,1
1,0,1
1,2,1
1,3,3
1,6,3
1,10,1
1,15,1
1,17,1
1,18,3
1,19,1
2,1,3
2,3,1
2,4,1
2,5,1
2,6,3
2,7,1
2,8,1
2,14,1
2,16,1
3,4,1
3,8,1
3,12,1
3,17,1
3,18,1
4,1,3
4,2,3
4,9,3
4,10,3
4,12,1
4,13,1
4,16,3
4,18,1
4,19,3
4,21,3
4,22,3
5,1,3
5,7,1
5,10,3
5,11,3
5,19,1
6,3,1
6,5,3
6,8,3
6,10,3
6,13,3
6,14,3
6,17,3
7,2,3
7,5,1
7,7,3
7,12,3
7,13,3
7,16,3
7,21,1
8,2,1
8,4,3
8,6,3
8,8,3
8,9,1
8,12,3
8,18,1
8,19,3
8,21,3
9,5,1
9,12,3
9,18,1
10,3,1
10,6,1
10,13,3
10,20,1
10,22,3
11,0,3
11,1,3
11,5,1
11,8,1
