Row,Column,Droplet
0,3,1
0,4,1
0,5,1
0,8,1
0,9,1
0,12,1
0,15,1
0,17,1
0,18,1
0,19,1
0,23,1
1,0,1
1,2,1
1,3,1
1,6,1
1,7,1
1,10,1
1,14,1
1,15,1
1,17,1
1,18,1
1,19,1
1,20,1
2,0,1
2,1,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,10,1
2,14,1
2,16,1
2,18,1
2,19,1
2,22,1
3,1,1
3,4,1
3,6,1
3,8,1
3,10,1
3,11,1
3,12,1
3,19,1
3,22,1
3,23,1
4,1,1
4,2,1
4,3,1
4,4,1
4,8,1
4,9,1
4,10,1
4,11,1
4,12,1
4,13,1
4,15,1
4,18,1
4,19,1
4,20,1
4,23,1
5,0,1
5,1,1
5,2,1
5,3,1
5,5,1
5,6,1
5,7,1
5,11,1
5,12,1
5,15,1
6,3,1
6,5,1
6,9,1
6,10,1
6,11,1
6,14,1
6,16,1
6,17,1
6,21,1
7,2,1
7,5,1
7,7,1
7,9,1
7,12,1
7,14,1
7,16,1
7,17,1
7,18,1
7,20,1
7,23,1
8,2,1
8,4,1
8,6,1
8,8,1
8,9,1
8,13,1
8,14,1
8,16,1
8,17,1
8,18,1
8,21,1
8,22,1
9,0,1
9,2,1
9,3,1
9,4,1
9,7,1
9,9,1
9,10,1
9,11,1
9,12,1
9,14,1
9,15,1
9,20,1
9,22,1
9,23,1
10,1,1
10,4,1
10,5,1
10,6,1
10,8,1
10,9,1
10,10,1
10,11,1
