Row,Column,Droplet
0,0,2
0,1,1
0,7,1
0,9,1
0,12,1
0,14,2
0,19,1
0,20,1
0,21,1
0,23,1
1,0,1
1,6,1
1,8,1
1,9,1
1,14,2
1,20,1
1,22,1
2,2,1
2,8,1
2,13,2
2,19,1
2,22,1
3,0,2
3,1,2
3,3,1
3,18,1
3,19,1
3,22,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,2
4,11,1
4,13,2
4,16,1
4,18,1
4,19,1
4,21,1
4,22,2
5,0,1
5,1,2
5,7,1
5,10,2
5,14,1
5,23,2
6,2,1
6,4,1
6,8,1
6,11,1
6,16,2
6,19,1
6,20,1
6,21,1
6,23,1
7,4,1
7,7,1
7,8,1
7,9,1
7,10,1
7,11,1
7,16,1
7,20,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,2
8,10,2
8,12,1
8,13,2
8,15,1
8,16,1
8,19,1
8,22,1
9,1,1
9,2,1
9,5,1
9,7,1
9,8,1
9,13,2
9,14,1
9,19,1
9,20,1
9,23,1
10,3,1
10,9,1
10,10,2
10,13,2
10,14,1
10,15,1
10,16,1
10,18,1
10,19,1
10,22,1
11,1,2
11,6,1
11,7,1
11,12,2
11,21,1
11,22,2
12,9,1
12,10,1
12,11,2
12,12,1
12,13,1
12,14,1
12,20,1
12,22,1
13,0,2
13,3,1
13,5,1
13,7,2
13,8,2
13,10,1
13,15,1
13,21,2
13,23,1
14,0,1
14,1,1
14,2,1
14,3,2
14,10,2
14,11,1
14,13,1
14,16,2
14,18,2
14,19,1
14,20,1
15,0,2
15,1,1
15,2,2
