Row,Column,Droplet
0,0,3
0,1,2
0,2,1
0,3,2
0,6,1
0,7,2
0,8,1
0,9,3
0,11,1
0,12,2
0,13,1
0,14,3
0,15,2
0,16,3
0,18,1
0,21,2
0,22,2
0,23,3
1,0,2
1,1,2
1,2,2
1,3,2
1,4,1
1,5,2
1,6,2
1,7,1
1,8,1
1,9,1
1,11,1
1,13,3
1,15,2
1,16,2
1,19,2
1,21,2
1,22,1
1,23,2
2,0,1
2,1,2
2,2,3
2,3,3
2,4,1
2,5,2
2,6,3
2,7,1
2,8,2
2,10,2
2,11,2
2,13,2
2,15,1
2,16,2
2,18,1
2,20,3
2,21,2
2,23,3
3,0,3
3,2,1
3,4,2
3,5,1
3,6,1
3,7,1
3,8,3
3,9,1
3,11,1
3,12,3
3,13,2
3,14,3
3,15,1
3,16,3
3,18,1
3,20,3
4,3,1
4,5,2
4,8,1
4,9,3
4,11,2
4,12,1
4,13,2
4,17,2
4,18,3
4,19,2
4,20,2
4,22,3
4,23,2
5,1,2
5,2,1
5,4,1
5,5,3
5,6,1
5,7,2
5,8,1
5,9,3
5,11,3
5,13,3
5,14,2
5,16,1
5,17,2
5,18,2
5,19,1
5,21,2
5,22,2
5,23,1
6,0,3
6,1,3
6,2,3
6,3,3
6,5,1
6,7,1
6,9,2
6,10,1
6,11,1
6,12,3
6,13,1
6,14,2
6,18,1
6,19,2
6,20,2
6,21,1
6,22,1
6,23,1
7,0,2
7,1,1
7,2,3
7,4,1
7,6,2
7,8,3
7,9,2
7,10,3
7,11,1
7,12,3
7,13,3
7,15,1
7,16,2
7,17,2
7,19,2
7,21,1
7,22,1
8,0,2
8,2,3
8,3,1
8,4,2
8,5,2
8,6,3
8,7,2
8,9,1
8,11,3
8,12,1
8,13,2
8,14,1
8,16,2
8,17,2
8,19,2
8,22,3
8,23,3
9,0,2
9,1,1
9,3,2
9,5,1
9,7,2
9,8,1
9,9,2
9,10,2
9,11,2
9,12,1
9,14,3
9,15,3
9,18,1
9,19,3
9,21,3
9,22,2
9,23,1
10,1,3
10,3,1
10,4,1
10,5,3
10,6,2
10,7,1
10,8,3
10,9,3
10,10,1
10,11,3
10,12,3
10,13,1
10,14,3
10,15,3
10,19,1
10,20,1
10,22,1
10,23,1
11,0,2
11,1,1
11,2,1
11,5,1
11,6,1
11,7,3
11,8,2
11,9,1
11,10,3
11,11,2
11,12,3
11,14,2
11,15,1
11,16,2
11,17,3
11,18,2
11,19,3
11,21,2
11,22,1
11,23,3
12,0,1
12,1,1
12,2,2
12,3,2
12,4,1
12,6,2
12,7,2
12,8,2
12,9,2
12,10,1
12,11,1
12,12,1
12,14,1
12,15,2
12,17,1
12,18,3
12,19,3
12,20,2
12,22,2
12,23,2
13,0,1
13,1,2
13,2,3
13,4,2
13,5,2
13,6,2
13,7,2
13,9,1
13,10,3
13,11,1
13,13,3
13,15,2
13,17,3
13,18,1
13,20,1
13,21,1
13,22,1
13,23,3
14,0,1
14,2,1
14,4,2
14,6,2
14,7,2
14,9,1
14,10,1
14,11,1
14,15,1
14,16,2
14,17,2
14,18,2
14,19,1
14,20,2
14,21,3
14,22,1
15,1,3
15,2,2
