Row,Column,Droplet
0,2,1
0,8,1
0,11,2
1,3,1
1,7,1
1,12,1
1,17,1
1,19,1
1,23,2
2,1,1
2,3,1
2,7,2
2,10,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,23,1
3,7,2
3,8,1
3,12,1
3,16,2
3,20,2
3,21,2
3,23,1
4,6,1
4,7,1
5,3,2
5,4,1
5,9,2
5,13,1
5,15,2
5,16,1
5,22,2
6,3,1
6,10,1
6,12,1
6,13,2
6,14,2
6,17,1
6,18,2
6,22,2
7,0,1
7,12,1
7,13,2
7,14,2
7,18,1
7,22,2
8,1,1
8,7,1
8,9,1
8,17,2
8,18,1
8,21,1
8,23,2
9,3,1
9,6,1
9,9,1
9,10,2
9,11,1
9,12,1
9,15,1
9,16,1
9,17,2
9,18,1
9,22,2
10,0,2
10,1,1
10,4,1
10,7,1
10,23,1
11,0,1
11,5,2
11,11,1
11,15,1
11,16,2
11,18,1
11,20,2
12,3,2
12,5,1
12,6,1
12,7,1
12,16,1
12,21,1
13,1,1
13,2,2
13,6,2
13,11,1
13,17,1
13,18,1
13,19,1
14,6,1
14,7,1
14,12,2
14,14,2
14,15,1
14,21,1
14,22,2
