Row,Column,Droplet
0,0,1
0,1,2
0,2,4
0,3,3
0,4,4
0,5,5
0,6,4
0,8,4
0,9,2
0,10,3
0,11,4
0,12,3
0,13,4
0,14,2
0,15,3
0,16,1
0,17,3
0,18,5
0,19,4
0,20,3
0,21,3
0,22,1
0,23,1
1,0,3
1,1,4
1,2,2
1,3,4
1,4,5
1,5,1
1,6,2
1,7,4
1,8,4
1,9,2
1,10,3
1,11,2
1,12,3
1,14,5
1,15,2
1,16,3
1,17,4
1,18,6
1,19,3
1,20,3
1,21,5
1,22,3
1,23,3
2,0,3
2,1,2
2,2,3
2,3,2
2,4,4
2,5,4
2,6,2
2,7,3
2,8,1
2,9,4
2,10,2
2,11,3
2,12,5
2,13,1
2,14,6
2,15,3
2,16,3
2,17,5
2,18,2
2,19,3
2,20,3
2,21,2
2,22,5
2,23,2
3,0,1
3,1,3
3,2,4
3,3,2
3,4,4
3,5,6
3,6,2
3,7,4
3,8,3
3,9,2
3,10,6
3,11,3
3,12,3
3,13,3
3,14,4
3,15,3
3,16,2
3,17,5
3,18,3
3,19,4
3,20,1
3,21,5
3,22,5
3,23,4
4,0,5
4,1,4
4,2,6
4,3,4
4,4,3
4,5,3
4,6,5
4,7,5
4,8,1
4,10,2
4,11,1
4,12,6
4,13,3
4,14,5
4,15,4
4,16,6
4,17,4
4,18,3
4,19,1
4,20,3
4,21,5
4,22,2
5,0,4
5,1,2
5,2,6
5,3,3
5,4,3
5,5,2
5,6,2
5,7,2
5,8,3
5,9,1
5,10,5
5,11,1
5,12,6
5,13,1
5,14,1
5,15,3
5,16,3
5,17,3
5,18,5
5,19,4
5,20,4
5,22,1
5,23,3
6,0,2
6,1,3
6,2,1
6,3,1
6,4,4
6,5,5
6,6,7
6,7,5
6,8,3
6,9,5
6,10,4
6,11,3
6,12,2
6,13,2
6,14,1
6,15,3
6,16,4
6,17,5
6,18,2
6,20,2
6,21,3
6,22,2
6,23,4
7,0,4
7,1,4
7,2,1
7,3,6
7,4,5
7,5,5
7,6,3
7,7,6
7,8,2
7,9,4
7,10,1
7,11,1
7,12,2
7,13,2
7,14,5
7,15,3
7,16,2
7,17,2
7,18,5
7,19,2
7,20,5
7,21,3
7,22,3
7,23,5
8,0,1
8,1,4
8,2,1
8,3,2
8,4,4
8,5,3
8,6,1
8,7,3
8,8,2
8,9,4
8,10,4
8,11,1
8,12,2
8,13,2
8,14,4
8,15,2
8,16,2
8,17,1
8,18,4
8,19,2
8,20,5
8,21,3
8,23,2
9,0,3
9,1,2
9,2,4
9,3,1
9,4,5
9,5,5
9,6,3
9,7,4
9,8,4
9,9,2
9,10,3
9,11,3
9,12,2
9,13,3
9,15,1
9,16,4
9,17,4
9,18,3
9,20,5
9,21,3
9,22,2
9,23,3
10,0,3
10,1,3
10,2,3
10,3,4
10,4,5
10,5,4
10,6,2
10,7,3
10,8,3
10,9,2
10,10,3
10,11,3
10,12,2
10,13,4
10,14,2
10,15,1
10,16,5
10,17,4
10,18,3
10,19,3
10,20,3
10,21,2
10,22,4
10,23,5
11,0,2
11,1,2
11,2,2
11,3,4
11,4,6
11,5,3
11,6,2
11,7,1
11,8,1
11,9,4
11,10,2
11,11,3
11,12,2
11,13,7
11,14,1
11,15,2
11,16,2
11,17,1
11,18,4
11,20,4
11,22,2
11,23,3
12,0,4
12,1,3
12,3,3
12,4,1
12,5,4
12,6,2
12,7,2
12,8,4
12,9,3
12,10,3
12,11,4
12,12,3
12,13,4
12,14,2
12,15,4
12,16,6
12,17,5
12,18,2
12,19,4
12,20,2
12,21,5
12,22,2
12,23,2
13,0,3
13,1,1
13,2,1
13,3,2
13,4,2
13,5,1
13,6,2
13,7,1
13,8,3
13,9,3
13,10,3
13,11,5
13,12,6
13,13,1
13,14,3
13,15,1
13,16,4
13,17,2
13,18,4
13,19,6
13,20,2
13,21,4
13,22,1
13,23,2
14,0,1
14,1,4
14,2,5
14,3,5
14,4,1
14,5,4
14,6,3
14,7,1
14,8,4
14,9,5
14,10,2
14,11,3
14,12,4
14,13,4
14,14,5
14,15,3
14,16,1
14,17,2
14,18,3
14,19,1
14,20,3
14,21,2
14,22,4
14,23,7
15,0,4
15,1,2
15,2,2
