unique_id,rxn_id,reagent,target,Reagent_type,stock,Droplet,well_id,Row,Column,well_name
49,49,water,1.0,water,1.0,1,0,0,0,A01
49,49,wce,1.0,wce,1.0,25,0,0,0,A01
49,49,Mg,10.0,Mg,666.667,0,0,0,0,A01
49,49,Mg,10.0,Mg,333.333,1,0,0,0,A01
49,49,K,50.0,K,1666.667,1,0,0,0,A01
49,49,bR,5.0,DNA,166.667,1,0,0,0,A01
49,49,High,1.516,Liposome,12.633,4,0,0,0,A01
205,43,wce,1.0,wce,1.0,25,1,0,1,A02
205,43,bR,5.0,DNA,166.667,1,1,0,1,A02
205,43,water,1.0,water,1.0,1,1,0,1,A02
205,43,K,50.0,K,1666.667,1,1,0,1,A02
205,43,Mg,10.0,Mg,666.667,0,1,0,1,A02
205,43,Mg,10.0,Mg,333.333,1,1,0,1,A02
205,43,K-H,1.516,Liposome,12.633,4,1,0,1,A02
145,64,wce,1.0,wce,1.0,25,2,0,2,A03
145,64,bR,5.0,DNA,166.667,1,2,0,2,A03
145,64,K,100.0,K,1666.667,2,2,0,2,A03
145,64,water,1.0,water,1.0,0,2,0,2,A03
145,64,Mg,10.0,Mg,666.667,0,2,0,2,A03
145,64,Mg,10.0,Mg,333.333,1,2,0,2,A03
145,64,Mg-H,1.516,Liposome,12.633,4,2,0,2,A03
191,29,Low,0.758,Liposome,12.633,2,3,0,3,A04
191,29,Mg,20.0,Mg,333.333,0,3,0,3,A04
191,29,Mg,20.0,Mg,666.667,1,3,0,3,A04
191,29,water,1.0,water,1.0,3,3,0,3,A04
191,29,wce,1.0,wce,1.0,25,3,0,3,A04
191,29,bR,5.0,DNA,166.667,1,3,0,3,A04
191,29,K,50.0,K,1666.667,1,3,0,3,A04
9,9,Mg,0.0,Mg,666.667,0,4,0,4,A05
9,9,water,1.0,water,1.0,3,4,0,4,A05
9,9,Mg,0.0,Mg,333.333,0,4,0,4,A05
9,9,Mg-H,1.516,Liposome,12.633,4,4,0,4,A05
9,9,K,0.0,K,1666.667,0,4,0,4,A05
9,9,bR,5.0,DNA,166.667,1,4,0,4,A05
9,9,wce,1.0,wce,1.0,25,4,0,4,A05
94,13,K-H,0.758,Liposome,12.633,2,5,0,5,A06
94,13,water,1.0,water,1.0,4,5,0,5,A06
94,13,K,0.0,K,1666.667,0,5,0,5,A06
94,13,wce,1.0,wce,1.0,25,5,0,5,A06
94,13,bR,5.0,DNA,166.667,1,5,0,5,A06
94,13,Mg,10.0,Mg,666.667,0,5,0,5,A06
94,13,Mg,10.0,Mg,333.333,1,5,0,5,A06
147,66,Mg,0.0,Mg,333.333,0,6,0,6,A07
147,66,wce,1.0,wce,1.0,25,6,0,6,A07
147,66,K-H,0.758,Liposome,12.633,2,6,0,6,A07
147,66,K,100.0,K,1666.667,2,6,0,6,A07
147,66,bR,5.0,DNA,166.667,1,6,0,6,A07
147,66,Mg,0.0,Mg,666.667,0,6,0,6,A07
147,66,water,1.0,water,1.0,3,6,0,6,A07
210,48,bR,5.0,DNA,166.667,1,7,0,7,A08
210,48,Mg,0.0,Mg,666.667,0,7,0,7,A08
210,48,wce,1.0,wce,1.0,25,7,0,7,A08
210,48,water,1.0,water,1.0,2,7,0,7,A08
210,48,Mg,0.0,Mg,333.333,0,7,0,7,A08
210,48,High,1.516,Liposome,12.633,4,7,0,7,A08
210,48,K,50.0,K,1666.667,1,7,0,7,A08
202,40,wce,1.0,wce,1.0,25,8,0,8,A09
202,40,water,1.0,water,1.0,3,8,0,8,A09
202,40,K,50.0,K,1666.667,1,8,0,8,A09
202,40,Mg,10.0,Mg,333.333,1,8,0,8,A09
202,40,Mg,10.0,Mg,666.667,0,8,0,8,A09
202,40,bR,5.0,DNA,166.667,1,8,0,8,A09
202,40,K-H,0.758,Liposome,12.633,2,8,0,8,A09
172,10,water,1.0,water,1.0,2,9,0,9,A10
172,10,bR,5.0,DNA,166.667,1,9,0,9,A10
172,10,K,0.0,K,1666.667,0,9,0,9,A10
172,10,Mg-H,1.516,Liposome,12.633,4,9,0,9,A10
172,10,Mg,10.0,Mg,333.333,1,9,0,9,A10
172,10,Mg,10.0,Mg,666.667,0,9,0,9,A10
172,10,wce,1.0,wce,1.0,25,9,0,9,A10
161,80,No_lipo,0.0,Liposome,0.0,0,10,0,10,A11
161,80,No_lipo,0.0,Liposome,0.0,0,10,0,10,A11
161,80,Mg,20.0,Mg,333.333,0,10,0,10,A11
161,80,Mg,20.0,Mg,666.667,1,10,0,10,A11
161,80,water,1.0,water,1.0,4,10,0,10,A11
161,80,wce,1.0,wce,1.0,25,10,0,10,A11
161,80,K,100.0,K,1666.667,2,10,0,10,A11
161,80,bR,5.0,DNA,166.667,1,10,0,10,A11
47,47,wce,1.0,wce,1.0,25,11,0,11,A12
47,47,water,1.0,water,1.0,3,11,0,11,A12
47,47,Mg,20.0,Mg,666.667,1,11,0,11,A12
47,47,High,0.758,Liposome,12.633,2,11,0,11,A12
47,47,Mg,20.0,Mg,333.333,0,11,0,11,A12
47,47,bR,5.0,DNA,166.667,1,11,0,11,A12
47,47,K,50.0,K,1666.667,1,11,0,11,A12
118,37,Mg-H,1.516,Liposome,12.633,4,12,0,12,A13
118,37,water,1.0,water,1.0,1,12,0,12,A13
118,37,bR,5.0,DNA,166.667,1,12,0,12,A13
118,37,K,50.0,K,1666.667,1,12,0,12,A13
118,37,Mg,10.0,Mg,333.333,1,12,0,12,A13
118,37,Mg,10.0,Mg,666.667,0,12,0,12,A13
118,37,wce,1.0,wce,1.0,25,12,0,12,A13
130,49,water,1.0,water,1.0,1,13,0,13,A14
130,49,High,1.516,Liposome,12.633,4,13,0,13,A14
130,49,Mg,10.0,Mg,333.333,1,13,0,13,A14
130,49,Mg,10.0,Mg,666.667,0,13,0,13,A14
130,49,wce,1.0,wce,1.0,25,13,0,13,A14
130,49,bR,5.0,DNA,166.667,1,13,0,13,A14
130,49,K,50.0,K,1666.667,1,13,0,13,A14
79,79,Mg,10.0,Mg,666.667,0,14,0,14,A15
79,79,water,1.0,water,1.0,4,14,0,14,A15
79,79,No_lipo,0.0,Liposome,0.0,0,14,0,14,A15
79,79,K,100.0,K,1666.667,2,14,0,14,A15
79,79,bR,5.0,DNA,166.667,1,14,0,14,A15
79,79,wce,1.0,wce,1.0,25,14,0,14,A15
79,79,Mg,10.0,Mg,333.333,1,14,0,14,A15
79,79,No_lipo,0.0,Liposome,0.0,0,14,0,14,A15
181,19,bR,5.0,DNA,166.667,1,15,0,15,A16
181,19,wce,1.0,wce,1.0,25,15,0,15,A16
181,19,water,1.0,water,1.0,4,15,0,15,A16
181,19,Mg,10.0,Mg,666.667,0,15,0,15,A16
181,19,Mg,10.0,Mg,333.333,1,15,0,15,A16
181,19,High,0.758,Liposome,12.633,2,15,0,15,A16
181,19,K,0.0,K,1666.667,0,15,0,15,A16
58,58,Mg,10.0,Mg,666.667,0,16,0,16,A17
58,58,water,1.0,water,1.0,0,16,0,16,A17
58,58,Mg,10.0,Mg,333.333,1,16,0,16,A17
58,58,Low,1.516,Liposome,12.633,4,16,0,16,A17
58,58,K,100.0,K,1666.667,2,16,0,16,A17
58,58,wce,1.0,wce,1.0,25,16,0,16,A17
58,58,bR,5.0,DNA,166.667,1,16,0,16,A17
93,12,water,1.0,water,1.0,5,17,0,17,A18
93,12,K-H,0.758,Liposome,12.633,2,17,0,17,A18
93,12,Mg,0.0,Mg,666.667,0,17,0,17,A18
93,12,Mg,0.0,Mg,333.333,0,17,0,17,A18
93,12,wce,1.0,wce,1.0,25,17,0,17,A18
93,12,K,0.0,K,1666.667,0,17,0,17,A18
93,12,bR,5.0,DNA,166.667,1,17,0,17,A18
38,38,water,1.0,water,1.0,1,18,0,18,A19
38,38,wce,1.0,wce,1.0,25,18,0,18,A19
38,38,K,50.0,K,1666.667,1,18,0,18,A19
38,38,Mg-H,1.516,Liposome,12.633,4,18,0,18,A19
38,38,Mg,20.0,Mg,333.333,0,18,0,18,A19
38,38,Mg,20.0,Mg,666.667,1,18,0,18,A19
38,38,bR,5.0,DNA,166.667,1,18,0,18,A19
41,41,K,50.0,K,1666.667,1,19,0,19,A20
41,41,wce,1.0,wce,1.0,25,19,0,19,A20
41,41,water,1.0,water,1.0,3,19,0,19,A20
41,41,Mg,20.0,Mg,333.333,0,19,0,19,A20
41,41,K-H,0.758,Liposome,12.633,2,19,0,19,A20
41,41,bR,5.0,DNA,166.667,1,19,0,19,A20
41,41,Mg,20.0,Mg,666.667,1,19,0,19,A20
226,64,wce,1.0,wce,1.0,25,20,0,20,A21
226,64,water,1.0,water,1.0,0,20,0,20,A21
226,64,Mg,10.0,Mg,666.667,0,20,0,20,A21
226,64,Mg,10.0,Mg,333.333,1,20,0,20,A21
226,64,Mg-H,1.516,Liposome,12.633,4,20,0,20,A21
226,64,K,100.0,K,1666.667,2,20,0,20,A21
226,64,bR,5.0,DNA,166.667,1,20,0,20,A21
81,0,bR,5.0,DNA,166.667,1,21,0,21,A22
81,0,K,0.0,K,1666.667,0,21,0,21,A22
81,0,Low,0.758,Liposome,12.633,2,21,0,21,A22
81,0,wce,1.0,wce,1.0,25,21,0,21,A22
81,0,Mg,0.0,Mg,333.333,0,21,0,21,A22
81,0,water,1.0,water,1.0,5,21,0,21,A22
81,0,Mg,0.0,Mg,666.667,0,21,0,21,A22
207,45,Mg,0.0,Mg,333.333,0,22,0,22,A23
207,45,bR,5.0,DNA,166.667,1,22,0,22,A23
207,45,K,50.0,K,1666.667,1,22,0,22,A23
207,45,wce,1.0,wce,1.0,25,22,0,22,A23
207,45,water,1.0,water,1.0,4,22,0,22,A23
207,45,Mg,0.0,Mg,666.667,0,22,0,22,A23
207,45,High,0.758,Liposome,12.633,2,22,0,22,A23
170,8,Mg,20.0,Mg,333.333,0,23,0,23,A24
170,8,bR,5.0,DNA,166.667,1,23,0,23,A24
170,8,K,0.0,K,1666.667,0,23,0,23,A24
170,8,Mg-H,0.758,Liposome,12.633,2,23,0,23,A24
170,8,Mg,20.0,Mg,666.667,1,23,0,23,A24
170,8,water,1.0,water,1.0,4,23,0,23,A24
170,8,wce,1.0,wce,1.0,25,23,0,23,A24
190,28,bR,5.0,DNA,166.667,1,24,1,0,B01
190,28,K,50.0,K,1666.667,1,24,1,0,B01
190,28,Low,0.758,Liposome,12.633,2,24,1,0,B01
190,28,wce,1.0,wce,1.0,25,24,1,0,B01
190,28,Mg,10.0,Mg,666.667,0,24,1,0,B01
190,28,water,1.0,water,1.0,3,24,1,0,B01
190,28,Mg,10.0,Mg,333.333,1,24,1,0,B01
228,66,K,100.0,K,1666.667,2,25,1,1,B02
228,66,Mg,0.0,Mg,333.333,0,25,1,1,B02
228,66,bR,5.0,DNA,166.667,1,25,1,1,B02
228,66,wce,1.0,wce,1.0,25,25,1,1,B02
228,66,water,1.0,water,1.0,3,25,1,1,B02
228,66,Mg,0.0,Mg,666.667,0,25,1,1,B02
228,66,K-H,0.758,Liposome,12.633,2,25,1,1,B02
187,25,K,0.0,K,1666.667,0,26,1,2,B03
187,25,No_lipo,0.0,Liposome,0.0,0,26,1,2,B03
187,25,No_lipo,0.0,Liposome,0.0,0,26,1,2,B03
187,25,Mg,10.0,Mg,333.333,1,26,1,2,B03
187,25,water,1.0,water,1.0,6,26,1,2,B03
187,25,wce,1.0,wce,1.0,25,26,1,2,B03
187,25,bR,5.0,DNA,166.667,1,26,1,2,B03
187,25,Mg,10.0,Mg,666.667,0,26,1,2,B03
18,18,water,1.0,water,1.0,5,27,1,3,B04
18,18,wce,1.0,wce,1.0,25,27,1,3,B04
18,18,Mg,0.0,Mg,666.667,0,27,1,3,B04
18,18,Mg,0.0,Mg,333.333,0,27,1,3,B04
18,18,High,0.758,Liposome,12.633,2,27,1,3,B04
18,18,bR,5.0,DNA,166.667,1,27,1,3,B04
18,18,K,0.0,K,1666.667,0,27,1,3,B04
57,57,Mg,0.0,Mg,666.667,0,28,1,4,B05
57,57,wce,1.0,wce,1.0,25,28,1,4,B05
57,57,water,1.0,water,1.0,1,28,1,4,B05
57,57,Mg,0.0,Mg,333.333,0,28,1,4,B05
57,57,Low,1.516,Liposome,12.633,4,28,1,4,B05
57,57,K,100.0,K,1666.667,2,28,1,4,B05
57,57,bR,5.0,DNA,166.667,1,28,1,4,B05
48,48,Mg,0.0,Mg,666.667,0,29,1,5,B06
48,48,bR,5.0,DNA,166.667,1,29,1,5,B06
48,48,Mg,0.0,Mg,333.333,0,29,1,5,B06
48,48,water,1.0,water,1.0,2,29,1,5,B06
48,48,wce,1.0,wce,1.0,25,29,1,5,B06
48,48,K,50.0,K,1666.667,1,29,1,5,B06
48,48,High,1.516,Liposome,12.633,4,29,1,5,B06
197,35,bR,5.0,DNA,166.667,1,30,1,6,B07
197,35,Mg-H,0.758,Liposome,12.633,2,30,1,6,B07
197,35,Mg,20.0,Mg,666.667,1,30,1,6,B07
197,35,water,1.0,water,1.0,3,30,1,6,B07
197,35,wce,1.0,wce,1.0,25,30,1,6,B07
197,35,K,50.0,K,1666.667,1,30,1,6,B07
197,35,Mg,20.0,Mg,333.333,0,30,1,6,B07
37,37,wce,1.0,wce,1.0,25,31,1,7,B08
37,37,water,1.0,water,1.0,1,31,1,7,B08
37,37,Mg,10.0,Mg,666.667,0,31,1,7,B08
37,37,K,50.0,K,1666.667,1,31,1,7,B08
37,37,Mg,10.0,Mg,333.333,1,31,1,7,B08
37,37,Mg-H,1.516,Liposome,12.633,4,31,1,7,B08
37,37,bR,5.0,DNA,166.667,1,31,1,7,B08
162,0,wce,1.0,wce,1.0,25,32,1,8,B09
162,0,water,1.0,water,1.0,5,32,1,8,B09
162,0,bR,5.0,DNA,166.667,1,32,1,8,B09
162,0,K,0.0,K,1666.667,0,32,1,8,B09
162,0,Low,0.758,Liposome,12.633,2,32,1,8,B09
162,0,Mg,0.0,Mg,333.333,0,32,1,8,B09
162,0,Mg,0.0,Mg,666.667,0,32,1,8,B09
44,44,K-H,1.516,Liposome,12.633,4,33,1,9,B10
44,44,Mg,20.0,Mg,666.667,1,33,1,9,B10
44,44,water,1.0,water,1.0,1,33,1,9,B10
44,44,wce,1.0,wce,1.0,25,33,1,9,B10
44,44,K,50.0,K,1666.667,1,33,1,9,B10
44,44,bR,5.0,DNA,166.667,1,33,1,9,B10
44,44,Mg,20.0,Mg,333.333,0,33,1,9,B10
21,21,K,0.0,K,1666.667,0,34,1,10,B11
21,21,wce,1.0,wce,1.0,25,34,1,10,B11
21,21,bR,5.0,DNA,166.667,1,34,1,10,B11
21,21,High,1.516,Liposome,12.633,4,34,1,10,B11
21,21,Mg,0.0,Mg,333.333,0,34,1,10,B11
21,21,water,1.0,water,1.0,3,34,1,10,B11
21,21,Mg,0.0,Mg,666.667,0,34,1,10,B11
46,46,wce,1.0,wce,1.0,25,35,1,11,B12
