Row,Column,Droplet
0,0,25
1,0,25
2,0,25
3,0,25
4,0,25
5,0,25
6,0,25
7,0,25
8,0,25
9,0,25
10,0,25
11,0,25
12,0,25
13,0,25
14,0,25
15,0,25
0,1,25
1,1,25
2,1,25
3,1,25
4,1,25
5,1,25
6,1,25
7,1,25
8,1,25
9,1,25
10,1,25
11,1,25
12,1,25
13,1,25
14,1,25
15,1,25
0,2,25
1,2,25
2,2,25
3,2,25
4,2,25
5,2,25
6,2,25
7,2,25
8,2,25
9,2,25
10,2,25
11,2,25
12,2,25
13,2,25
14,2,25
15,2,25
0,3,25
1,3,25
2,3,25
3,3,25
4,3,25
5,3,25
6,3,25
7,3,25
8,3,25
9,3,25
10,3,25
11,3,25
12,3,25
13,3,25
14,3,25
15,3,25
0,4,25
1,4,25
2,4,25
3,4,25
4,4,25
5,4,25
6,4,25
7,4,25
8,4,25
9,4,25
10,4,25
11,4,25
12,4,25
13,4,25
14,4,25
15,4,25
0,5,25
1,5,25
2,5,25
3,5,25
4,5,25
5,5,25
6,5,25
7,5,25
8,5,25
9,5,25
10,5,25
11,5,25
12,5,25
13,5,25
14,5,25
15,5,25
0,6,25
1,6,25
2,6,25
3,6,25
4,6,25
5,6,25
6,6,25
7,6,25
8,6,25
9,6,25
10,6,25
11,6,25
12,6,25
13,6,25
14,6,25
15,6,25
0,7,25
1,7,25
2,7,25
3,7,25
4,7,25
5,7,25
6,7,25
7,7,25
8,7,25
9,7,25
10,7,25
11,7,25
12,7,25
13,7,25
14,7,25
15,7,25
0,8,25
1,8,25
2,8,25
3,8,25
4,8,25
5,8,25
6,8,25
7,8,25
8,8,25
9,8,25
10,8,25
11,8,25
12,8,25
13,8,25
14,8,25
15,8,25
0,9,25
1,9,25
2,9,25
3,9,25
4,9,25
5,9,25
6,9,25
7,9,25
8,9,25
9,9,25
10,9,25
11,9,25
12,9,25
13,9,25
14,9,25
15,9,25
0,10,25
1,10,25
2,10,25
3,10,25
4,10,25
5,10,25
6,10,25
7,10,25
8,10,25
9,10,25
10,10,25
11,10,25
12,10,25
13,10,25
14,10,25
15,10,25
0,11,25
1,11,25
2,11,25
3,11,25
4,11,25
5,11,25
6,11,25
7,11,25
8,11,25
9,11,25
10,11,25
11,11,25
12,11,25
13,11,25
14,11,25
15,11,25
0,12,25
1,12,25
2,12,25
3,12,25
4,12,25
5,12,25
6,12,25
7,12,25
8,12,25
9,12,25
10,12,25
11,12,25
12,12,25
13,12,25
14,12,25
15,12,25
0,13,25
1,13,25
2,13,25
3,13,25
4,13,25
5,13,25
6,13,25
7,13,25
8,13,25
9,13,25
10,13,25
11,13,25
12,13,25
13,13,25
14,13,25
15,13,25
0,14,25
1,14,25
2,14,25
3,14,25
4,14,25
5,14,25
6,14,25
7,14,25
8,14,25
9,14,25
10,14,25
11,14,25
12,14,25
13,14,25
14,14,25
15,14,25
0,15,25
1,15,25
2,15,25
3,15,25
4,15,25
5,15,25
6,15,25
7,15,25
8,15,25
9,15,25
10,15,25
11,15,25
12,15,25
13,15,25
14,15,25
15,15,25
0,16,25
1,16,25
2,16,25
3,16,25
4,16,25
5,16,25
6,16,25
7,16,25
8,16,25
9,16,25
10,16,25
11,16,25
12,16,25
13,16,25
14,16,25
15,16,25
0,17,25
1,17,25
2,17,25
3,17,25
4,17,25
5,17,25
6,17,25
7,17,25
8,17,25
9,17,25
10,17,25
11,17,25
12,17,25
13,17,25
14,17,25
15,17,25
0,18,25
1,18,25
2,18,25
3,18,25
4,18,25
5,18,25
6,18,25
7,18,25
8,18,25
9,18,25
10,18,25
11,18,25
12,18,25
13,18,25
14,18,25
15,18,25
0,19,25
1,19,25
2,19,25
3,19,25
4,19,25
5,19,25
6,19,25
7,19,25
8,19,25
9,19,25
10,19,25
11,19,25
12,19,25
13,19,25
14,19,25
15,19,25
0,20,25
1,20,25
2,20,25
3,20,25
4,20,25
5,20,25
6,20,25
7,20,25
8,20,25
9,20,25
10,20,25
11,20,25
12,20,25
13,20,25
14,20,25
15,20,25
0,21,25
1,21,25
2,21,25
3,21,25
4,21,25
5,21,25
6,21,25
7,21,25
8,21,25
9,21,25
10,21,25
11,21,25
12,21,25
13,21,25
14,21,25
15,21,25
0,22,25
1,22,25
2,22,25
3,22,25
4,22,25
5,22,25
6,22,25
7,22,25
