unique_id,rxn_id,reagent,target,Reagent_type,stock,Droplet,well_id,Column,Row,well_name
118,118,K,150.0,K,1666.667,3,0,0,0,A01
118,118,water,1.0,water,1.0,0,0,0,0,A01
118,118,mCherry,1.0,mCherry,33.333,1,0,0,0,A01
118,118,Mg,30.0,Mg,666.667,1,0,0,0,A01
118,118,B2AR,5.0,DNA,166.667,1,0,0,0,A01
118,118,wce,1.0,wce,1.0,25,0,0,0,A01
118,118,High,3.032,Liposome,25.267,4,0,0,0,A01
118,118,Mg,30.0,Mg,333.333,1,0,0,0,A01
331,91,wce,1.0,wce,1.0,25,1,0,1,B01
331,91,water,1.0,water,1.0,6,1,0,1,B01
331,91,Mg,10.0,Mg,333.333,1,1,0,1,B01
331,91,B2AR,5.0,DNA,166.667,1,1,0,1,B01
331,91,K,100.0,K,1666.667,2,1,0,1,B01
331,91,Mg,10.0,Mg,666.667,0,1,0,1,B01
331,91,no_lipo,0.0,Liposome,0.0,0,1,0,1,B01
331,91,no_lipo,0.0,Liposome,0.0,0,1,0,1,B01
331,91,mCherry,1.0,mCherry,33.333,1,1,0,1,B01
277,37,Mg,20.0,Mg,666.667,1,2,0,2,C01
277,37,Mg,20.0,Mg,333.333,0,2,0,2,C01
277,37,mCherry,1.0,mCherry,33.333,1,2,0,2,C01
277,37,K,100.0,K,1666.667,2,2,0,2,C01
277,37,High,1.516,Liposome,25.267,2,2,0,2,C01
277,37,bR,5.0,DNA,166.667,1,2,0,2,C01
277,37,wce,1.0,wce,1.0,25,2,0,2,C01
277,37,water,1.0,water,1.0,4,2,0,2,C01
319,79,water,1.0,water,1.0,6,3,0,3,D01
319,79,mCherry,1.0,mCherry,33.333,1,3,0,3,D01
319,79,Mg,40.0,Mg,666.667,2,3,0,3,D01
319,79,Mg,40.0,Mg,333.333,0,3,0,3,D01
319,79,K,50.0,K,1666.667,1,3,0,3,D01
319,79,B2AR,5.0,DNA,166.667,1,3,0,3,D01
319,79,no_lipo,0.0,Liposome,0.0,0,3,0,3,D01
319,79,no_lipo,0.0,Liposome,0.0,0,3,0,3,D01
319,79,wce,1.0,wce,1.0,25,3,0,3,D01
25,25,High,3.032,Liposome,25.267,4,4,0,4,E01
25,25,K,50.0,K,1666.667,1,4,0,4,E01
25,25,wce,1.0,wce,1.0,25,4,0,4,E01
25,25,mCherry,1.0,mCherry,33.333,1,4,0,4,E01
25,25,bR,5.0,DNA,166.667,1,4,0,4,E01
25,25,Mg,0.0,Mg,666.667,0,4,0,4,E01
25,25,Mg,0.0,Mg,333.333,0,4,0,4,E01
25,25,water,1.0,water,1.0,4,4,0,4,E01
6,6,wce,1.0,wce,1.0,25,5,0,5,F01
6,6,water,1.0,water,1.0,6,5,0,5,F01
6,6,mCherry,1.0,mCherry,33.333,1,5,0,5,F01
6,6,Mg,10.0,Mg,666.667,0,5,0,5,F01
6,6,Mg,10.0,Mg,333.333,1,5,0,5,F01
6,6,K,0.0,K,1666.667,0,5,0,5,F01
6,6,bR,5.0,DNA,166.667,1,5,0,5,F01
6,6,High,1.516,Liposome,25.267,2,5,0,5,F01
55,55,bR,5.0,DNA,166.667,1,6,0,6,G01
55,55,K,150.0,K,1666.667,3,6,0,6,G01
55,55,High,3.032,Liposome,25.267,4,6,0,6,G01
55,55,Mg,0.0,Mg,333.333,0,6,0,6,G01
55,55,Mg,0.0,Mg,666.667,0,6,0,6,G01
55,55,mCherry,1.0,mCherry,33.333,1,6,0,6,G01
55,55,water,1.0,water,1.0,2,6,0,6,G01
55,55,wce,1.0,wce,1.0,25,6,0,6,G01
336,96,water,1.0,water,1.0,4,7,0,7,H01
336,96,B2AR,5.0,DNA,166.667,1,7,0,7,H01
336,96,K,100.0,K,1666.667,2,7,0,7,H01
336,96,High,1.516,Liposome,25.267,2,7,0,7,H01
336,96,Mg,10.0,Mg,333.333,1,7,0,7,H01
336,96,Mg,10.0,Mg,666.667,0,7,0,7,H01
336,96,mCherry,1.0,mCherry,33.333,1,7,0,7,H01
336,96,wce,1.0,wce,1.0,25,7,0,7,H01
159,39,bR,5.0,DNA,166.667,1,8,0,8,I01
159,39,Mg,40.0,Mg,333.333,0,8,0,8,I01
159,39,Mg,40.0,Mg,666.667,2,8,0,8,I01
159,39,mCherry,1.0,mCherry,33.333,1,8,0,8,I01
159,39,water,1.0,water,1.0,3,8,0,8,I01
159,39,wce,1.0,wce,1.0,25,8,0,8,I01
159,39,K,100.0,K,1666.667,2,8,0,8,I01
159,39,High,1.516,Liposome,25.267,2,8,0,8,I01
114,114,Mg,40.0,Mg,666.667,2,9,0,9,J01
114,114,Mg,40.0,Mg,333.333,0,9,0,9,J01
114,114,High,1.516,Liposome,25.267,2,9,0,9,J01
114,114,K,150.0,K,1666.667,3,9,0,9,J01
114,114,B2AR,5.0,DNA,166.667,1,9,0,9,J01
114,114,wce,1.0,wce,1.0,25,9,0,9,J01
114,114,water,1.0,water,1.0,2,9,0,9,J01
114,114,mCherry,1.0,mCherry,33.333,1,9,0,9,J01
260,20,High,1.516,Liposome,25.267,2,10,0,10,K01
260,20,wce,1.0,wce,1.0,25,10,0,10,K01
260,20,water,1.0,water,1.0,6,10,0,10,K01
260,20,mCherry,1.0,mCherry,33.333,1,10,0,10,K01
260,20,bR,5.0,DNA,166.667,1,10,0,10,K01
260,20,K,50.0,K,1666.667,1,10,0,10,K01
260,20,Mg,0.0,Mg,666.667,0,10,0,10,K01
260,20,Mg,0.0,Mg,333.333,0,10,0,10,K01
35,35,High,1.516,Liposome,25.267,2,11,0,11,L01
35,35,bR,5.0,DNA,166.667,1,11,0,11,L01
35,35,Mg,0.0,Mg,333.333,0,11,0,11,L01
35,35,Mg,0.0,Mg,666.667,0,11,0,11,L01
35,35,mCherry,1.0,mCherry,33.333,1,11,0,11,L01
35,35,water,1.0,water,1.0,5,11,0,11,L01
35,35,wce,1.0,wce,1.0,25,11,0,11,L01
35,35,K,100.0,K,1666.667,2,11,0,11,L01
81,81,K,50.0,K,1666.667,1,12,0,12,M01
81,81,High,1.516,Liposome,25.267,2,12,0,12,M01
81,81,Mg,10.0,Mg,333.333,1,12,0,12,M01
81,81,wce,1.0,wce,1.0,25,12,0,12,M01
81,81,water,1.0,water,1.0,5,12,0,12,M01
81,81,mCherry,1.0,mCherry,33.333,1,12,0,12,M01
81,81,Mg,10.0,Mg,666.667,0,12,0,12,M01
81,81,B2AR,5.0,DNA,166.667,1,12,0,12,M01
47,47,Mg,20.0,Mg,666.667,1,13,0,13,N01
47,47,mCherry,1.0,mCherry,33.333,1,13,0,13,N01
47,47,no_lipo,0.0,Liposome,0.0,0,13,0,13,N01
47,47,K,150.0,K,1666.667,3,13,0,13,N01
47,47,Mg,20.0,Mg,333.333,0,13,0,13,N01
47,47,bR,5.0,DNA,166.667,1,13,0,13,N01
47,47,no_lipo,0.0,Liposome,0.0,0,13,0,13,N01
47,47,wce,1.0,wce,1.0,25,13,0,13,N01
47,47,water,1.0,water,1.0,5,13,0,13,N01
107,107,wce,1.0,wce,1.0,25,14,0,14,O01
107,107,K,150.0,K,1666.667,3,14,0,14,O01
107,107,no_lipo,0.0,Liposome,0.0,0,14,0,14,O01
107,107,water,1.0,water,1.0,5,14,0,14,O01
107,107,Mg,20.0,Mg,333.333,0,14,0,14,O01
107,107,Mg,20.0,Mg,666.667,1,14,0,14,O01
107,107,mCherry,1.0,mCherry,33.333,1,14,0,14,O01
107,107,no_lipo,0.0,Liposome,0.0,0,14,0,14,O01
107,107,B2AR,5.0,DNA,166.667,1,14,0,14,O01
311,71,B2AR,5.0,DNA,166.667,1,15,0,15,P01
311,71,K,0.0,K,1666.667,0,15,0,15,P01
311,71,High,3.032,Liposome,25.267,4,15,0,15,P01
311,71,Mg,10.0,Mg,333.333,1,15,0,15,P01
311,71,Mg,10.0,Mg,666.667,0,15,0,15,P01
311,71,wce,1.0,wce,1.0,25,15,0,15,P01
311,71,mCherry,1.0,mCherry,33.333,1,15,0,15,P01
311,71,water,1.0,water,1.0,4,15,0,15,P01
116,116,Mg,10.0,Mg,333.333,1,16,1,0,A02
116,116,K,150.0,K,1666.667,3,16,1,0,A02
116,116,Mg,10.0,Mg,666.667,0,16,1,0,A02
116,116,mCherry,1.0,mCherry,33.333,1,16,1,0,A02
116,116,High,3.032,Liposome,25.267,4,16,1,0,A02
116,116,B2AR,5.0,DNA,166.667,1,16,1,0,A02
116,116,wce,1.0,wce,1.0,25,16,1,0,A02
116,116,water,1.0,water,1.0,1,16,1,0,A02
28,28,wce,1.0,wce,1.0,25,17,1,1,B02
28,28,bR,5.0,DNA,166.667,1,17,1,1,B02
28,28,mCherry,1.0,mCherry,33.333,1,17,1,1,B02
28,28,Mg,30.0,Mg,666.667,1,17,1,1,B02
28,28,Mg,30.0,Mg,333.333,1,17,1,1,B02
28,28,High,3.032,Liposome,25.267,4,17,1,1,B02
28,28,K,50.0,K,1666.667,1,17,1,1,B02
28,28,water,1.0,water,1.0,2,17,1,1,B02
36,36,High,1.516,Liposome,25.267,2,18,1,2,C02
36,36,Mg,10.0,Mg,333.333,1,18,1,2,C02
36,36,wce,1.0,wce,1.0,25,18,1,2,C02
36,36,water,1.0,water,1.0,4,18,1,2,C02
36,36,mCherry,1.0,mCherry,33.333,1,18,1,2,C02
36,36,Mg,10.0,Mg,666.667,0,18,1,2,C02
36,36,bR,5.0,DNA,166.667,1,18,1,2,C02
36,36,K,100.0,K,1666.667,2,18,1,2,C02
147,27,bR,5.0,DNA,166.667,1,19,1,3,D02
147,27,High,3.032,Liposome,25.267,4,19,1,3,D02
147,27,K,50.0,K,1666.667,1,19,1,3,D02
147,27,wce,1.0,wce,1.0,25,19,1,3,D02
147,27,water,1.0,water,1.0,3,19,1,3,D02
147,27,mCherry,1.0,mCherry,33.333,1,19,1,3,D02
147,27,Mg,20.0,Mg,666.667,1,19,1,3,D02
147,27,Mg,20.0,Mg,333.333,0,19,1,3,D02
268,28,K,50.0,K,1666.667,1,20,1,4,E02
268,28,bR,5.0,DNA,166.667,1,20,1,4,E02
268,28,High,3.032,Liposome,25.267,4,20,1,4,E02
268,28,water,1.0,water,1.0,2,20,1,4,E02
