Row,Column,Droplet
0,4,1
0,5,1
0,6,1
0,7,1
0,9,1
0,12,1
0,13,1
0,15,1
0,16,1
0,17,1
1,0,1
1,1,1
1,3,1
1,5,1
1,6,1
1,8,1
1,9,1
1,10,1
1,11,1
1,13,1
1,15,1
1,16,1
2,2,1
2,3,1
2,5,1
2,6,1
2,7,1
2,8,1
2,11,1
2,12,1
2,13,1
2,16,1
3,0,1
3,1,1
3,6,1
3,7,1
3,9,1
3,10,1
3,14,1
3,15,1
3,16,1
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,9,1
4,10,1
4,11,1
4,12,1
4,15,1
4,16,1
4,17,1
5,0,1
5,2,1
5,7,1
5,8,1
5,16,1
5,17,1
6,1,1
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,13,1
6,14,1
7,0,1
7,2,1
7,4,1
7,6,1
7,10,1
7,13,1
7,14,1
7,16,1
7,17,1
8,0,1
8,1,1
8,4,1
8,5,1
8,9,1
8,11,1
8,12,1
8,13,1
8,14,1
9,2,1
9,3,1
9,7,1
9,10,1
9,14,1
9,17,1
10,1,1
10,2,1
10,9,1
10,10,1
10,11,1
10,14,1
10,15,1
10,17,1
11,2,1
11,4,1
11,5,1
11,6,1
11,11,1
11,12,1
11,14,1
11,15,1
11,16,1
11,17,1
12,2,1
12,3,1
12,4,1
12,7,1
12,8,1
12,9,1
12,10,1
12,12,1
12,15,1
12,16,1
13,0,1
13,2,1
13,6,1
13,8,1
13,11,1
13,12,1
13,13,1
13,14,1
13,16,1
13,17,1
14,0,1
14,1,1
14,5,1
14,10,1
14,13,1
14,15,1
14,17,1
15,0,1
15,1,1
15,4,1
15,7,1
15,9,1
15,15,1
