Row,Column,Droplet
0,0,5
0,1,4
0,2,1
0,3,7
0,4,7
0,5,6
0,6,5
0,7,6
0,8,6
0,9,8
0,10,6
0,11,5
0,12,3
0,13,6
0,14,10
0,15,7
0,16,4
0,17,8
0,18,5
0,19,4
0,20,1
0,21,4
0,22,4
0,23,8
1,0,3
1,1,1
1,2,2
1,3,5
1,4,5
1,6,5
1,7,4
1,8,4
1,9,4
1,10,4
1,11,4
1,12,2
1,13,7
1,14,6
1,15,5
1,16,2
1,17,3
1,18,5
1,19,7
1,20,2
1,21,3
1,22,2
1,23,2
2,0,7
2,1,4
2,2,6
2,3,4
2,4,2
2,5,6
2,6,2
2,7,4
2,8,6
2,9,7
2,10,5
2,11,4
2,12,6
2,13,1
2,14,5
2,15,5
2,16,6
2,17,8
2,18,2
2,19,2
2,20,3
2,21,4
2,22,4
2,23,4
3,0,6
3,1,5
3,2,7
3,3,9
3,4,6
3,5,6
3,6,2
3,7,9
3,8,10
3,9,6
3,10,4
3,11,5
3,12,6
3,13,7
3,14,4
3,15,5
3,16,3
3,17,3
3,18,6
3,19,6
3,20,3
3,21,8
3,22,2
3,23,4
4,0,7
4,1,3
4,2,1
4,3,3
4,4,5
4,5,4
4,6,5
4,7,5
4,8,7
4,9,9
4,10,4
4,11,2
4,12,4
4,13,9
4,14,5
4,15,4
4,16,3
4,17,1
4,18,4
4,19,7
4,20,5
4,21,3
4,22,5
4,23,3
5,0,4
5,1,7
5,2,1
5,3,5
5,4,3
5,5,5
5,6,1
5,7,6
5,8,6
5,9,2
5,10,6
5,11,7
5,12,7
5,13,4
5,15,5
5,16,7
5,17,1
5,18,2
5,19,8
5,20,6
5,21,3
5,22,8
5,23,1
6,0,5
6,1,4
6,2,8
6,3,1
6,4,1
6,5,8
6,6,4
6,7,4
6,8,3
6,9,6
6,10,6
6,11,3
6,12,5
6,13,7
6,14,6
6,15,4
6,16,3
6,17,2
6,18,6
6,19,2
6,20,4
6,21,1
6,22,6
6,23,8
7,0,1
7,1,7
7,2,6
7,3,8
7,4,3
7,5,4
7,6,6
7,7,6
7,8,5
7,9,3
7,10,4
7,11,5
7,12,7
7,13,5
7,14,10
7,15,8
7,16,2
7,17,9
7,18,7
7,19,4
7,20,3
7,21,5
7,22,9
7,23,4
8,0,4
8,1,8
8,2,5
8,3,8
8,4,3
8,5,6
8,6,9
8,7,4
8,8,3
8,9,4
8,11,6
8,12,3
8,13,3
8,14,4
8,15,6
8,16,2
8,17,8
8,18,7
8,19,6
8,20,5
8,21,2
8,22,6
8,23,3
9,0,7
9,1,5
9,2,6
9,3,5
9,4,3
9,5,2
9,6,6
9,7,9
9,8,6
9,9,1
9,10,3
9,11,8
9,12,5
9,13,6
9,14,6
9,15,4
9,17,3
9,18,9
9,19,4
9,20,3
9,21,5
9,22,7
9,23,7
10,1,2
10,2,3
10,3,5
10,4,2
10,5,7
10,6,7
10,7,2
10,8,9
10,9,7
10,10,8
10,11,2
10,12,2
10,13,4
10,14,5
10,15,6
10,16,8
10,17,5
10,18,2
10,19,3
10,20,8
10,21,4
10,22,7
10,23,5
11,0,5
11,1,6
11,2,5
11,3,3
11,4,4
11,5,5
11,6,5
11,7,1
11,8,6
11,9,5
11,10,9
11,11,2
11,12,5
11,13,3
11,14,5
11,15,2
11,16,4
11,17,5
11,18,1
11,19,7
11,20,6
11,21,4
11,22,1
11,23,3
12,0,8
12,1,5
12,2,7
12,3,8
12,4,2
12,5,4
12,6,5
12,7,8
12,8,3
12,9,2
12,10,7
12,11,6
12,12,3
12,13,6
12,14,3
12,15,3
12,16,7
12,17,6
12,18,8
12,19,7
12,20,3
12,21,7
12,22,7
12,23,3
13,0,6
13,1,2
13,2,4
13,3,1
13,4,5
13,5,5
13,6,5
13,7,1
13,8,6
13,9,3
13,10,3
13,11,7
13,12,8
13,13,3
13,14,4
13,15,6
13,16,5
13,17,7
13,18,6
13,19,7
13,20,5
13,21,4
13,22,7
13,23,2
14,0,8
14,1,4
14,2,7
14,3,3
14,4,7
14,5,5
14,6,5
14,7,8
14,8,4
14,9,1
14,10,4
14,11,3
14,12,2
14,13,4
14,14,6
14,15,5
14,16,4
14,17,2
14,18,2
14,19,4
14,20,5
14,21,4
14,22,7
14,23,3
15,1,3
15,2,7
15,3,5
15,4,3
15,5,5
15,6,4
15,7,6
15,8,4
15,9,8
15,10,6
15,11,4
15,12,5
15,13,5
15,14,6
15,15,7
15,16,3
15,17,6
15,18,3
15,19,4
15,20,6
15,21,7
15,22,4
15,23,9
