Row,Column,Droplet
0,0,1
0,2,1
0,3,1
0,5,1
0,6,1
0,7,1
0,8,2
0,9,1
0,12,1
0,15,1
0,16,1
0,17,1
0,18,2
0,20,1
0,21,1
0,22,2
1,0,2
1,1,2
1,5,2
1,11,2
1,12,2
1,13,1
1,15,2
1,16,1
1,17,1
1,18,1
1,22,1
1,23,1
2,1,1
2,3,1
2,4,1
2,6,2
2,10,1
2,11,1
2,12,2
2,14,1
2,16,1
2,18,1
2,19,2
2,21,1
2,22,2
2,23,1
3,0,1
3,4,1
3,5,1
3,6,1
3,7,1
3,9,1
3,10,2
3,11,2
3,12,2
3,13,2
3,16,2
3,17,1
3,18,2
3,19,1
3,21,2
3,23,2
4,2,1
4,3,1
4,6,1
4,7,1
4,8,2
4,10,1
4,14,1
4,15,2
4,16,2
4,17,1
4,18,2
4,20,2
4,23,1
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
5,6,1
5,7,2
5,9,1
5,12,1
5,13,2
5,14,2
5,15,2
5,16,1
5,17,2
5,18,1
5,19,1
5,21,1
5,23,2
6,0,2
6,1,1
6,3,2
6,4,1
6,6,2
6,7,1
6,9,2
6,10,1
6,11,2
6,12,2
6,13,1
6,16,1
6,18,2
6,19,2
6,20,1
6,21,2
6,22,1
6,23,1
7,0,2
7,1,2
7,2,1
7,5,2
7,9,2
7,10,1
7,12,2
7,13,2
7,15,2
7,16,1
7,17,1
7,20,1
7,22,1
8,0,2
8,2,1
8,4,1
8,5,1
8,7,1
8,8,2
8,9,1
8,10,1
8,11,1
8,13,2
8,14,2
8,17,1
8,18,1
8,21,2
8,22,1
8,23,2
9,1,1
9,2,2
9,3,1
9,4,1
9,5,1
9,9,2
9,15,2
9,16,2
10,0,1
10,1,2
10,2,1
10,3,1
10,4,2
10,5,2
10,6,2
10,7,1
10,9,1
10,10,1
10,11,2
10,12,1
10,13,1
10,14,2
10,15,1
10,17,1
10,18,1
10,19,2
10,21,2
11,0,1
11,2,1
11,3,1
11,4,1
11,6,2
11,8,2
11,9,1
11,12,2
11,13,1
11,14,1
11,15,1
11,17,2
11,20,1
11,21,1
11,22,1
11,23,2
12,1,1
12,2,1
12,3,1
12,4,2
12,6,1
12,7,1
12,8,1
12,10,2
12,11,2
12,14,2
12,15,1
12,16,1
12,17,2
12,18,1
12,19,1
12,20,1
13,0,1
13,3,2
13,4,1
13,5,1
13,6,1
13,7,2
13,9,1
13,10,2
13,11,1
13,14,1
13,15,1
13,16,1
13,17,1
13,18,2
13,21,2
13,23,1
14,2,1
14,3,1
14,6,2
14,7,2
14,8,1
14,9,1
14,11,1
14,12,2
14,13,2
14,15,2
14,16,1
14,17,2
14,18,2
14,22,2
14,23,2
15,0,1
15,2,2
15,4,2
15,6,1
15,8,1
15,10,1
15,11,2
15,13,2
15,16,1
15,17,1
15,18,2
15,19,2
15,20,1
15,22,1
