Row,Column,Droplet
0,1,2
0,2,1
0,3,1
0,4,1
0,10,2
0,13,1
1,2,2
1,3,1
1,6,2
1,8,1
1,9,1
1,14,2
1,17,1
1,18,1
1,20,2
1,21,1
1,22,1
2,1,1
2,2,1
2,4,1
2,5,1
2,7,1
2,8,1
2,10,1
2,13,2
2,14,1
2,15,2
2,16,1
2,17,1
2,18,1
2,20,2
2,21,1
3,0,1
3,1,2
3,14,2
3,15,2
3,17,1
3,19,1
3,20,2
3,22,2
4,0,1
4,1,1
4,4,1
4,5,1
4,6,1
4,10,1
4,11,2
4,17,1
4,19,2
4,21,2
4,22,1
5,0,1
5,2,1
5,8,2
5,11,2
5,12,1
5,22,2
6,1,1
6,2,1
6,4,1
6,8,2
6,14,2
6,15,1
6,16,1
6,17,1
6,22,1
7,4,2
7,6,1
7,11,2
7,18,2
7,19,2
7,21,1
8,1,2
8,3,1
8,4,1
8,7,1
8,10,1
8,12,1
8,15,1
8,16,1
8,19,1
9,4,1
9,7,1
9,8,1
9,10,1
9,12,1
9,20,2
9,21,1
9,22,2
10,0,1
10,2,1
10,8,1
10,12,1
10,16,2
10,18,1
10,22,1
10,23,1
11,0,1
11,1,2
11,5,2
11,7,2
11,9,1
11,10,1
11,11,2
11,13,1
11,16,2
11,18,2
11,19,1
11,21,1
11,22,1
12,5,1
12,9,1
12,12,1
12,13,2
12,15,1
12,19,1
13,1,2
13,2,2
13,8,1
13,9,1
13,12,1
13,19,2
13,20,1
13,22,1
13,23,1
14,0,1
14,1,2
14,4,2
14,5,2
14,9,1
14,10,2
14,19,2
14,20,1
14,21,2
15,0,1
15,1,1
15,5,2
15,6,1
15,9,1
15,10,1
15,12,2
15,15,1
15,17,1
15,22,1
