Row,Column,Droplet
0,0,3
0,2,3
0,6,3
0,11,3
0,12,3
0,18,3
0,19,3
0,20,3
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,7,3
1,8,3
1,9,3
1,10,3
1,12,3
1,16,3
1,17,3
1,19,3
1,20,3
1,21,3
1,22,3
1,23,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,11,3
2,13,3
2,18,3
2,19,3
2,20,3
2,22,3
2,23,3
3,1,3
3,2,3
3,4,3
3,6,3
3,9,3
3,10,3
3,14,3
3,16,3
3,17,3
3,20,3
3,22,3
3,23,3
4,1,3
4,2,3
4,3,3
4,4,3
4,5,3
4,11,3
4,12,3
4,14,3
4,15,3
4,16,3
4,17,3
4,21,3
4,23,3
5,0,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,9,3
5,10,3
5,14,3
5,17,3
5,18,3
5,20,3
5,21,3
5,23,3
6,0,3
6,1,3
6,3,3
6,4,3
6,7,3
6,8,3
6,10,3
6,11,3
6,15,3
6,16,3
6,17,3
6,19,3
6,20,3
6,21,3
7,0,3
7,4,3
7,5,3
7,8,3
7,9,3
7,10,3
7,16,3
7,19,3
7,20,3
7,21,3
7,23,3
8,10,3
8,12,3
8,13,3
8,14,3
8,16,3
8,19,3
8,20,3
8,21,3
9,5,3
9,6,3
9,9,3
9,10,3
9,12,3
9,14,3
9,15,3
9,16,3
9,17,3
9,19,3
9,20,3
10,0,3
10,1,3
10,2,3
10,3,3
10,4,3
10,7,3
10,11,3
10,12,3
10,13,3
10,18,3
10,19,3
11,2,3
11,3,3
11,4,3
11,7,3
11,11,3
11,13,3
11,14,3
11,15,3
11,18,3
11,21,3
11,22,3
12,4,3
12,5,3
12,6,3
12,8,3
12,9,3
12,12,3
12,14,3
12,15,3
12,20,3
12,23,3
13,1,3
13,2,3
13,3,3
13,7,3
13,10,3
13,13,3
13,14,3
13,16,3
13,20,3
13,23,3
14,3,3
14,8,3
14,9,3
14,10,3
14,11,3
14,12,3
14,14,3
14,15,3
14,16,3
14,17,3
14,18,3
14,19,3
14,20,3
14,21,3
14,23,3
15,0,3
15,1,3
15,3,3
15,4,3
15,5,3
15,7,3
15,8,3
15,11,3
15,12,3
15,16,3
15,18,3
15,19,3
15,21,3
