Row,Column,Droplet
0,0,4
0,1,3
0,2,1
0,3,7
0,4,6
0,5,5
0,6,5
0,7,6
0,8,6
0,9,7
0,10,5
0,11,4
0,12,2
0,13,5
0,14,9
0,15,6
0,16,4
0,17,7
0,18,4
0,19,3
0,20,1
0,21,4
0,22,4
0,23,7
1,0,3
1,1,1
1,2,1
1,3,4
1,4,4
1,6,4
1,7,3
1,8,3
1,9,3
1,10,3
1,11,4
1,12,2
1,13,7
1,14,5
1,15,4
1,16,1
1,17,3
1,18,5
1,19,6
1,20,1
1,21,2
1,22,2
1,23,1
2,0,6
2,1,4
2,2,5
2,3,4
2,4,2
2,5,5
2,6,1
2,7,3
2,8,5
2,9,6
2,10,5
2,11,4
2,12,6
2,14,5
2,15,4
2,16,6
2,17,7
2,18,2
2,19,2
2,20,2
2,21,4
2,22,3
2,23,3
3,0,6
3,1,4
3,2,6
3,3,8
3,4,5
3,5,6
3,6,2
3,7,8
3,8,9
3,9,5
3,10,3
3,11,4
3,12,6
3,13,6
3,14,3
3,15,4
3,16,2
3,17,3
3,18,5
3,19,6
3,20,2
3,21,7
3,22,1
3,23,3
4,0,6
4,1,2
4,2,1
4,3,3
4,4,4
4,5,3
4,6,5
4,7,5
4,8,6
4,9,8
4,10,4
4,11,1
4,12,3
4,13,8
4,14,4
4,15,4
4,16,3
4,17,1
4,18,4
4,19,6
4,20,5
4,21,2
4,22,4
4,23,2
5,0,4
5,1,7
5,2,1
5,3,4
5,4,3
5,5,4
5,6,1
5,7,6
5,8,5
5,9,2
5,10,5
5,11,6
5,12,7
5,13,3
5,15,5
5,16,6
5,17,1
5,18,2
5,19,8
5,20,5
5,21,3
5,22,7
6,0,4
6,1,4
6,2,7
6,3,1
6,4,1
6,5,7
6,6,4
6,7,3
6,8,2
6,9,5
6,10,5
6,11,2
6,12,4
6,13,7
6,14,5
6,15,3
6,16,3
6,17,1
6,18,5
6,19,1
6,20,3
6,21,1
6,22,6
6,23,8
7,0,1
7,1,6
7,2,5
7,3,7
7,4,2
7,5,4
7,6,5
7,7,5
7,8,4
7,9,3
7,10,4
7,11,4
7,12,7
7,13,4
7,14,9
7,15,7
7,16,2
7,17,8
7,18,6
7,19,3
7,20,3
7,21,4
7,22,8
7,23,3
8,0,3
8,1,7
8,2,4
8,3,7
8,4,3
8,5,6
8,6,8
8,7,4
8,8,3
8,9,4
8,11,5
8,12,2
8,13,2
8,14,3
8,15,5
8,16,1
8,17,7
8,18,6
8,19,5
8,20,4
8,21,1
8,22,5
8,23,3
9,0,6
9,1,5
9,2,6
9,3,5
9,4,3
9,5,2
9,6,5
9,7,8
9,8,5
9,9,1
9,10,2
9,11,7
9,12,4
9,13,5
9,14,5
9,15,3
9,17,2
9,18,8
9,19,3
9,20,2
9,21,4
9,22,6
9,23,6
10,1,2
10,2,3
10,3,4
10,4,2
10,5,6
10,6,6
10,7,2
10,8,8
10,9,7
10,10,7
10,11,2
10,12,2
10,13,3
10,14,5
10,15,6
10,16,7
10,17,4
10,18,2
10,19,3
10,20,7
10,21,4
10,22,6
10,23,4
11,0,5
11,1,5
11,2,4
11,3,2
11,4,4
11,5,4
11,6,5
11,8,6
11,9,5
11,10,8
11,11,1
11,12,5
11,13,3
11,14,4
11,15,1
11,16,3
11,17,4
11,19,6
11,20,6
11,21,4
11,22,1
11,23,3
12,0,7
12,1,5
12,2,6
12,3,7
12,4,2
12,5,3
12,6,5
12,7,7
12,8,2
12,9,1
12,10,6
12,11,5
12,12,2
12,13,5
12,14,2
12,15,3
12,16,6
12,17,5
12,18,8
12,19,7
12,20,3
12,21,6
12,22,6
12,23,2
13,0,5
13,1,1
13,2,3
13,4,5
13,5,5
13,6,4
13,8,5
13,9,3
13,10,2
13,11,7
13,12,7
13,13,2
13,14,4
13,15,6
13,16,5
13,17,7
13,18,5
13,19,6
13,20,4
13,21,4
13,22,6
13,23,2
14,0,7
14,1,3
14,2,6
14,3,2
14,4,6
14,5,4
14,6,5
14,7,7
14,8,4
14,9,1
14,10,3
14,11,2
14,12,1
14,13,3
14,14,5
14,15,4
14,16,3
14,17,1
14,18,1
14,19,3
14,20,4
14,21,3
14,22,7
14,23,2
15,1,2
15,2,7
15,3,4
15,4,3
15,5,4
15,6,4
15,7,5
15,8,3
15,9,7
15,10,6
15,11,3
15,12,4
15,13,4
15,14,5
15,15,6
15,16,3
15,17,6
15,18,3
15,19,4
15,20,5
15,21,6
15,22,4
15,23,8
