Row,Column,Droplet
0,1,3
0,2,3
0,4,3
0,6,3
0,7,3
0,9,3
0,10,3
0,12,3
0,14,3
0,16,3
0,18,3
0,19,3
0,20,3
1,0,3
1,1,3
1,3,3
1,4,3
1,5,3
1,8,3
1,10,3
1,12,3
1,13,3
1,14,3
1,15,3
1,16,3
1,20,3
1,21,3
2,1,3
2,4,3
2,12,3
2,19,3
2,21,3
2,22,3
3,5,3
3,7,3
3,12,3
3,16,3
3,17,3
3,18,3
3,19,3
3,21,3
4,2,3
4,10,3
4,11,3
4,13,3
4,15,3
4,16,3
4,17,3
4,18,3
4,20,3
4,22,3
5,1,3
5,3,3
5,5,3
5,6,3
5,9,3
5,11,3
5,14,3
5,15,3
5,16,3
5,17,3
5,18,3
5,21,3
5,22,3
6,1,3
6,2,3
6,3,3
6,4,3
6,5,3
6,8,3
6,9,3
6,13,3
6,15,3
6,16,3
6,17,3
6,18,3
7,0,3
7,2,3
7,6,3
7,7,3
7,12,3
7,13,3
7,14,3
7,16,3
7,17,3
7,18,3
7,19,3
7,21,3
8,0,3
8,2,3
8,3,3
8,5,3
8,10,3
8,13,3
8,14,3
8,15,3
8,17,3
8,21,3
9,0,3
9,2,3
9,3,3
9,4,3
9,11,3
9,14,3
9,15,3
9,16,3
9,17,3
9,19,3
9,20,3
9,21,3
10,0,3
10,1,3
10,2,3
10,3,3
10,4,3
10,5,3
10,6,3
10,8,3
10,9,3
10,10,3
10,11,3
10,12,3
10,14,3
10,17,3
10,20,3
11,0,3
11,1,3
11,4,3
11,5,3
11,7,3
11,8,3
11,10,3
11,13,3
11,16,3
11,17,3
11,19,3
12,1,3
12,3,3
12,5,3
12,7,3
12,9,3
12,12,3
12,13,3
12,15,3
12,16,3
12,20,3
13,1,3
13,3,3
13,5,3
13,7,3
13,9,3
13,10,3
13,11,3
13,12,3
13,13,3
13,16,3
13,18,3
13,19,3
13,20,3
13,21,3
14,2,3
14,4,3
14,5,3
14,6,3
14,10,3
14,15,3
15,0,3
15,1,3
15,2,3
15,3,3
15,4,3
15,7,3
15,8,3
15,9,3
15,11,3
15,12,3
15,13,3
15,14,3
15,15,3
15,21,3
