Row,Column,Droplet
0,0,1
0,7,1
0,12,1
0,22,1
1,2,1
1,9,1
1,21,1
1,22,1
2,7,1
2,8,1
2,16,1
2,19,1
3,0,1
3,8,1
3,12,1
3,19,1
3,21,1
4,2,1
4,8,1
4,9,1
4,10,1
4,16,1
4,17,1
5,2,1
6,1,1
6,2,1
6,11,1
6,12,1
6,15,1
6,16,1
7,3,1
7,9,1
7,11,1
7,12,1
7,15,1
7,17,1
8,0,1
8,8,1
8,10,1
8,13,1
8,17,1
8,18,1
8,19,1
9,0,1
9,14,1
9,18,1
9,19,1
9,20,1
10,3,1
10,11,1
10,12,1
10,15,1
11,10,1
11,20,1
12,5,1
13,2,1
13,4,1
13,11,1
13,15,1
13,17,1
14,1,1
14,4,1
14,9,1
14,13,1
14,19,1
14,20,1
15,0,1
15,4,1
15,5,1
15,12,1
15,14,1
15,17,1
