Row,Column,Droplet
0,2,2
0,6,2
0,13,4
1,2,4
1,4,2
1,5,4
1,6,2
1,7,2
1,9,4
1,11,2
1,13,4
2,0,4
2,1,2
2,4,2
2,9,2
2,10,4
2,12,2
2,14,2
3,0,2
3,4,4
3,11,4
4,1,2
4,3,2
4,4,4
4,7,2
4,8,4
4,10,4
4,11,4
4,12,2
5,1,2
5,3,2
5,4,2
5,5,2
5,7,2
5,10,4
5,14,2
6,3,4
6,5,2
6,10,4
6,13,2
7,0,2
7,3,2
7,5,2
7,11,2
7,13,4
8,1,4
8,2,2
8,3,4
8,6,2
9,0,2
9,1,4
9,9,4
9,11,2
9,12,2
10,1,2
10,5,2
10,10,4
10,11,4
10,12,4
10,14,4
11,4,4
11,7,4
11,8,2
11,12,4
11,13,4
11,14,4
12,2,4
12,3,2
12,4,4
12,10,4
12,11,2
12,14,2
13,0,2
13,1,4
13,5,4
13,7,4
13,9,2
13,11,4
13,14,4
14,0,4
14,1,4
14,2,2
14,3,2
14,4,2
14,5,2
14,6,4
14,11,2
14,13,4
14,14,2
15,1,4
15,3,4
15,4,4
15,9,4
15,10,2
15,11,4
15,13,4
