Row,Column,Droplet
0,0,1
0,5,1
0,8,1
0,11,1
0,17,1
0,19,1
0,20,1
1,0,1
1,4,1
1,10,1
1,13,1
1,15,1
1,20,1
2,1,1
2,2,1
2,5,1
2,6,1
2,8,1
2,16,1
2,18,1
2,19,1
3,2,1
3,5,1
3,8,1
3,15,1
3,18,1
3,19,1
3,20,1
4,0,1
4,2,1
4,4,1
4,13,1
4,15,1
4,18,1
5,0,1
5,1,1
5,8,1
5,9,1
5,10,1
5,13,1
5,16,1
6,1,1
6,3,1
6,4,1
6,5,1
6,9,1
6,10,1
6,16,1
6,17,1
6,18,1
7,0,1
7,5,1
7,7,1
7,12,1
7,16,1
7,17,1
7,19,1
8,3,1
8,5,1
8,6,1
8,8,1
8,13,1
8,16,1
8,18,1
9,0,1
9,3,1
9,6,1
9,8,1
9,10,1
9,12,1
9,17,1
10,2,1
10,6,1
10,7,1
10,10,1
10,13,1
10,14,1
10,16,1
11,0,1
11,4,1
11,7,1
11,8,1
11,9,1
11,16,1
11,17,1
12,2,1
12,4,1
12,6,1
12,7,1
12,9,1
12,10,1
13,0,1
13,3,1
13,4,1
13,9,1
13,11,1
13,14,1
13,17,1
13,18,1
14,0,1
14,1,1
14,2,1
14,4,1
14,6,1
14,14,1
14,15,1
15,13,1
15,14,1
