Row,Column,Droplet
0,0,1
0,2,1
0,6,1
0,7,1
0,9,1
0,10,1
0,14,1
0,16,1
0,20,1
1,0,1
1,3,1
1,4,1
1,7,1
1,11,1
1,15,1
1,17,1
1,18,1
2,0,1
2,5,1
2,7,1
2,9,1
2,11,1
2,13,1
2,16,1
2,17,1
3,2,1
3,3,1
3,9,1
3,14,1
3,17,1
4,1,1
4,2,1
4,6,1
4,8,1
4,14,1
4,17,1
4,18,1
5,0,1
5,4,1
5,6,1
5,7,1
5,15,1
6,7,1
6,8,1
6,13,1
6,14,1
6,18,1
7,2,1
7,7,1
7,8,1
7,12,1
8,1,1
8,4,1
8,13,1
8,15,1
8,16,1
8,17,1
9,0,1
9,1,1
9,2,1
9,5,1
9,7,1
9,11,1
9,12,1
9,15,1
9,16,1
9,18,1
10,2,1
10,3,1
10,6,1
10,12,1
10,14,1
10,19,1
11,2,1
11,9,1
11,14,1
11,16,1
12,2,1
12,6,1
12,7,1
12,11,1
12,19,1
13,1,1
13,2,1
13,4,1
13,5,1
13,8,1
13,10,1
13,11,1
13,12,1
13,13,1
13,17,1
13,18,1
13,19,1
14,1,1
14,2,1
14,3,1
14,4,1
14,6,1
14,7,1
14,11,1
14,16,1
15,2,1
15,10,1
15,11,1
15,13,1
15,14,1
15,16,1
