Row,Column,Droplet
0,1,2
0,7,2
0,14,2
0,16,2
1,2,2
1,9,2
1,11,2
1,15,2
2,1,2
3,11,2
3,15,2
3,16,2
3,18,2
3,19,2
4,0,2
5,5,2
5,8,2
5,19,2
6,3,2
6,7,2
6,8,2
6,9,2
6,11,2
6,15,2
7,4,2
7,8,2
8,0,2
8,2,2
8,12,2
8,13,2
8,14,2
8,15,2
9,3,2
9,4,2
9,5,2
9,11,2
9,16,2
9,18,2
10,2,2
10,4,2
10,7,2
10,14,2
10,15,2
10,17,2
11,0,2
11,7,2
11,12,2
11,14,2
11,18,2
12,0,2
12,2,2
12,6,2
12,8,2
12,9,2
12,13,2
13,0,2
13,4,2
13,5,2
13,7,2
13,8,2
13,13,2
13,14,2
14,3,2
14,5,2
14,9,2
14,17,2
15,0,2
15,1,2
15,4,2
15,8,2
15,14,2
15,16,2
