Row,Column,Droplet
0,0,6
0,2,6
0,3,2
0,6,6
0,8,6
0,14,6
0,17,6
1,2,6
1,6,6
1,12,2
1,14,2
2,0,2
2,3,6
2,4,6
2,5,2
2,7,2
2,9,2
2,10,2
2,12,2
2,13,2
2,16,2
3,0,2
3,1,2
3,2,2
3,4,6
3,6,2
3,12,2
3,16,6
3,17,2
4,4,6
4,5,2
4,6,2
4,7,2
4,8,6
4,9,6
4,10,6
4,14,6
4,16,6
4,17,2
5,0,6
5,7,2
5,10,6
5,12,2
5,14,2
5,19,6
6,0,6
6,1,6
6,3,6
6,4,6
6,6,6
6,7,6
6,8,6
6,10,6
6,11,6
6,12,2
6,16,6
7,0,6
7,1,2
7,2,6
7,6,6
7,7,2
7,10,2
7,13,2
8,3,6
8,7,2
8,10,6
8,13,6
8,17,2
9,0,6
9,1,6
9,5,6
9,8,2
9,10,2
9,11,6
9,12,6
9,13,6
9,16,6
9,18,6
10,6,6
10,7,6
10,9,2
10,17,6
11,2,2
11,5,6
11,6,2
11,7,6
11,8,2
11,9,2
11,11,6
11,16,2
12,1,6
12,5,2
12,7,6
12,8,6
12,10,2
13,1,2
13,2,6
13,3,6
13,7,6
13,9,2
13,12,6
13,16,6
13,18,2
14,3,6
14,9,6
14,11,6
14,13,6
14,14,6
14,15,2
14,17,6
15,0,6
15,2,6
15,5,6
15,6,2
15,7,2
15,8,6
15,11,2
15,13,6
15,16,6
15,18,6
