Row,Column,Droplet
0,0,3
0,1,3
0,3,1
0,5,3
0,9,1
0,10,1
0,11,3
0,13,3
0,14,3
0,16,3
0,17,2
0,18,2
1,0,1
1,3,1
1,6,3
1,7,1
1,8,3
1,10,3
1,12,2
1,14,1
1,15,3
1,16,1
1,17,1
1,18,3
1,19,1
2,3,2
2,4,3
2,5,1
2,7,2
2,8,3
2,9,3
2,10,2
2,11,3
2,12,2
2,15,2
2,17,1
2,18,3
2,19,2
3,0,1
3,2,3
3,3,2
3,4,2
3,5,2
3,6,3
3,7,3
3,9,2
3,11,3
3,12,1
3,13,2
3,14,3
3,15,3
3,16,3
3,17,2
3,19,3
4,1,2
4,2,1
4,4,1
4,5,2
4,6,1
4,8,2
4,9,1
4,10,1
4,11,3
4,12,1
4,13,3
4,14,3
4,17,3
4,18,3
4,19,1
5,0,2
5,1,1
5,2,1
5,3,2
5,6,2
5,8,3
5,10,1
5,12,1
5,13,1
5,14,3
5,18,2
6,0,3
6,1,1
6,2,3
6,3,3
6,4,1
6,6,3
6,10,2
6,12,2
6,14,3
6,15,3
6,16,2
6,17,3
6,18,1
6,19,3
7,0,2
7,1,2
7,2,2
7,4,3
7,7,1
7,8,3
7,9,3
7,10,3
7,11,3
7,12,1
7,13,3
7,14,3
7,16,3
7,18,2
7,19,1
8,0,3
8,1,3
8,3,1
8,4,1
8,5,3
8,6,1
8,7,1
8,8,2
8,9,1
8,11,1
8,12,3
8,13,3
8,16,1
8,17,3
8,18,1
9,0,3
9,1,2
9,2,2
9,3,3
9,5,3
9,6,3
9,7,2
9,8,1
9,9,1
9,10,2
9,12,2
9,13,3
9,14,2
9,15,1
9,16,3
9,17,3
10,0,2
10,1,2
10,2,3
10,5,1
10,6,3
10,8,1
10,9,3
10,10,3
10,11,1
10,12,2
10,13,2
10,14,3
10,15,3
10,17,3
11,0,3
11,1,3
11,3,2
11,4,2
11,5,1
11,6,2
11,9,2
11,10,1
11,13,3
11,15,2
11,17,2
12,0,3
12,1,3
12,3,2
12,4,1
12,5,1
12,6,3
12,7,3
12,9,3
12,11,2
12,12,2
12,14,3
12,15,2
12,16,2
12,17,1
12,18,2
13,2,1
13,4,3
13,5,3
13,6,3
13,9,1
13,11,3
13,12,2
13,16,1
13,17,2
13,18,3
14,0,3
14,1,3
14,2,2
14,3,3
14,4,3
14,5,3
14,10,1
14,11,1
14,12,1
14,16,2
14,17,3
15,0,3
15,1,3
15,2,3
15,3,2
15,6,2
15,7,3
15,8,3
15,9,3
15,10,2
15,11,3
15,12,2
15,15,1
15,16,3
15,17,1
15,18,1
