Row,Column,Droplet
0,2,2
0,7,2
0,18,2
0,19,2
0,21,2
1,9,2
1,10,2
1,11,2
1,12,2
1,15,2
1,16,2
1,18,2
1,19,2
1,20,2
1,21,2
2,0,2
2,1,2
2,6,2
2,7,2
2,9,2
2,10,2
2,13,2
2,14,2
2,16,2
2,17,2
2,18,2
2,19,2
2,21,2
3,1,2
3,2,2
3,10,2
3,11,2
3,12,2
3,13,2
3,14,2
3,15,2
3,20,2
3,21,2
4,0,2
4,2,2
4,5,2
4,6,2
4,7,2
4,14,2
4,18,2
4,20,2
5,2,2
5,5,2
5,8,2
5,9,2
5,13,2
5,15,2
5,18,2
5,19,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,2
6,11,2
6,12,2
6,13,2
6,15,2
6,19,2
6,20,2
7,0,2
7,2,2
7,4,2
7,6,2
7,7,2
7,8,2
7,12,2
7,14,2
7,15,2
7,16,2
7,17,2
7,19,2
7,20,2
8,4,2
8,7,2
8,8,2
8,10,2
8,11,2
8,13,2
8,14,2
8,15,2
8,17,2
8,20,2
9,0,2
9,1,2
9,3,2
9,5,2
9,7,2
9,8,2
9,10,2
9,11,2
9,15,2
9,19,2
10,0,2
10,2,2
10,4,2
10,9,2
10,12,2
10,14,2
10,15,2
10,16,2
10,17,2
10,18,2
10,20,2
11,0,2
11,3,2
11,5,2
11,8,2
11,10,2
11,12,2
11,17,2
11,19,2
12,1,2
12,2,2
12,5,2
12,8,2
12,10,2
12,12,2
12,13,2
12,14,2
12,16,2
12,17,2
12,19,2
13,0,2
13,3,2
13,4,2
13,5,2
13,6,2
13,8,2
13,9,2
13,10,2
13,11,2
13,14,2
13,15,2
13,16,2
13,19,2
13,20,2
14,2,2
14,5,2
14,9,2
14,12,2
14,13,2
14,14,2
14,17,2
14,18,2
15,1,2
15,4,2
15,6,2
15,8,2
15,10,2
15,11,2
15,13,2
15,15,2
15,16,2
15,17,2
15,18,2
15,19,2
