well_name,deGFP,K,Mg,p70a,combo
A1,2.5,50.0,10.0,0.0,WT43
A1,2.5,50.0,10.0,0.0,WT43
A1,2.5,50.0,10.0,0.0,WT43
A1,2.5,50.0,10.0,0.0,WT43
A10,5.0,50.0,5.0,0.0,WT44
A10,5.0,50.0,5.0,0.0,WT44
A10,5.0,50.0,5.0,0.0,WT44
A10,5.0,50.0,5.0,0.0,WT44
A11,7.5,25.0,10.0,0.0,WT44
A11,7.5,25.0,10.0,0.0,WT44
A11,7.5,25.0,10.0,0.0,WT44
A11,7.5,25.0,10.0,0.0,WT44
A12,10.0,50.0,0.0,0.0,WT44
A12,10.0,50.0,0.0,0.0,WT44
A12,10.0,50.0,0.0,0.0,WT44
A12,10.0,50.0,0.0,0.0,WT44
A13,2.5,0.0,5.0,0.0,WT44
A13,2.5,0.0,5.0,0.0,WT44
A13,2.5,0.0,5.0,0.0,WT44
A13,2.5,0.0,5.0,0.0,WT44
A14,5.0,25.0,5.0,0.0,WT44
A14,5.0,25.0,5.0,0.0,WT44
A14,5.0,25.0,5.0,0.0,WT44
A14,5.0,25.0,5.0,0.0,WT44
A15,7.5,0.0,0.0,1.6,myTXTL
A15,7.5,0.0,0.0,1.6,myTXTL
A15,7.5,0.0,0.0,1.6,myTXTL
A16,7.5,0.0,0.0,1.2,myTXTL
A16,7.5,0.0,0.0,1.2,myTXTL
A16,7.5,0.0,0.0,1.2,myTXTL
A17,10.0,0.0,0.0,1.6,myTXTL
A17,10.0,0.0,0.0,1.6,myTXTL
A17,10.0,0.0,0.0,1.6,myTXTL
A2,5.0,50.0,0.0,0.0,WT43
A2,5.0,50.0,0.0,0.0,WT43
A2,5.0,50.0,0.0,0.0,WT43
A2,5.0,50.0,0.0,0.0,WT43
A3,5.0,50.0,5.0,0.0,WT43
A3,5.0,50.0,5.0,0.0,WT43
A3,5.0,50.0,5.0,0.0,WT43
A3,5.0,50.0,5.0,0.0,WT43
A4,7.5,25.0,10.0,0.0,WT43
A4,7.5,25.0,10.0,0.0,WT43
A4,7.5,25.0,10.0,0.0,WT43
A4,7.5,25.0,10.0,0.0,WT43
A5,10.0,50.0,0.0,0.0,WT43
A5,10.0,50.0,0.0,0.0,WT43
A5,10.0,50.0,0.0,0.0,WT43
A5,10.0,50.0,0.0,0.0,WT43
A6,2.5,0.0,5.0,0.0,WT43
A6,2.5,0.0,5.0,0.0,WT43
A6,2.5,0.0,5.0,0.0,WT43
A6,2.5,0.0,5.0,0.0,WT43
A7,5.0,25.0,5.0,0.0,WT43
A7,5.0,25.0,5.0,0.0,WT43
A7,5.0,25.0,5.0,0.0,WT43
A7,5.0,25.0,5.0,0.0,WT43
A8,2.5,50.0,10.0,0.0,WT44
A8,2.5,50.0,10.0,0.0,WT44
A8,2.5,50.0,10.0,0.0,WT44
A8,2.5,50.0,10.0,0.0,WT44
A9,5.0,50.0,0.0,0.0,WT44
A9,5.0,50.0,0.0,0.0,WT44
A9,5.0,50.0,0.0,0.0,WT44
A9,5.0,50.0,0.0,0.0,WT44
B1,7.5,50.0,0.0,0.0,WT43
B1,7.5,50.0,0.0,0.0,WT43
B1,7.5,50.0,0.0,0.0,WT43
B1,7.5,50.0,0.0,0.0,WT43
B10,2.5,25.0,5.0,0.0,WT44
B10,2.5,25.0,5.0,0.0,WT44
B10,2.5,25.0,5.0,0.0,WT44
B10,2.5,25.0,5.0,0.0,WT44
B11,10.0,25.0,10.0,0.0,WT44
B11,10.0,25.0,10.0,0.0,WT44
B11,10.0,25.0,10.0,0.0,WT44
B11,10.0,25.0,10.0,0.0,WT44
B12,10.0,50.0,10.0,0.0,WT44
B12,10.0,50.0,10.0,0.0,WT44
B12,10.0,50.0,10.0,0.0,WT44
B12,10.0,50.0,10.0,0.0,WT44
B13,2.5,0.0,5.0,0.0,WT44
B13,2.5,0.0,5.0,0.0,WT44
B13,2.5,0.0,5.0,0.0,WT44
B13,2.5,0.0,5.0,0.0,WT44
B14,2.5,0.0,0.0,0.0,WT44
B14,2.5,0.0,0.0,0.0,WT44
B14,2.5,0.0,0.0,0.0,WT44
B14,2.5,0.0,0.0,0.0,WT44
B15,5.0,0.0,0.0,1.6,myTXTL
B15,5.0,0.0,0.0,1.6,myTXTL
B15,5.0,0.0,0.0,1.6,myTXTL
B16,7.5,0.0,0.0,1.6,myTXTL
B16,7.5,0.0,0.0,1.6,myTXTL
B16,7.5,0.0,0.0,1.6,myTXTL
B17,7.5,0.0,0.0,0.4,myTXTL
B17,7.5,0.0,0.0,0.4,myTXTL
B17,7.5,0.0,0.0,0.4,myTXTL
B2,2.5,25.0,10.0,0.0,WT43
B2,2.5,25.0,10.0,0.0,WT43
B2,2.5,25.0,10.0,0.0,WT43
B2,2.5,25.0,10.0,0.0,WT43
B3,2.5,25.0,5.0,0.0,WT43
B3,2.5,25.0,5.0,0.0,WT43
B3,2.5,25.0,5.0,0.0,WT43
B3,2.5,25.0,5.0,0.0,WT43
B4,10.0,25.0,10.0,0.0,WT43
B4,10.0,25.0,10.0,0.0,WT43
B4,10.0,25.0,10.0,0.0,WT43
B4,10.0,25.0,10.0,0.0,WT43
