Row,Column,Droplet
0,0,2
0,3,2
0,4,2
0,6,2
0,12,2
0,14,2
0,15,2
0,19,2
1,15,2
1,14,2
1,12,2
1,8,2
1,7,2
1,4,2
1,3,2
2,1,2
2,4,2
2,8,2
2,12,2
2,17,2
2,18,2
3,18,2
3,16,2
3,14,2
3,13,2
3,9,2
3,3,2
3,1,2
3,0,2
4,1,2
4,2,2
4,5,2
4,6,2
4,7,2
4,9,2
4,11,2
4,12,2
4,16,2
4,17,2
4,18,2
5,18,2
5,17,2
5,16,2
5,13,2
5,11,2
5,10,2
5,7,2
5,6,2
5,3,2
5,2,2
5,1,2
5,0,2
6,0,2
6,2,2
6,3,2
6,4,2
6,5,2
6,7,2
6,11,2
6,12,2
6,17,2
7,18,2
7,15,2
7,13,2
7,11,2
7,10,2
7,9,2
7,8,2
7,6,2
7,5,2
7,4,2
7,3,2
7,2,2
7,1,2
7,0,2
8,4,2
8,14,2
8,15,2
8,17,2
8,18,2
9,15,2
9,14,2
9,13,2
9,9,2
9,8,2
9,7,2
9,5,2
10,2,2
10,9,2
10,13,2
10,14,2
10,16,2
10,18,2
11,18,2
11,16,2
11,12,2
11,9,2
11,7,2
11,5,2
11,4,2
11,3,2
12,2,2
12,7,2
12,9,2
12,11,2
12,13,2
12,14,2
12,15,2
12,17,2
13,17,2
13,13,2
13,12,2
13,11,2
13,9,2
13,7,2
14,1,2
14,3,2
14,5,2
14,7,2
14,9,2
14,12,2
14,14,2
14,15,2
14,18,2
15,18,2
15,16,2
15,13,2
15,12,2
15,11,2
15,8,2
15,6,2
15,4,2
15,2,2
15,1,2
15,0,2
