Row,Column,Droplet
0,1,2
0,5,4
0,10,4
1,19,4
1,17,2
1,9,4
1,5,4
1,2,4
2,0,2
2,1,2
2,3,4
2,7,2
2,8,2
2,9,4
2,11,2
2,14,4
2,15,2
2,16,4
3,11,2
3,9,2
3,8,4
3,3,4
4,2,2
4,4,2
4,7,2
4,8,4
4,10,4
4,11,2
4,16,4
5,18,2
5,16,4
5,11,4
5,5,4
5,4,2
5,2,4
5,1,2
6,0,4
6,5,2
6,6,4
6,7,2
6,9,2
6,10,4
6,12,2
6,16,2
6,18,2
7,17,4
7,15,4
7,10,4
7,8,2
7,7,4
7,6,2
7,4,2
7,3,2
7,2,4
7,0,2
8,2,4
8,5,4
8,9,4
8,11,4
8,12,2
8,13,2
8,17,4
8,18,2
9,18,4
9,17,4
9,16,4
9,15,2
9,11,2
9,10,4
9,7,4
9,4,4
9,0,2
10,1,4
10,2,4
10,4,2
10,7,4
10,8,2
10,9,2
10,11,4
10,13,4
10,16,2
10,18,4
11,17,2
11,16,4
11,15,2
11,14,2
11,13,4
11,9,4
11,4,2
12,4,4
12,8,4
12,10,2
12,11,2
12,12,2
12,14,4
12,15,2
12,16,4
12,17,4
13,15,2
13,14,2
13,13,2
13,9,2
13,7,4
13,2,4
14,0,2
14,3,4
14,5,4
14,7,4
14,9,4
14,12,2
14,14,4
14,15,4
15,16,4
15,15,4
15,14,2
15,13,4
15,9,4
15,5,4
15,3,4
15,2,2
