well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,mCherry,combo
A1,AqpZ,5.0,110.0,DOPC-LB4,3.0,15.0,0.5,Sample
A1,AqpZ,5.0,110.0,DOPC-LB4,3.0,15.0,0.5,Sample
A1,AqpZ,5.0,110.0,DOPC-LB4,3.0,15.0,0.5,Sample
A1,AqpZ,5.0,110.0,DOPC-LB4,3.0,15.0,0.5,Sample
A1,AqpZ,5.0,110.0,DOPC-LB4,3.0,15.0,0.5,Sample
A1,AqpZ,5.0,110.0,DOPC-LB4,3.0,15.0,0.5,Sample
A10,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A10,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A10,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A10,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A10,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A10,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A11,SecY-G,5.0,135.0,DOPC-LB5,3.0,20.0,0.5,Sample
A11,SecY-G,5.0,135.0,DOPC-LB5,3.0,20.0,0.5,Sample
A11,SecY-G,5.0,135.0,DOPC-LB5,3.0,20.0,0.5,Sample
A11,SecY-G,5.0,135.0,DOPC-LB5,3.0,20.0,0.5,Sample
A11,SecY-G,5.0,135.0,DOPC-LB5,3.0,20.0,0.5,Sample
A11,SecY-G,5.0,135.0,DOPC-LB5,3.0,20.0,0.5,Sample
A12,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A12,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A12,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A12,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A12,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
A12,Blank,0.0,85.0,DOPC-LB4,3.0,15.0,0.5,Blank
