well_name,deGFP,K,Mg,combo
A1,5.0,110.0,20.0,Ind-30
A1,5.0,110.0,20.0,Ind-30
A1,5.0,110.0,20.0,Ind-30
A1,5.0,110.0,20.0,Ind-30
A2,2.5,135.0,20.0,Ind-30
A2,2.5,135.0,20.0,Ind-30
A2,2.5,135.0,20.0,Ind-30
A2,2.5,135.0,20.0,Ind-30
A3,5.0,110.0,15.0,Ind-30
A3,5.0,110.0,15.0,Ind-30
A3,5.0,110.0,15.0,Ind-30
A3,5.0,110.0,15.0,Ind-30
A4,5.0,85.0,15.0,Ind-30
A4,5.0,85.0,15.0,Ind-30
A4,5.0,85.0,15.0,Ind-30
A4,5.0,85.0,15.0,Ind-30
A5,5.0,110.0,20.0,Ind-37
A5,5.0,110.0,20.0,Ind-37
A5,5.0,110.0,20.0,Ind-37
A5,5.0,110.0,20.0,Ind-37
A6,2.5,135.0,20.0,Ind-37
A6,2.5,135.0,20.0,Ind-37
A6,2.5,135.0,20.0,Ind-37
A6,2.5,135.0,20.0,Ind-37
A7,5.0,110.0,15.0,Ind-37
A7,5.0,110.0,15.0,Ind-37
A7,5.0,110.0,15.0,Ind-37
A7,5.0,110.0,15.0,Ind-37
A8,5.0,85.0,15.0,Ind-37
A8,5.0,85.0,15.0,Ind-37
A8,5.0,85.0,15.0,Ind-37
A8,5.0,85.0,15.0,Ind-37
B1,2.5,110.0,20.0,Ind-30
B1,2.5,110.0,20.0,Ind-30
B1,2.5,110.0,20.0,Ind-30
B1,2.5,110.0,20.0,Ind-30
B2,5.0,135.0,25.0,Ind-30
B2,5.0,135.0,25.0,Ind-30
B2,5.0,135.0,25.0,Ind-30
B2,5.0,135.0,25.0,Ind-30
B3,2.5,135.0,25.0,Ind-30
B3,2.5,135.0,25.0,Ind-30
B3,2.5,135.0,25.0,Ind-30
B3,2.5,135.0,25.0,Ind-30
B4,5.0,110.0,25.0,Ind-30
B4,5.0,110.0,25.0,Ind-30
B4,5.0,110.0,25.0,Ind-30
B4,5.0,110.0,25.0,Ind-30
B5,2.5,110.0,20.0,Ind-37
B5,2.5,110.0,20.0,Ind-37
B5,2.5,110.0,20.0,Ind-37
B5,2.5,110.0,20.0,Ind-37
B6,5.0,135.0,25.0,Ind-37
B6,5.0,135.0,25.0,Ind-37
B6,5.0,135.0,25.0,Ind-37
B6,5.0,135.0,25.0,Ind-37
B7,2.5,135.0,25.0,Ind-37
B7,2.5,135.0,25.0,Ind-37
B7,2.5,135.0,25.0,Ind-37
B7,2.5,135.0,25.0,Ind-37
B8,5.0,110.0,25.0,Ind-37
B8,5.0,110.0,25.0,Ind-37
B8,5.0,110.0,25.0,Ind-37
B8,5.0,110.0,25.0,Ind-37
C1,2.5,110.0,25.0,Ind-30
C1,2.5,110.0,25.0,Ind-30
C1,2.5,110.0,25.0,Ind-30
C1,2.5,110.0,25.0,Ind-30
C2,2.5,135.0,15.0,Ind-30
C2,2.5,135.0,15.0,Ind-30
C2,2.5,135.0,15.0,Ind-30
C2,2.5,135.0,15.0,Ind-30
C3,5.0,110.0,20.0,Ind-30
C3,5.0,110.0,20.0,Ind-30
C3,5.0,110.0,20.0,Ind-30
C3,5.0,110.0,20.0,Ind-30
C4,5.0,135.0,15.0,Ind-30
C4,5.0,135.0,15.0,Ind-30
C4,5.0,135.0,15.0,Ind-30
C4,5.0,135.0,15.0,Ind-30
C5,2.5,110.0,25.0,Ind-37
C5,2.5,110.0,25.0,Ind-37
C5,2.5,110.0,25.0,Ind-37
C5,2.5,110.0,25.0,Ind-37
C6,2.5,135.0,15.0,Ind-37
C6,2.5,135.0,15.0,Ind-37
C6,2.5,135.0,15.0,Ind-37
C6,2.5,135.0,15.0,Ind-37
C7,5.0,110.0,20.0,Ind-37
C7,5.0,110.0,20.0,Ind-37
C7,5.0,110.0,20.0,Ind-37
C7,5.0,110.0,20.0,Ind-37
C8,5.0,135.0,15.0,Ind-37
C8,5.0,135.0,15.0,Ind-37
C8,5.0,135.0,15.0,Ind-37
C8,5.0,135.0,15.0,Ind-37
D1,5.0,85.0,25.0,Ind-30
D1,5.0,85.0,25.0,Ind-30
D1,5.0,85.0,25.0,Ind-30
D1,5.0,85.0,25.0,Ind-30
D2,5.0,110.0,25.0,Ind-30
D2,5.0,110.0,25.0,Ind-30
D2,5.0,110.0,25.0,Ind-30
D2,5.0,110.0,25.0,Ind-30
D3,5.0,110.0,25.0,Ind-30
D3,5.0,110.0,25.0,Ind-30
D3,5.0,110.0,25.0,Ind-30
D3,5.0,110.0,25.0,Ind-30
D4,5.0,85.0,15.0,Ind-30
D4,5.0,85.0,15.0,Ind-30
D4,5.0,85.0,15.0,Ind-30
D4,5.0,85.0,15.0,Ind-30
D5,5.0,85.0,25.0,Ind-37
