well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,combo
A1,AqpZ,5,135,DOPC,3,25,no_SecY
A1,AqpZ,5,135,DOPC,3,25,no_SecY
A1,AqpZ,5,135,DOPC,3,25,no_SecY
A1,AqpZ,5,135,DOPC,3,25,no_SecY
A1,AqpZ,5,135,DOPC,3,25,no_SecY
A10,CD47,5,135,DOPC,3,25,with_SecY
A10,CD47,5,135,DOPC,3,25,with_SecY
A10,CD47,5,135,DOPC,3,25,with_SecY
A10,CD47,5,135,DOPC,3,25,with_SecY
A10,CD47,5,135,DOPC,3,25,with_SecY
A11,SecY-G,5,135,DOPC,3,25,no_SecY
A11,SecY-G,5,135,DOPC,3,25,no_SecY
A11,SecY-G,5,135,DOPC,3,25,no_SecY
A11,SecY-G,5,135,DOPC,3,25,no_SecY
A11,SecY-G,5,135,DOPC,3,25,no_SecY
A2,CD47,5,135,no_lipo,0,20,with_SecY
A2,CD47,5,135,no_lipo,0,20,with_SecY
A2,CD47,5,135,no_lipo,0,20,with_SecY
A2,CD47,5,135,no_lipo,0,20,with_SecY
A2,CD47,5,135,no_lipo,0,20,with_SecY
A3,SecY-G,5,85,DOPC,3,20,no_SecY
A3,SecY-G,5,85,DOPC,3,20,no_SecY
A3,SecY-G,5,85,DOPC,3,20,no_SecY
A3,SecY-G,5,85,DOPC,3,20,no_SecY
A3,SecY-G,5,85,DOPC,3,20,no_SecY
A4,AqpZ,5,110,no_lipo,0,25,no_SecY
A4,AqpZ,5,110,no_lipo,0,25,no_SecY
A4,AqpZ,5,110,no_lipo,0,25,no_SecY
A4,AqpZ,5,110,no_lipo,0,25,no_SecY
A4,AqpZ,5,110,no_lipo,0,25,no_SecY
A5,AqpZ,5,135,DOPC,3,15,no_SecY
A5,AqpZ,5,135,DOPC,3,15,no_SecY
A5,AqpZ,5,135,DOPC,3,15,no_SecY
A5,AqpZ,5,135,DOPC,3,15,no_SecY
A5,AqpZ,5,135,DOPC,3,15,no_SecY
A6,SecY-G,5,110,DOPC,3,15,no_SecY
A6,SecY-G,5,110,DOPC,3,15,no_SecY
A6,SecY-G,5,110,DOPC,3,15,no_SecY
A6,SecY-G,5,110,DOPC,3,15,no_SecY
A6,SecY-G,5,110,DOPC,3,15,no_SecY
A7,SecY-G,5,110,DOPC,3,15,no_SecY
A7,SecY-G,5,110,DOPC,3,15,no_SecY
A7,SecY-G,5,110,DOPC,3,15,no_SecY
A7,SecY-G,5,110,DOPC,3,15,no_SecY
A7,SecY-G,5,110,DOPC,3,15,no_SecY
A8,CD47,5,110,no_lipo,0,25,with_SecY
A8,CD47,5,110,no_lipo,0,25,with_SecY
A8,CD47,5,110,no_lipo,0,25,with_SecY
A8,CD47,5,110,no_lipo,0,25,with_SecY
A8,CD47,5,110,no_lipo,0,25,with_SecY
A9,AqpZ,5,85,no_lipo,0,15,no_SecY
A9,AqpZ,5,85,no_lipo,0,15,no_SecY
A9,AqpZ,5,85,no_lipo,0,15,no_SecY
A9,AqpZ,5,85,no_lipo,0,15,no_SecY
A9,AqpZ,5,85,no_lipo,0,15,no_SecY
B1,SecY-G,5,135,DOPC,3,25,no_SecY
B1,SecY-G,5,135,DOPC,3,25,no_SecY
B1,SecY-G,5,135,DOPC,3,25,no_SecY
B1,SecY-G,5,135,DOPC,3,25,no_SecY
B1,SecY-G,5,135,DOPC,3,25,no_SecY
B10,CD47,5,135,DOPC,3,20,with_SecY
B10,CD47,5,135,DOPC,3,20,with_SecY
B10,CD47,5,135,DOPC,3,20,with_SecY
B10,CD47,5,135,DOPC,3,20,with_SecY
B10,CD47,5,135,DOPC,3,20,with_SecY
