well_name,GFP,Liposome_name,Liposome_conc,combo
A1,0.25,5% Ni-NTA,0.96,Standard
A1,0.25,5% Ni-NTA,0.96,Standard
A1,0.25,5% Ni-NTA,0.96,Standard
A2,1.0,20% Ni-NTA,0.96,Standard
A2,1.0,20% Ni-NTA,0.96,Standard
A2,1.0,20% Ni-NTA,0.96,Standard
A3,1.0,5% Ni-NTA,3.0,Standard
A3,1.0,5% Ni-NTA,3.0,Standard
A3,1.0,5% Ni-NTA,3.0,Standard
A4,4.8,DOPC,3.0,Standard
A4,4.8,DOPC,3.0,Standard
A4,4.8,DOPC,3.0,Standard
A5,1.0,DOPC,3.0,Standard
A5,1.0,DOPC,3.0,Standard
A5,1.0,DOPC,3.0,Standard
A6,0.25,DOPC,3.0,Standard
A6,0.25,DOPC,3.0,Standard
A6,0.25,DOPC,3.0,Standard
A7,1.0,DOPC,0.96,Standard
A7,1.0,DOPC,0.96,Standard
A7,1.0,DOPC,0.96,Standard
A8,0.25,DOPC,2.04,Standard
A8,0.25,DOPC,2.04,Standard
A8,0.25,DOPC,2.04,Standard
B1,4.8,DOPC,0.96,Standard
B1,4.8,DOPC,0.96,Standard
B1,4.8,DOPC,0.96,Standard
B2,4.8,20% Ni-NTA,3.0,Standard
B2,4.8,20% Ni-NTA,3.0,Standard
B2,4.8,20% Ni-NTA,3.0,Standard
B3,0.0,No Lipo,0.0,Standard
B3,0.0,No Lipo,0.0,Standard
B3,0.0,No Lipo,0.0,Standard
B4,4.8,5% Ni-NTA,3.0,Standard
B4,4.8,5% Ni-NTA,3.0,Standard
B4,4.8,5% Ni-NTA,3.0,Standard
B5,0.0,No Lipo,0.0,Standard
B5,0.0,No Lipo,0.0,Standard
B5,0.0,No Lipo,0.0,Standard
B6,0.25,5% Ni-NTA,2.04,Standard
B6,0.25,5% Ni-NTA,2.04,Standard
B6,0.25,5% Ni-NTA,2.04,Standard
B7,0.0,DOPC,0.96,Standard
B7,0.0,DOPC,0.96,Standard
B7,0.0,DOPC,0.96,Standard
B8,0.25,DOPC,2.04,Standard
B8,0.25,DOPC,2.04,Standard
B8,0.25,DOPC,2.04,Standard
C1,0.0,5% Ni-NTA,2.04,Standard
C1,0.0,5% Ni-NTA,2.04,Standard
C1,0.0,5% Ni-NTA,2.04,Standard
C2,4.8,5% Ni-NTA,0.96,Standard
C2,4.8,5% Ni-NTA,0.96,Standard
C2,4.8,5% Ni-NTA,0.96,Standard
C3,0.25,DOPC,3.0,Standard
C3,0.25,DOPC,3.0,Standard
C3,0.25,DOPC,3.0,Standard
C4,4.8,DOPC,3.0,Standard
C4,4.8,DOPC,3.0,Standard
C4,4.8,DOPC,3.0,Standard
C5,4.8,20% Ni-NTA,0.96,Standard
C5,4.8,20% Ni-NTA,0.96,Standard
C5,4.8,20% Ni-NTA,0.96,Standard
C6,4.8,20% Ni-NTA,3.0,Standard
C6,4.8,20% Ni-NTA,3.0,Standard
C6,4.8,20% Ni-NTA,3.0,Standard
C7,0.25,20% Ni-NTA,3.0,Standard
C7,0.25,20% Ni-NTA,3.0,Standard
C7,0.25,20% Ni-NTA,3.0,Standard
C8,0.0,20% Ni-NTA,3.0,Standard
C8,0.0,20% Ni-NTA,3.0,Standard
C8,0.0,20% Ni-NTA,3.0,Standard
D1,0.25,DOPC,2.04,Standard
D1,0.25,DOPC,2.04,Standard
D1,0.25,DOPC,2.04,Standard
D2,1.0,20% Ni-NTA,3.0,Standard
D2,1.0,20% Ni-NTA,3.0,Standard
D2,1.0,20% Ni-NTA,3.0,Standard
D3,1.0,No Lipo,0.0,Standard
D3,1.0,No Lipo,0.0,Standard
D3,1.0,No Lipo,0.0,Standard
D4,1.0,20% Ni-NTA,3.0,Standard
D4,1.0,20% Ni-NTA,3.0,Standard
D4,1.0,20% Ni-NTA,3.0,Standard
D5,1.0,5% Ni-NTA,0.96,Standard
D5,1.0,5% Ni-NTA,0.96,Standard
D5,1.0,5% Ni-NTA,0.96,Standard
D6,0.25,5% Ni-NTA,3.0,Standard
D6,0.25,5% Ni-NTA,3.0,Standard
D6,0.25,5% Ni-NTA,3.0,Standard
D7,1.0,5% Ni-NTA,3.0,Standard
D7,1.0,5% Ni-NTA,3.0,Standard
D7,1.0,5% Ni-NTA,3.0,Standard
D8,0.25,No Lipo,0.0,Standard
D8,0.25,No Lipo,0.0,Standard
D8,0.25,No Lipo,0.0,Standard
E1,4.8,DOPC,3.0,Standard
E1,4.8,DOPC,3.0,Standard
E1,4.8,DOPC,3.0,Standard
E2,0.0,5% Ni-NTA,3.0,Standard
E2,0.0,5% Ni-NTA,3.0,Standard
E2,0.0,5% Ni-NTA,3.0,Standard
E3,1.0,No Lipo,0.0,Standard
E3,1.0,No Lipo,0.0,Standard
E3,1.0,No Lipo,0.0,Standard
E4,4.8,5% Ni-NTA,2.04,Standard
E4,4.8,5% Ni-NTA,2.04,Standard
E4,4.8,5% Ni-NTA,2.04,Standard
E5,0.25,20% Ni-NTA,2.04,Standard
E5,0.25,20% Ni-NTA,2.04,Standard
E5,0.25,20% Ni-NTA,2.04,Standard
E6,0.0,20% Ni-NTA,2.04,Standard
E6,0.0,20% Ni-NTA,2.04,Standard
E6,0.0,20% Ni-NTA,2.04,Standard
E7,0.0,DOPC,2.04,Standard
E7,0.0,DOPC,2.04,Standard
E7,0.0,DOPC,2.04,Standard
E8,0.0,5% Ni-NTA,3.0,Standard
E8,0.0,5% Ni-NTA,3.0,Standard
E8,0.0,5% Ni-NTA,3.0,Standard
F1,0.25,5% Ni-NTA,0.96,Standard
F1,0.25,5% Ni-NTA,0.96,Standard
F1,0.25,5% Ni-NTA,0.96,Standard
F2,1.0,DOPC,0.96,Standard
F2,1.0,DOPC,0.96,Standard
F2,1.0,DOPC,0.96,Standard
F3,4.8,5% Ni-NTA,3.0,Standard
F3,4.8,5% Ni-NTA,3.0,Standard
F3,4.8,5% Ni-NTA,3.0,Standard
F4,1.0,5% Ni-NTA,2.04,Standard
F4,1.0,5% Ni-NTA,2.04,Standard
F4,1.0,5% Ni-NTA,2.04,Standard
F5,1.0,DOPC,0.96,Standard
F5,1.0,DOPC,0.96,Standard
F5,1.0,DOPC,0.96,Standard
F6,4.8,DOPC,2.04,Standard
F6,4.8,DOPC,2.04,Standard
F6,4.8,DOPC,2.04,Standard
F7,1.0,5% Ni-NTA,2.04,Standard
F7,1.0,5% Ni-NTA,2.04,Standard
F7,1.0,5% Ni-NTA,2.04,Standard
F8,4.8,20% Ni-NTA,2.04,Standard
F8,4.8,20% Ni-NTA,2.04,Standard
F8,4.8,20% Ni-NTA,2.04,Standard
G1,0.25,DOPC,0.96,Standard
G1,0.25,DOPC,0.96,Standard
G1,0.25,DOPC,0.96,Standard
