Row,Column,Droplet
0,0,2
0,1,2
0,2,2
0,4,2
0,5,2
0,6,2
0,8,2
0,9,2
0,11,2
0,16,2
0,17,2
0,19,2
0,20,2
1,19,2
1,18,2
1,15,2
1,14,2
1,11,2
1,10,2
1,9,2
1,7,2
1,6,2
1,5,2
1,4,2
1,3,2
1,1,2
2,1,2
2,2,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,16,2
2,19,2
3,20,2
3,13,2
3,12,2
3,11,2
3,10,2
3,3,2
3,2,2
4,2,2
4,6,2
4,8,2
4,9,2
4,14,2
4,16,2
4,17,2
4,18,2
5,18,2
5,17,2
5,16,2
5,14,2
5,13,2
5,11,2
5,10,2
5,8,2
5,2,2
6,2,2
6,3,2
6,7,2
6,8,2
6,9,2
6,13,2
6,16,2
7,19,2
7,15,2
7,9,2
7,8,2
7,6,2
7,5,2
7,4,2
7,0,2
8,0,2
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
8,7,2
8,9,2
8,11,2
8,12,2
8,15,2
9,15,2
9,14,2
9,13,2
9,12,2
9,11,2
9,9,2
9,8,2
9,6,2
9,4,2
9,2,2
10,2,2
10,3,2
10,4,2
10,5,2
10,6,2
10,7,2
10,9,2
10,11,2
10,12,2
10,15,2
10,16,2
10,17,2
10,18,2
10,19,2
11,17,2
11,14,2
11,13,2
11,11,2
11,8,2
11,7,2
11,5,2
11,2,2
11,0,2
12,0,2
12,3,2
12,4,2
12,5,2
12,8,2
12,10,2
12,11,2
12,13,2
12,16,2
12,17,2
12,18,2
13,19,2
13,11,2
13,10,2
13,9,2
13,7,2
13,6,2
13,2,2
13,0,2
14,1,2
14,2,2
14,4,2
14,7,2
14,9,2
14,10,2
14,11,2
14,12,2
14,14,2
14,15,2
14,17,2
15,18,2
15,17,2
15,16,2
15,11,2
15,10,2
15,8,2
15,7,2
15,6,2
15,5,2
15,3,2
15,1,2
