Row,Column,Droplet
0,0,2
0,1,2
0,5,2
0,7,2
0,8,2
0,10,2
0,11,2
0,12,2
0,14,2
0,16,2
0,17,2
0,19,2
0,20,2
0,22,2
1,23,2
1,20,2
1,15,2
1,10,2
1,5,2
1,4,2
1,3,2
1,2,2
1,1,2
2,1,2
2,3,2
2,5,2
2,8,2
2,9,2
2,16,2
2,22,2
3,22,2
3,21,2
3,18,2
3,16,2
3,15,2
3,9,2
3,7,2
3,6,2
3,5,2
4,8,2
4,9,2
4,10,2
4,11,2
4,17,2
4,18,2
4,21,2
4,23,2
5,23,2
5,19,2
5,14,2
5,11,2
5,10,2
5,4,2
5,3,2
5,1,2
5,0,2
6,0,2
6,3,2
6,4,2
6,5,2
6,7,2
6,10,2
6,12,2
6,15,2
6,17,2
6,19,2
6,20,2
6,22,2
7,22,2
7,20,2
7,16,2
7,14,2
7,11,2
7,10,2
7,8,2
7,5,2
7,1,2
8,1,2
8,2,2
8,3,2
8,6,2
8,7,2
8,10,2
8,12,2
8,17,2
8,19,2
8,20,2
8,23,2
9,22,2
9,20,2
9,19,2
9,17,2
9,14,2
9,13,2
9,12,2
9,7,2
9,6,2
9,4,2
9,3,2
9,0,2
10,4,2
10,5,2
10,8,2
10,10,2
10,13,2
10,14,2
10,18,2
10,19,2
11,22,2
11,20,2
11,19,2
11,18,2
11,16,2
11,15,2
11,11,2
11,9,2
11,7,2
11,2,2
11,0,2
12,2,2
12,3,2
12,4,2
12,6,2
12,7,2
12,8,2
12,9,2
12,13,2
12,15,2
12,16,2
12,18,2
12,20,2
13,20,2
13,18,2
13,15,2
13,14,2
13,13,2
13,11,2
13,10,2
13,9,2
13,7,2
13,5,2
13,1,2
14,2,2
14,7,2
14,9,2
14,12,2
14,13,2
14,14,2
14,16,2
14,19,2
14,21,2
15,22,2
15,20,2
15,17,2
15,12,2
15,10,2
15,9,2
15,8,2
15,6,2
15,4,2
15,2,2
15,1,2
