Row,Column,Droplet
0,0,2
0,1,5
0,2,5
0,5,2
0,8,5
0,9,2
0,10,5
0,11,2
0,12,5
0,13,5
0,15,5
0,16,2
0,19,5
0,20,2
1,20,5
1,19,5
1,18,2
1,16,2
1,15,5
1,13,2
1,11,5
1,9,5
1,8,5
1,7,5
1,6,2
1,5,5
1,4,5
1,2,5
2,0,2
2,1,5
2,2,2
2,4,5
2,5,2
2,6,2
2,7,5
2,8,5
2,10,2
2,11,2
2,12,2
2,14,2
2,15,2
2,16,5
2,17,2
2,20,5
3,20,2
3,19,5
3,17,2
3,16,2
3,14,5
3,13,2
3,12,2
3,10,2
3,9,5
3,7,2
3,6,2
3,3,2
3,1,2
3,0,5
4,0,2
4,2,5
4,5,2
4,10,5
4,12,2
4,13,5
4,14,2
4,16,2
4,17,5
4,18,2
4,19,2
5,19,5
5,18,2
5,17,2
5,14,2
5,13,2
5,12,2
5,10,5
5,9,2
5,6,5
5,5,5
5,4,2
5,2,2
5,1,5
6,1,5
6,2,2
6,3,2
6,4,2
6,7,5
6,9,2
6,10,2
6,12,5
6,13,5
6,16,2
6,17,2
6,18,5
7,19,2
7,18,5
7,15,2
7,14,2
7,13,2
7,12,5
7,11,2
7,10,2
7,9,5
7,8,5
7,7,2
7,5,2
7,4,2
7,3,2
7,2,2
7,1,2
7,0,2
8,0,5
8,1,5
8,2,2
8,6,2
8,7,2
8,9,2
8,10,5
8,13,5
8,14,5
8,15,2
8,16,2
8,17,5
8,18,5
8,19,5
9,18,5
9,17,2
9,16,2
9,14,5
9,13,5
9,11,5
9,8,5
9,6,2
9,5,2
9,4,5
9,3,5
9,2,5
9,1,5
10,0,5
10,1,2
10,4,5
10,5,5
10,8,2
10,9,5
10,11,5
10,12,2
10,14,5
10,15,5
10,17,2
10,18,5
10,19,2
11,18,5
11,17,5
11,16,5
11,15,2
11,14,5
11,12,2
11,11,5
11,10,2
11,7,5
11,6,5
11,5,5
11,4,5
11,3,5
11,2,5
11,1,5
12,1,2
12,2,2
12,3,5
12,5,2
12,7,2
12,9,2
12,11,5
12,12,2
12,14,5
12,15,5
12,16,2
12,19,2
13,19,2
13,18,5
13,16,2
13,15,2
13,14,5
13,13,5
13,10,2
13,9,5
13,8,2
13,5,5
13,4,5
13,2,2
13,1,5
13,0,5
14,0,2
14,3,2
14,4,2
14,7,5
14,9,5
14,10,5
14,13,5
14,16,5
14,17,2
14,19,5
15,19,5
15,18,2
15,17,2
15,14,2
15,12,5
15,11,5
15,10,5
15,9,2
15,8,2
15,6,5
15,5,5
15,3,5
15,2,2
15,0,2
