well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
A1,MtlA,5.0,0.0,0.6,DOPC,3.0,0.0,Experiment,15,85
A10,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.0,Experiment,15,85
A11,AqpZ,5.0,0.0,1.5,no_lipo,0.0,0.0,Experiment,15,85
A12,MtlA,5.0,1.5,0.6,no_lipo,0.0,0.5,Experiment,15,85
A13,AqpZ,5.0,1.5,1.5,DOPC,3.0,1.0,Experiment,15,85
A14,AqpZ,5.0,0.0,1.5,no_lipo,0.0,0.0,Experiment,15,85
A15,AqpZ,5.0,1.5,0.0,DOPC,3.0,1.0,Experiment,15,85
A16,AqpZ,5.0,0.6,1.5,no_lipo,0.0,0.0,Experiment,15,85
A17,MtlA,5.0,1.5,0.6,DOPC,3.0,0.0,Experiment,15,85
A18,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.5,Experiment,15,85
A19,AqpZ,5.0,1.5,0.0,DOPC,3.0,0.5,Experiment,15,85
A2,MtlA,5.0,1.5,1.5,no_lipo,0.0,1.0,Experiment,15,85
A20,MtlA,5.0,0.6,1.5,DOPC,3.0,1.0,Experiment,15,85
A21,MtlA,5.0,1.5,0.6,no_lipo,0.0,1.0,Experiment,15,85
A3,MtlA,5.0,0.0,1.5,no_lipo,0.0,0.0,Experiment,15,85
A4,AqpZ,5.0,0.0,0.0,no_lipo,0.0,1.0,Experiment,15,85
A5,MtlA,5.0,0.0,0.0,DOPC,3.0,1.0,Experiment,15,85
A6,MtlA,5.0,1.5,0.6,DOPC,3.0,0.0,Experiment,15,85
A7,MtlA,5.0,0.0,0.0,DOPC,3.0,0.5,Experiment,15,85
A8,AqpZ,5.0,0.6,0.0,DOPC,3.0,0.0,Experiment,15,85
A9,MtlA,5.0,1.5,1.5,no_lipo,0.0,1.0,Experiment,15,85
B1,AqpZ,5.0,0.6,0.0,no_lipo,0.0,0.5,Experiment,15,85
B10,MtlA,5.0,0.0,1.5,no_lipo,0.0,1.0,Experiment,15,85
B11,MtlA,5.0,1.5,0.0,no_lipo,0.0,0.0,Experiment,15,85
B12,MtlA,5.0,0.6,1.5,DOPC,3.0,0.0,Experiment,15,85
B13,AqpZ,5.0,1.5,0.0,DOPC,3.0,1.0,Experiment,15,85
B14,AqpZ,5.0,1.5,0.6,no_lipo,0.0,0.0,Experiment,15,85
B15,MtlA,5.0,1.5,0.0,DOPC,3.0,0.5,Experiment,15,85
B16,MtlA,5.0,1.5,1.5,no_lipo,0.0,0.0,Experiment,15,85
B17,AqpZ,5.0,1.5,0.6,no_lipo,0.0,0.0,Experiment,15,85
B18,AqpZ,5.0,0.0,0.0,DOPC,3.0,0.5,Experiment,15,85
B19,MtlA,5.0,1.5,0.6,no_lipo,0.0,1.0,Experiment,15,85
B2,MtlA,5.0,0.0,0.0,no_lipo,0.0,1.0,Experiment,15,85
B20,MtlA,5.0,0.6,1.5,DOPC,3.0,0.0,Experiment,15,85
B21,AqpZ,5.0,0.0,1.5,DOPC,3.0,0.0,Experiment,15,85
B3,AqpZ,5.0,1.5,1.5,DOPC,3.0,0.5,Experiment,15,85
B4,MtlA,5.0,0.6,0.0,no_lipo,0.0,1.0,Experiment,15,85
B5,MtlA,5.0,1.5,1.5,DOPC,3.0,0.5,Experiment,15,85
B6,MtlA,5.0,1.5,1.5,no_lipo,0.0,0.5,Experiment,15,85
B7,MtlA,5.0,0.6,0.6,DOPC,3.0,0.5,Experiment,15,85
B8,MtlA,5.0,1.5,1.5,DOPC,3.0,0.5,Experiment,15,85
B9,AqpZ,5.0,0.0,1.5,no_lipo,0.0,1.0,Experiment,15,85
C1,AqpZ,5.0,0.6,0.6,no_lipo,0.0,0.0,Experiment,15,85
C10,MtlA,5.0,0.6,0.0,DOPC,3.0,1.0,Experiment,15,85
C11,MtlA,5.0,0.0,0.6,DOPC,3.0,1.0,Experiment,15,85
C12,MtlA,5.0,1.5,0.6,no_lipo,0.0,0.5,Experiment,15,85
C13,MtlA,5.0,0.0,0.6,no_lipo,0.0,0.0,Experiment,15,85
C14,AqpZ,5.0,0.6,0.0,DOPC,3.0,0.5,Experiment,15,85
C15,AqpZ,5.0,0.6,0.6,DOPC,3.0,0.0,Experiment,15,85
C16,AqpZ,5.0,0.6,0.6,DOPC,3.0,1.0,Experiment,15,85
C17,MtlA,5.0,0.6,1.5,DOPC,3.0,0.5,Experiment,15,85
C18,AqpZ,5.0,0.6,0.6,no_lipo,0.0,0.5,Experiment,15,85
C19,AqpZ,5.0,1.5,0.0,DOPC,3.0,0.0,Experiment,15,85
C2,MtlA,5.0,0.6,1.5,no_lipo,0.0,0.5,Experiment,15,85
C20,MtlA,5.0,0.6,0.0,DOPC,3.0,1.0,Experiment,15,85
C21,AqpZ,5.0,0.0,1.5,DOPC,3.0,1.0,Experiment,15,85
C3,MtlA,5.0,0.0,0.6,DOPC,3.0,0.5,Experiment,15,85
C4,AqpZ,5.0,0.0,0.0,no_lipo,0.0,0.0,Experiment,15,85
C5,AqpZ,5.0,1.5,1.5,no_lipo,0.0,0.5,Experiment,15,85
