Row,Column,Droplet
0,2,2
0,3,2
0,6,2
0,9,2
0,13,2
0,15,2
0,18,2
0,21,2
1,22,2
1,17,2
1,16,2
1,14,2
1,13,2
1,12,2
1,9,2
1,8,2
1,6,2
1,0,2
2,0,2
2,2,2
2,4,2
2,7,2
2,11,2
2,14,2
2,15,2
2,17,2
2,19,2
2,20,2
2,21,2
2,23,2
3,23,2
3,20,2
3,19,2
3,17,2
3,14,2
3,11,2
3,10,2
3,4,2
3,3,2
3,2,2
3,1,2
3,0,2
4,0,2
4,1,2
4,2,2
4,3,2
4,4,2
4,5,2
4,6,2
4,7,2
4,14,2
4,15,2
4,16,2
4,19,2
4,20,2
4,22,2
5,22,2
5,21,2
5,20,2
5,18,2
5,17,2
5,16,2
5,15,2
5,13,2
5,12,2
5,9,2
5,6,2
5,5,2
5,2,2
6,1,2
6,2,2
6,6,2
6,11,2
6,13,2
6,14,2
6,16,2
6,18,2
7,21,2
7,19,2
7,18,2
7,17,2
7,15,2
7,13,2
7,12,2
7,9,2
7,7,2
7,6,2
7,3,2
7,2,2
8,0,2
8,4,2
8,5,2
8,8,2
8,9,2
8,11,2
8,13,2
8,14,2
8,15,2
8,16,2
8,18,2
8,21,2
8,22,2
9,23,2
9,21,2
9,18,2
9,15,2
9,11,2
9,10,2
9,9,2
9,8,2
9,2,2
9,1,2
10,0,2
10,1,2
10,2,2
10,6,2
10,7,2
10,9,2
10,11,2
10,12,2
10,15,2
10,17,2
10,20,2
10,21,2
10,22,2
11,21,2
11,17,2
11,14,2
11,12,2
11,10,2
11,6,2
11,5,2
11,3,2
11,1,2
12,5,2
12,10,2
12,11,2
12,17,2
12,19,2
12,21,2
13,22,2
13,21,2
13,16,2
13,12,2
13,8,2
13,6,2
13,4,2
13,0,2
14,0,2
14,3,2
14,8,2
14,10,2
14,11,2
14,15,2
14,17,2
14,18,2
14,20,2
15,19,2
15,18,2
15,16,2
15,3,2
15,0,2
