well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
A1,Neu,5.0,0.6,0.6,no_lipo,0.0,1.0,with SecYE,15,85
A10,MtlA,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,15,85
A11,Neu,5.0,0.3,0.3,DOPC,3.0,1.0,with SecYE,15,85
A12,Neu,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,15,85
A13,Neu,5.0,0.0,0.0,no_lipo,0.0,0.5,with SecYE,15,85
A14,MtlA,5.0,0.6,0.3,no_lipo,0.0,1.0,with SecYE,15,85
A15,Neu,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,15,85
A16,MtlA,5.0,0.6,0.0,DOPC,3.0,1.0,with SecYE,15,85
A17,Neu,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,15,85
A18,Neu,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,15,85
A19,MtlA,5.0,0.3,0.6,no_lipo,0.0,0.0,with SecYE,15,85
A2,Neu,5.0,0.0,0.0,DOPC,3.0,1.0,with SecYE,15,85
A20,Neu,5.0,0.0,0.3,DOPC,3.0,0.5,with SecYE,15,85
A21,Neu,5.0,0.0,0.6,no_lipo,0.0,0.5,with SecYE,15,85
A22,MtlA,5.0,0.3,0.3,DOPC,3.0,0.0,with SecYE,15,85
A23,Neu,5.0,0.6,0.3,DOPC,3.0,1.0,with SecYE,15,85
A24,SecYE-G,5.0,0.6,0.6,DOPC,3.0,0.0,No SecYE,15,85
A3,MtlA,5.0,0.3,0.3,no_lipo,0.0,0.0,with SecYE,15,85
A4,MtlA,5.0,0.6,0.0,no_lipo,0.0,1.0,with SecYE,15,85
A5,SecYE-G,5.0,0.3,0.6,no_lipo,0.0,0.0,No SecYE,15,85
A6,Neu,5.0,0.3,0.0,DOPC,3.0,0.5,with SecYE,15,85
A7,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.0,with SecYE,15,85
A8,Neu,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,15,85
A9,Neu,5.0,0.6,0.0,DOPC,3.0,0.5,with SecYE,15,85
B1,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.0,with SecYE,15,85
B10,MtlA,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,15,85
B11,Neu,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,15,85
B12,SecYE-G,5.0,0.6,0.3,no_lipo,0.0,0.0,No SecYE,15,85
B13,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.5,with SecYE,15,85
B14,MtlA,5.0,0.0,0.3,DOPC,3.0,1.0,with SecYE,15,85
B15,MtlA,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,15,85
B16,Neu,5.0,0.0,0.6,DOPC,3.0,0.0,with SecYE,15,85
B17,MtlA,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,15,85
B18,MtlA,5.0,0.3,0.6,no_lipo,0.0,0.0,with SecYE,15,85
B19,SecYE-G,5.0,0.3,0.0,DOPC,3.0,0.0,No SecYE,15,85
B2,Neu,5.0,0.0,0.0,DOPC,3.0,0.5,with SecYE,15,85
B20,SecYE-G,5.0,0.0,0.6,DOPC,3.0,0.0,No SecYE,15,85
B21,Neu,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,15,85
B22,SecYE-G,5.0,0.0,0.0,DOPC,3.0,0.0,No SecYE,15,85
B23,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.5,with SecYE,15,85
B24,Neu,5.0,0.6,0.3,no_lipo,0.0,0.5,with SecYE,15,85
B3,Neu,5.0,0.6,0.6,DOPC,3.0,0.0,with SecYE,15,85
B4,Neu,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,15,85
B5,Neu,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,15,85
B6,Neu,5.0,0.0,0.3,no_lipo,0.0,0.5,with SecYE,15,85
B7,MtlA,5.0,0.6,0.6,DOPC,3.0,0.0,with SecYE,15,85
B8,SecYE-G,5.0,0.3,0.6,no_lipo,0.0,0.0,No SecYE,15,85
B9,MtlA,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,15,85
C1,MtlA,5.0,0.0,0.3,no_lipo,0.0,0.0,with SecYE,15,85
C10,Neu,5.0,0.0,0.3,DOPC,3.0,0.5,with SecYE,15,85
C11,SecYE-G,5.0,0.0,0.0,DOPC,3.0,0.0,No SecYE,15,85
C12,MtlA,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,15,85
C13,SecYE-G,5.0,0.3,0.3,no_lipo,0.0,0.0,No SecYE,15,85
C14,SecYE-G,5.0,0.6,0.0,no_lipo,0.0,0.0,No SecYE,15,85
C15,MtlA,5.0,0.0,0.6,no_lipo,0.0,1.0,with SecYE,15,85
C16,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.5,with SecYE,15,85
C17,Neu,5.0,0.6,0.0,no_lipo,0.0,1.0,with SecYE,15,85
C18,MtlA,5.0,0.3,0.0,DOPC,3.0,0.0,with SecYE,15,85
C19,SecYE-G,5.0,0.3,0.6,DOPC,3.0,0.0,No SecYE,15,85
C2,Neu,5.0,0.3,0.0,no_lipo,0.0,0.0,with SecYE,15,85
C20,MtlA,5.0,0.3,0.6,DOPC,3.0,0.0,with SecYE,15,85
C21,MtlA,5.0,0.3,0.3,no_lipo,0.0,1.0,with SecYE,15,85
C22,MtlA,5.0,0.3,0.3,no_lipo,0.0,0.5,with SecYE,15,85
C23,Neu,5.0,0.3,0.6,DOPC,3.0,1.0,with SecYE,15,85
C24,MtlA,5.0,0.0,0.3,no_lipo,0.0,1.0,with SecYE,15,85
C3,MtlA,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,15,85
C4,Neu,5.0,0.6,0.6,no_lipo,0.0,0.5,with SecYE,15,85
C5,MtlA,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,15,85
C6,Neu,5.0,0.0,0.3,no_lipo,0.0,0.5,with SecYE,15,85
C7,SecYE-G,5.0,0.0,0.6,DOPC,3.0,0.0,No SecYE,15,85
C8,MtlA,5.0,0.0,0.3,no_lipo,0.0,0.5,with SecYE,15,85
C9,Neu,5.0,0.3,0.0,no_lipo,0.0,1.0,with SecYE,15,85
D1,MtlA,5.0,0.6,0.0,DOPC,3.0,0.5,with SecYE,15,85
D10,Neu,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,15,85
D11,MtlA,5.0,0.6,0.3,DOPC,3.0,1.0,with SecYE,15,85
D12,MtlA,5.0,0.6,0.3,no_lipo,0.0,0.5,with SecYE,15,85
D13,SecYE-G,5.0,0.0,0.3,no_lipo,0.0,0.0,No SecYE,15,85
D14,SecYE-G,5.0,0.6,0.3,DOPC,3.0,0.0,No SecYE,15,85
D15,MtlA,5.0,0.6,0.0,DOPC,3.0,0.0,with SecYE,15,85
D16,Neu,5.0,0.0,0.3,no_lipo,0.0,0.5,with SecYE,15,85
D17,Neu,5.0,0.3,0.3,no_lipo,0.0,0.0,with SecYE,15,85
D18,MtlA,5.0,0.3,0.3,DOPC,3.0,1.0,with SecYE,15,85
D19,Neu,5.0,0.6,0.0,DOPC,3.0,1.0,with SecYE,15,85
D2,MtlA,5.0,0.0,0.6,no_lipo,0.0,0.5,with SecYE,15,85
D20,MtlA,5.0,0.0,0.0,no_lipo,0.0,0.0,with SecYE,15,85
D21,MtlA,5.0,0.0,0.3,no_lipo,0.0,1.0,with SecYE,15,85
D22,Neu,5.0,0.3,0.3,no_lipo,0.0,0.5,with SecYE,15,85
D23,Neu,5.0,0.3,0.6,DOPC,3.0,0.0,with SecYE,15,85
D24,MtlA,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,15,85
D3,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.5,with SecYE,15,85
D4,MtlA,5.0,0.0,0.6,no_lipo,0.0,1.0,with SecYE,15,85
D5,MtlA,5.0,0.6,0.0,DOPC,3.0,0.5,with SecYE,15,85
D6,Neu,5.0,0.3,0.3,DOPC,3.0,0.5,with SecYE,15,85
D7,Neu,5.0,0.0,0.3,DOPC,3.0,1.0,with SecYE,15,85
D8,Neu,5.0,0.6,0.6,DOPC,3.0,0.5,with SecYE,15,85
D9,SecYE-G,5.0,0.0,0.3,DOPC,3.0,0.0,No SecYE,15,85
E1,MtlA,5.0,0.6,0.3,no_lipo,0.0,0.0,with SecYE,15,85
E10,Neu,5.0,0.3,0.6,no_lipo,0.0,0.0,with SecYE,15,85
