Row,Column,Droplet
0,0,4
0,2,2
0,3,4
0,4,2
0,5,2
0,6,4
0,7,4
0,8,4
0,9,4
0,10,2
0,11,4
0,13,4
0,14,2
0,15,4
0,16,2
0,18,2
0,21,2
0,22,4
0,23,4
1,23,4
1,22,4
1,20,2
1,18,2
1,17,2
1,16,4
1,14,2
1,12,4
1,11,4
1,7,2
1,6,4
1,4,4
1,3,4
1,2,4
1,0,4
2,1,2
2,2,2
2,3,4
2,4,4
2,8,2
2,11,2
2,12,2
2,13,4
2,15,4
2,16,4
2,17,2
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
3,23,4
3,22,2
3,21,2
3,18,4
3,17,2
3,16,2
3,14,4
3,13,4
3,11,4
3,10,4
3,9,4
3,7,4
3,5,2
3,4,4
3,2,4
3,0,4
4,0,4
4,1,2
4,4,4
4,6,4
4,7,2
4,9,2
4,11,2
4,16,2
4,21,2
4,23,2
5,23,4
5,20,2
5,17,2
5,15,4
5,14,4
5,13,4
5,11,2
5,10,4
5,9,4
5,8,2
5,6,2
5,4,4
5,3,2
5,2,2
5,1,2
5,0,2
6,1,2
6,2,4
6,3,4
6,4,2
6,5,4
6,6,2
6,8,4
6,10,2
6,13,2
6,15,2
6,16,2
6,17,2
6,18,4
6,19,4
6,20,2
6,21,4
6,23,4
7,23,4
7,22,2
7,20,2
7,17,4
7,16,2
7,15,2
7,13,2
7,12,4
7,9,2
7,6,2
7,5,2
7,3,4
7,1,2
7,0,4
8,4,4
8,5,2
8,7,2
8,8,4
8,9,2
8,10,2
8,11,4
8,14,4
8,15,4
8,16,2
8,17,2
8,19,2
8,20,4
8,22,4
8,23,2
9,23,2
9,21,4
9,20,4
9,19,2
9,18,2
9,17,2
9,16,2
9,15,2
9,14,4
9,13,4
9,12,2
9,11,4
9,10,2
9,9,4
9,8,2
9,7,4
9,6,4
9,5,4
9,4,2
9,2,2
9,1,4
9,0,2
10,0,2
10,1,2
10,2,4
10,3,4
10,6,2
10,7,2
10,9,2
10,11,2
10,15,2
10,16,2
10,17,4
10,19,4
10,21,2
11,22,4
11,21,4
11,20,4
11,19,2
11,18,4
11,17,2
11,15,4
11,13,4
11,12,4
11,9,4
11,8,2
11,7,4
11,4,2
11,2,4
11,1,4
11,0,2
12,0,4
12,1,2
12,2,4
12,3,4
12,5,4
12,6,2
12,7,2
12,8,4
12,10,4
12,11,2
12,13,4
12,14,4
12,16,2
12,17,4
12,18,4
12,19,4
12,20,4
12,21,4
12,22,4
13,22,2
13,19,2
13,18,4
13,17,2
13,16,4
13,14,2
13,11,2
13,10,4
13,9,4
13,8,4
13,7,4
13,5,2
13,2,2
13,1,4
14,0,4
14,2,4
14,4,2
14,5,4
14,9,2
14,10,4
14,12,4
14,13,4
14,14,2
14,16,2
14,17,2
14,19,4
14,20,2
14,22,2
15,22,4
15,21,2
15,20,4
15,19,2
15,18,2
15,17,2
15,16,2
15,15,4
15,14,2
15,11,4
15,10,2
15,9,2
15,8,4
15,3,2
15,1,4
15,0,2
