Row,Column,Droplet
0,0,4
0,2,2
0,4,4
0,7,2
0,9,2
0,10,2
0,11,2
0,13,2
0,14,4
0,16,4
0,18,4
0,19,2
0,20,4
0,21,2
0,22,2
0,23,4
1,23,2
1,19,4
1,17,4
1,16,2
1,15,4
1,14,4
1,13,2
1,12,4
1,11,2
1,10,4
1,8,4
1,7,4
1,6,4
1,5,2
1,4,2
1,3,2
1,2,4
2,0,2
2,3,4
2,4,2
2,5,2
2,6,4
2,7,2
2,9,2
2,12,2
2,14,4
2,15,4
2,18,4
2,19,4
2,20,2
2,21,2
2,22,4
2,23,2
3,23,2
3,22,4
3,21,2
3,20,2
3,17,2
3,16,2
3,15,2
3,13,2
3,12,2
3,11,2
3,10,2
3,9,2
3,8,2
3,7,4
3,6,2
3,5,2
3,3,4
3,1,4
4,0,2
4,1,2
4,2,4
4,3,4
4,4,2
4,9,4
4,11,4
4,12,4
4,15,4
4,16,2
4,17,4
4,18,2
4,19,2
4,21,4
4,23,4
5,22,4
5,21,2
5,19,2
5,18,2
5,15,4
5,14,2
5,13,2
5,11,4
5,10,2
5,9,2
5,8,4
5,7,2
5,4,4
5,2,4
5,1,2
6,1,4
6,2,2
6,3,2
6,4,4
6,5,2
6,6,4
6,7,4
6,8,2
6,9,4
6,10,2
6,11,2
6,12,2
6,14,2
6,16,2
6,19,4
6,20,4
6,22,4
6,23,4
7,22,2
7,21,2
7,19,4
7,17,4
7,16,2
7,13,2
7,12,4
7,11,2
7,9,2
7,6,2
7,5,4
7,4,4
7,3,4
7,2,4
8,1,2
8,3,2
8,4,2
8,6,2
8,7,4
8,8,2
8,10,2
8,11,4
8,12,4
8,14,4
8,15,4
8,16,4
8,17,4
8,18,2
8,20,2
8,21,4
8,23,4
9,23,2
9,21,2
9,20,4
9,18,4
9,17,2
9,16,2
9,15,2
9,12,2
9,10,4
9,9,2
9,7,2
9,6,4
9,5,4
9,4,4
9,2,4
9,1,2
9,0,4
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
10,8,4
10,9,2
10,10,4
10,11,2
10,13,4
10,14,4
10,15,4
10,16,4
10,17,4
10,18,4
10,21,4
10,22,2
11,22,2
11,18,4
11,15,4
11,13,4
11,12,2
11,9,4
11,6,4
11,5,4
11,3,4
11,0,2
12,2,4
12,3,4
12,4,2
12,7,2
12,8,2
12,9,2
12,12,2
12,14,2
12,15,4
12,16,2
12,17,4
12,18,2
12,21,4
12,22,2
13,22,2
13,21,4
13,20,2
13,19,2
13,18,4
13,17,4
13,16,4
13,15,4
13,14,2
13,13,4
13,12,4
13,11,2
13,10,2
13,9,4
13,8,4
13,7,2
13,6,2
13,5,2
13,4,4
13,1,4
13,0,2
14,0,4
14,1,2
14,2,4
14,5,2
14,8,2
14,10,4
14,11,2
14,14,4
14,15,4
14,16,2
14,17,4
14,18,2
14,19,4
14,20,2
14,22,2
15,21,2
15,19,4
15,18,4
15,15,4
15,14,2
15,13,2
15,12,2
15,5,4
15,4,2
15,3,4
15,2,4
15,0,2
