Row,Column,Droplet
0,1,2
0,2,1
0,6,2
0,7,1
0,8,1
0,10,1
0,11,2
0,12,1
0,13,2
1,13,2
1,12,1
1,10,1
1,7,1
1,6,2
1,5,2
1,4,2
1,3,1
1,2,2
1,1,2
1,0,1
2,0,2
2,1,1
2,4,2
2,5,1
2,6,2
2,7,2
2,8,1
3,12,1
3,10,1
3,8,2
3,7,2
3,6,2
3,5,1
3,3,1
3,0,1
4,0,1
4,1,2
4,2,1
4,4,2
4,5,2
4,6,1
4,8,1
4,11,2
4,12,2
5,11,2
5,9,1
5,7,1
5,4,2
5,2,2
5,1,2
6,0,1
6,2,1
6,4,2
6,5,1
6,8,2
6,10,2
6,11,2
7,12,1
7,11,2
7,9,1
7,8,2
7,7,1
7,6,1
7,5,2
7,4,2
7,3,1
7,1,1
8,0,1
8,1,2
8,2,1
8,3,1
8,7,1
8,9,2
9,12,1
9,11,1
9,10,2
9,9,1
9,6,2
9,4,2
9,2,1
9,1,1
9,0,1
10,0,1
10,1,2
10,2,2
10,4,1
10,5,2
10,6,2
10,7,1
10,8,2
10,10,2
10,11,2
10,12,1
11,11,2
11,10,2
11,7,2
11,6,2
11,5,2
11,4,1
11,3,2
11,2,2
11,1,2
12,1,2
12,2,2
12,3,2
12,4,2
12,6,2
12,7,1
12,8,2
12,9,2
12,10,2
12,11,2
13,12,2
13,11,2
13,10,2
13,9,2
13,8,2
13,6,1
13,4,1
13,3,2
13,2,2
14,0,2
14,1,2
14,9,2
14,11,1
14,12,1
15,12,2
15,10,2
15,8,1
15,6,2
15,2,2
15,0,2
