well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,combo
A1,AqpZ,5.0,135.0,no_lipo,0.0,15.0,0.0,Control
A10,AqpZ,5.0,135.0,DOPC,3.0,15.0,0.0,Control
A11,Glut,5.0,135.0,DOPC,3.0,15.0,0.5,Experiment
A12,Glut,5.0,110.0,DOPC,3.0,25.0,1.0,Experiment
A13,Glut,5.0,110.0,no_lipo,0.0,15.0,0.5,Experiment
A14,Glut,5.0,135.0,DOPC,3.0,20.0,1.0,Experiment
A2,Glut,5.0,110.0,no_lipo,0.0,20.0,1.0,Experiment
A3,Glut,5.0,135.0,no_lipo,0.0,15.0,0.5,Experiment
A4,Glut,5.0,110.0,DOPC,3.0,20.0,0.0,Experiment
A5,Glut,5.0,135.0,no_lipo,0.0,15.0,0.0,Experiment
A6,AqpZ,5.0,85.0,DOPC,3.0,25.0,0.0,Control
A7,AqpZ,5.0,135.0,no_lipo,0.0,15.0,1.0,Control
A8,Glut,5.0,110.0,no_lipo,0.0,25.0,0.5,Experiment
A9,Glut,5.0,85.0,no_lipo,0.0,20.0,0.5,Experiment
B1,Glut,5.0,110.0,DOPC,3.0,25.0,0.5,Experiment
B10,Glut,5.0,135.0,DOPC,3.0,20.0,0.0,Experiment
B11,Glut,5.0,135.0,no_lipo,0.0,20.0,0.5,Experiment
B12,Glut,5.0,110.0,no_lipo,0.0,20.0,0.0,Experiment
B13,Glut,5.0,135.0,DOPC,3.0,25.0,0.5,Experiment
B14,AqpZ,5.0,135.0,no_lipo,0.0,15.0,1.0,Control
B2,Glut,5.0,85.0,DOPC,3.0,25.0,1.0,Experiment
B3,Glut,5.0,110.0,no_lipo,0.0,15.0,1.0,Experiment
B4,Glut,5.0,110.0,DOPC,3.0,20.0,0.5,Experiment
B5,Glut,5.0,110.0,no_lipo,0.0,25.0,1.0,Experiment
B6,Glut,5.0,135.0,no_lipo,0.0,20.0,1.0,Experiment
B7,Glut,5.0,85.0,DOPC,3.0,20.0,1.0,Experiment
B8,Glut,5.0,110.0,no_lipo,0.0,25.0,0.5,Experiment
B9,AqpZ,5.0,135.0,DOPC,3.0,15.0,0.0,Control
C1,Glut,5.0,135.0,DOPC,3.0,20.0,1.0,Experiment
C10,Glut,5.0,85.0,no_lipo,0.0,20.0,0.0,Experiment
C11,Glut,5.0,135.0,no_lipo,0.0,20.0,0.0,Experiment
C12,Glut,5.0,135.0,DOPC,3.0,25.0,0.0,Experiment
C13,AqpZ,5.0,85.0,no_lipo,0.0,15.0,0.0,Control
C2,Glut,5.0,110.0,DOPC,3.0,15.0,0.5,Experiment
C3,AqpZ,5.0,135.0,no_lipo,0.0,25.0,0.0,Control
C4,Glut,5.0,135.0,no_lipo,0.0,20.0,0.0,Experiment
C5,Glut,5.0,135.0,DOPC,3.0,15.0,1.0,Experiment
C6,Glut,5.0,85.0,no_lipo,0.0,15.0,0.5,Experiment
C7,Glut,5.0,110.0,DOPC,3.0,20.0,1.0,Experiment
C8,Glut,5.0,110.0,no_lipo,0.0,20.0,1.0,Experiment
C9,Glut,5.0,110.0,DOPC,3.0,15.0,0.5,Experiment
D1,Glut,5.0,85.0,no_lipo,0.0,25.0,0.5,Experiment
D10,AqpZ,5.0,135.0,DOPC,3.0,15.0,0.0,Control
D11,Glut,5.0,135.0,no_lipo,0.0,25.0,0.5,Experiment
D12,Glut,5.0,135.0,no_lipo,0.0,25.0,0.0,Experiment
D13,Glut,5.0,110.0,DOPC,3.0,20.0,0.5,Experiment
D2,Glut,5.0,85.0,no_lipo,0.0,20.0,0.0,Experiment
D3,AqpZ,5.0,85.0,DOPC,3.0,25.0,0.0,Control
D4,Glut,5.0,110.0,no_lipo,0.0,20.0,0.5,Experiment
D5,Glut,5.0,110.0,DOPC,3.0,20.0,0.0,Experiment
D6,Glut,5.0,110.0,no_lipo,0.0,20.0,0.5,Experiment
D7,AqpZ,5.0,85.0,no_lipo,0.0,15.0,1.0,Control
D8,AqpZ,5.0,135.0,DOPC,3.0,15.0,1.0,Control
D9,AqpZ,5.0,135.0,no_lipo,0.0,25.0,1.0,Control
E1,Glut,5.0,85.0,DOPC,3.0,20.0,0.5,Experiment
E10,Glut,5.0,85.0,no_lipo,0.0,25.0,0.0,Experiment
E11,Glut,5.0,135.0,DOPC,3.0,15.0,0.0,Experiment
E12,AqpZ,5.0,135.0,DOPC,3.0,15.0,1.0,Control
E13,Glut,5.0,85.0,no_lipo,0.0,25.0,1.0,Experiment
E2,Glut,5.0,85.0,no_lipo,0.0,20.0,1.0,Experiment
E3,Glut,5.0,85.0,DOPC,3.0,15.0,0.5,Experiment
E4,Glut,5.0,135.0,DOPC,3.0,20.0,0.0,Experiment
E5,AqpZ,5.0,135.0,no_lipo,0.0,25.0,1.0,Control
E6,Glut,5.0,85.0,DOPC,3.0,25.0,1.0,Experiment
E7,Glut,5.0,135.0,DOPC,3.0,20.0,0.5,Experiment
E8,Glut,5.0,110.0,no_lipo,0.0,15.0,0.0,Experiment
E9,Glut,5.0,110.0,DOPC,3.0,15.0,0.5,Experiment
F1,Glut,5.0,135.0,DOPC,3.0,25.0,0.0,Experiment
F10,Glut,5.0,110.0,no_lipo,0.0,25.0,0.5,Experiment
F11,AqpZ,5.0,85.0,no_lipo,0.0,25.0,0.0,Control
F12,Glut,5.0,85.0,DOPC,3.0,15.0,1.0,Experiment
F13,AqpZ,5.0,135.0,no_lipo,0.0,15.0,0.0,Control
F2,AqpZ,5.0,85.0,DOPC,3.0,15.0,1.0,Control
F3,Glut,5.0,135.0,DOPC,3.0,25.0,1.0,Experiment
F4,Glut,5.0,110.0,DOPC,3.0,25.0,0.0,Experiment
F5,Glut,5.0,110.0,no_lipo,0.0,25.0,1.0,Experiment
F6,Glut,5.0,85.0,DOPC,3.0,20.0,0.0,Experiment
F7,Glut,5.0,85.0,DOPC,3.0,20.0,0.0,Experiment
F8,Glut,5.0,135.0,DOPC,3.0,20.0,0.5,Experiment
F9,Glut,5.0,85.0,no_lipo,0.0,25.0,0.0,Experiment
G1,Glut,5.0,135.0,DOPC,3.0,15.0,0.5,Experiment
G10,Glut,5.0,85.0,no_lipo,0.0,20.0,0.0,Experiment
G11,AqpZ,5.0,135.0,no_lipo,0.0,25.0,1.0,Control
G12,Glut,5.0,85.0,no_lipo,0.0,25.0,1.0,Experiment
G13,AqpZ,5.0,85.0,no_lipo,0.0,15.0,0.0,Control
G2,AqpZ,5.0,85.0,DOPC,3.0,15.0,0.0,Control
G3,Glut,5.0,135.0,no_lipo,0.0,25.0,0.5,Experiment
G4,Glut,5.0,135.0,no_lipo,0.0,25.0,0.0,Experiment
G5,AqpZ,5.0,85.0,DOPC,3.0,15.0,1.0,Control
G6,Glut,5.0,85.0,no_lipo,0.0,20.0,0.5,Experiment
G7,AqpZ,5.0,135.0,DOPC,3.0,25.0,0.0,Control
G8,Glut,5.0,85.0,no_lipo,0.0,25.0,0.0,Experiment
G9,Glut,5.0,135.0,no_lipo,0.0,25.0,1.0,Experiment
H1,Glut,5.0,110.0,DOPC,3.0,25.0,0.0,Experiment
H10,Glut,5.0,85.0,no_lipo,0.0,25.0,0.5,Experiment
H11,AqpZ,5.0,85.0,DOPC,3.0,15.0,0.0,Control
H12,Glut,5.0,135.0,no_lipo,0.0,20.0,1.0,Experiment
H13,Glut,5.0,135.0,DOPC,3.0,25.0,0.5,Experiment
H2,Glut,5.0,85.0,no_lipo,0.0,15.0,0.5,Experiment
H3,Glut,5.0,110.0,no_lipo,0.0,25.0,0.0,Experiment
H4,Glut,5.0,135.0,DOPC,3.0,20.0,0.5,Experiment
H5,Glut,5.0,85.0,no_lipo,0.0,15.0,1.0,Experiment
H6,Glut,5.0,135.0,no_lipo,0.0,15.0,1.0,Experiment
H7,Glut,5.0,85.0,DOPC,3.0,25.0,0.5,Experiment
H8,Glut,5.0,135.0,no_lipo,0.0,20.0,0.5,Experiment
H9,Glut,5.0,85.0,DOPC,3.0,15.0,1.0,Experiment
I1,Glut,5.0,85.0,DOPC,3.0,15.0,0.5,Experiment
I10,Glut,5.0,135.0,DOPC,3.0,20.0,1.0,Experiment
I11,Glut,5.0,110.0,DOPC,3.0,15.0,0.0,Experiment
