Row,Column,Droplet
0,0,4
0,1,4
0,3,4
0,4,4
0,5,4
0,10,4
0,14,4
0,16,4
0,20,4
0,21,4
1,21,4
1,20,4
1,17,4
1,15,4
1,14,4
1,11,4
1,9,4
1,8,4
1,7,4
1,4,4
1,0,4
2,1,4
2,5,4
2,11,4
2,12,4
2,13,4
2,14,4
2,19,4
2,20,4
3,19,4
3,14,4
3,13,4
3,9,4
3,8,4
3,5,4
3,3,4
3,2,4
3,0,4
4,6,4
4,8,4
4,12,4
4,13,4
4,19,4
4,21,4
5,20,4
5,19,4
5,18,4
5,15,4
5,14,4
5,13,4
5,11,4
5,10,4
5,8,4
5,7,4
5,5,4
5,1,4
6,2,4
6,3,4
6,4,4
6,6,4
6,7,4
6,8,4
6,9,4
6,10,4
6,13,4
6,14,4
6,15,4
6,16,4
6,18,4
6,20,4
7,21,4
7,19,4
7,13,4
7,11,4
7,9,4
7,8,4
7,7,4
7,5,4
7,3,4
7,2,4
7,0,4
8,0,4
8,5,4
8,8,4
8,9,4
8,10,4
8,11,4
8,14,4
8,15,4
8,17,4
8,18,4
8,19,4
9,16,4
9,15,4
9,14,4
9,10,4
9,9,4
9,8,4
9,6,4
9,5,4
9,4,4
9,2,4
9,0,4
10,4,4
10,5,4
10,7,4
10,10,4
10,12,4
10,13,4
10,14,4
10,15,4
10,16,4
10,17,4
10,20,4
10,21,4
11,21,4
11,20,4
11,19,4
11,14,4
11,12,4
11,6,4
11,2,4
11,1,4
12,0,4
12,3,4
12,4,4
12,6,4
12,7,4
12,8,4
12,11,4
12,12,4
12,17,4
12,21,4
13,19,4
13,18,4
13,17,4
13,16,4
13,15,4
13,14,4
13,11,4
13,9,4
13,8,4
13,7,4
13,4,4
13,3,4
13,2,4
14,0,4
14,1,4
14,3,4
14,4,4
14,5,4
14,6,4
14,7,4
14,8,4
14,9,4
14,10,4
14,11,4
14,12,4
14,13,4
14,14,4
14,18,4
14,19,4
14,21,4
15,21,4
15,19,4
15,16,4
15,15,4
15,14,4
15,13,4
15,12,4
15,11,4
15,7,4
15,4,4
15,3,4
15,2,4
15,0,4
