Row,Column,Droplet
0,1,4
0,2,8
0,4,4
0,5,4
0,6,4
0,7,4
0,8,8
0,9,8
0,11,8
0,12,8
0,13,8
0,14,4
0,15,8
0,17,8
0,18,4
0,19,8
0,20,4
0,21,4
1,19,4
1,18,8
1,16,4
1,15,4
1,13,4
1,12,8
1,11,4
1,10,8
1,9,4
1,8,4
1,7,4
1,6,8
1,5,4
1,3,8
1,2,8
1,1,8
2,0,8
2,2,4
2,3,4
2,4,4
2,5,4
2,6,8
2,7,4
2,8,8
2,9,4
2,10,8
2,12,4
2,13,4
2,15,4
2,16,4
2,17,8
2,18,8
2,21,4
3,21,4
3,20,4
3,18,8
3,17,4
3,16,8
3,15,4
3,14,4
3,12,8
3,11,8
3,10,8
3,9,4
3,8,4
3,7,8
3,6,8
3,4,4
3,1,8
4,0,4
4,1,8
4,2,8
4,3,8
4,4,8
4,5,8
4,6,4
4,7,8
4,9,4
4,10,4
4,11,8
4,12,4
4,14,4
4,15,4
4,16,8
4,17,4
4,18,4
4,20,8
4,21,4
5,21,8
5,20,4
5,18,4
5,17,4
5,16,4
5,15,4
5,13,4
5,12,8
5,9,8
5,8,4
5,6,4
5,4,8
5,3,4
5,2,4
5,0,8
6,0,4
6,1,8
6,2,4
6,3,4
6,4,4
6,5,4
6,6,4
6,7,4
6,8,4
6,10,4
6,11,4
6,12,4
6,13,4
6,15,4
6,16,4
6,17,8
6,18,4
6,19,8
6,20,4
6,21,4
7,20,4
7,18,8
7,17,4
7,16,4
7,15,4
7,14,4
7,12,4
7,10,8
7,8,4
7,6,8
7,4,4
7,2,4
7,1,8
7,0,4
8,0,4
8,1,4
8,2,8
8,3,4
8,4,8
8,5,4
8,6,4
8,7,4
8,8,4
8,12,8
8,13,4
8,14,4
8,15,4
8,16,8
8,18,4
8,20,8
8,21,4
9,21,8
9,20,4
9,19,8
9,18,8
9,17,4
9,16,4
9,13,8
9,12,8
9,11,8
9,10,4
9,9,4
9,7,4
9,5,4
9,3,4
9,1,4
10,0,4
10,1,8
10,2,4
10,3,4
10,5,4
10,6,8
10,8,4
10,9,8
10,11,8
10,16,4
10,17,4
10,18,8
10,19,4
10,21,4
11,20,4
11,19,4
11,18,4
11,17,8
11,16,4
11,15,8
11,13,4
11,12,4
11,11,4
11,10,4
11,9,4
11,8,4
11,7,8
11,6,4
11,5,8
11,4,8
11,3,8
11,2,4
11,1,4
11,0,4
12,0,4
12,1,4
12,2,4
12,3,4
12,5,4
12,6,4
12,7,4
12,8,4
12,9,8
12,10,8
12,11,4
12,13,8
12,14,4
12,15,8
12,16,4
12,17,4
12,18,8
12,19,4
12,20,8
13,21,4
13,20,8
13,19,4
13,18,4
13,17,4
13,16,4
13,14,4
13,13,4
13,12,8
13,10,4
13,9,4
13,6,8
13,5,4
13,1,8
13,0,4
14,0,4
14,1,4
14,2,4
14,6,4
14,7,4
14,9,4
14,10,4
14,14,4
14,15,4
14,16,8
14,17,4
14,18,4
14,19,4
14,20,8
15,21,4
15,20,8
15,18,8
15,17,4
15,16,4
15,15,4
15,14,4
15,12,4
15,10,4
15,9,4
15,8,4
15,6,4
15,5,8
15,4,4
15,1,4
