well_name,SecY-G,Ffh,FtsY,K,Liposome_name,Liposome_conc,Mg,SecE,buffer,combo
A1,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
A10,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
A11,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
A12,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
A13,0.0,0.0,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,Blank
A14,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
A15,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
A16,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
A17,0.0,0.6,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,Blank
A18,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
A19,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
A2,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
A20,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
A21,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
A22,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
A3,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
A4,0.0,0.6,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,Blank
A5,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
A6,0.0,0.6,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,Blank
A7,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
A8,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
A9,0.0,0.0,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,Blank
B1,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
B10,0.0,0.6,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,Blank
B11,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
B12,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
B13,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
B14,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
B15,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
B16,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
B17,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
B18,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
B19,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
B2,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
B20,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
B21,0.0,0.6,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,Blank
B22,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
B3,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
B4,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
B5,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
B6,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
B7,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
B8,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
B9,0.0,0.6,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,Blank
C1,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
C10,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
C11,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
C12,0.0,0.6,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,Blank
C13,0.0,0.6,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,Blank
C14,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
C15,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
C16,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
C17,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
C18,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
C19,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
C2,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
C20,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
C21,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
C22,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
C3,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
C4,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
C5,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
C6,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
C7,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
C8,0.0,0.0,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,Blank
C9,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
D1,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
D10,0.0,0.6,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,Blank
D11,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
D12,0.0,0.0,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,Blank
D13,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
D14,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
D15,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
D16,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
D17,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
D18,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
D19,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
D2,0.0,0.0,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,Blank
D20,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
