Row,Column,Droplet
1,21,2
1,18,2
1,15,2
1,12,2
1,9,2
1,6,2
1,3,2
1,0,2
2,4,2
2,10,2
2,16,2
2,22,2
3,20,2
3,18,2
3,14,2
3,12,2
3,8,2
3,6,2
3,2,2
3,0,2
4,0,2
4,2,2
4,4,2
4,6,2
4,8,2
4,10,2
4,12,2
4,14,2
4,16,2
4,18,2
4,20,2
4,22,2
5,23,2
5,17,2
5,11,2
5,5,2
6,3,2
6,5,2
6,9,2
6,11,2
6,15,2
6,17,2
6,21,2
6,23,2
7,21,2
7,15,2
7,9,2
7,3,2
9,18,2
9,12,2
9,6,2
9,0,2
10,3,2
10,9,2
10,15,2
10,21,2
11,22,2
11,21,2
11,16,2
11,15,2
11,10,2
11,9,2
11,4,2
11,3,2
14,1,2
14,3,2
14,7,2
14,9,2
14,13,2
14,15,2
14,19,2
14,21,2
