Row,Column,Droplet
0,5,2
0,11,2
0,17,2
0,23,2
1,22,2
1,19,2
1,16,2
1,13,2
1,10,2
1,7,2
1,4,2
1,1,2
4,3,2
4,9,2
4,15,2
4,21,2
5,20,2
5,14,2
5,8,2
5,2,2
6,0,2
6,1,2
6,4,2
6,6,2
6,7,2
6,10,2
6,12,2
6,13,2
6,16,2
6,18,2
6,19,2
6,22,2
7,19,2
7,13,2
7,7,2
7,1,2
8,0,2
8,1,2
8,6,2
8,7,2
8,12,2
8,13,2
8,18,2
8,19,2
10,1,2
10,4,2
10,7,2
10,10,2
10,13,2
10,16,2
10,19,2
10,22,2
11,19,2
11,18,2
11,13,2
11,12,2
11,7,2
11,6,2
11,1,2
11,0,2
12,1,2
12,7,2
12,13,2
12,19,2
13,22,2
13,16,2
13,10,2
13,4,2
15,19,2
15,13,2
15,7,2
15,1,2
