well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,combo,Mg
A1,Neu,5,110,no_lipo,0,BSA-0,15
A10,MtlA,5,135,no_lipo,0,BSA-20,15
A11,Blank,0,85,no_lipo,0,BSA-20,15
A12,SecYE,5,85,DOPC,3,BSA-20,15
A13,Neu,5,110,no_lipo,0,BSA-40,15
A14,Neu,5,135,DOPC,3,BSA-40,15
A15,Blank,0,135,no_lipo,0,BSA-40,15
A16,MtlA,5,135,no_lipo,0,BSA-40,15
A17,Blank,0,85,no_lipo,0,BSA-40,15
A18,SecYE,5,85,DOPC,3,BSA-40,15
A19,Neu,5,110,no_lipo,0,BSA-5,15
A2,Neu,5,135,DOPC,3,BSA-0,15
A20,Neu,5,135,DOPC,3,BSA-5,15
A21,Blank,0,135,no_lipo,0,BSA-5,15
A22,MtlA,5,135,no_lipo,0,BSA-5,15
A23,Blank,0,85,no_lipo,0,BSA-5,15
A24,SecYE,5,85,DOPC,3,BSA-5,15
A3,Blank,0,135,no_lipo,0,BSA-0,15
A4,MtlA,5,135,no_lipo,0,BSA-0,15
A5,Blank,0,85,no_lipo,0,BSA-0,15
A6,SecYE,5,85,DOPC,3,BSA-0,15
A7,Neu,5,110,no_lipo,0,BSA-20,15
A8,Neu,5,135,DOPC,3,BSA-20,15
A9,Blank,0,135,no_lipo,0,BSA-20,15
B1,Cat,5,110,no_lipo,0,BSA-0,15
B10,Cat,5,85,no_lipo,0,BSA-20,15
B11,SecYE,5,85,no_lipo,0,BSA-20,15
B12,Neu,5,110,DOPC,3,BSA-20,15
B13,Cat,5,110,no_lipo,0,BSA-40,15
B14,SecYE,5,85,DOPC,3,BSA-40,15
B15,Blank,0,135,DOPC,3,BSA-40,15
B16,Cat,5,85,no_lipo,0,BSA-40,15
B17,SecYE,5,85,no_lipo,0,BSA-40,15
B18,Neu,5,110,DOPC,3,BSA-40,15
B19,Cat,5,110,no_lipo,0,BSA-5,15
B2,SecYE,5,85,DOPC,3,BSA-0,15
B20,SecYE,5,85,DOPC,3,BSA-5,15
B21,Blank,0,135,DOPC,3,BSA-5,15
B22,Cat,5,85,no_lipo,0,BSA-5,15
B23,SecYE,5,85,no_lipo,0,BSA-5,15
B24,Neu,5,110,DOPC,3,BSA-5,15
B3,Blank,0,135,DOPC,3,BSA-0,15
B4,Cat,5,85,no_lipo,0,BSA-0,15
B5,SecYE,5,85,no_lipo,0,BSA-0,15
B6,Neu,5,110,DOPC,3,BSA-0,15
B7,Cat,5,110,no_lipo,0,BSA-20,15
B8,SecYE,5,85,DOPC,3,BSA-20,15
B9,Blank,0,135,DOPC,3,BSA-20,15
C1,Blank,0,110,DOPC,3,BSA-0,15
C10,Blank,0,135,no_lipo,0,BSA-20,15
C11,Cat,5,85,no_lipo,0,BSA-20,15
C12,Blank,0,85,no_lipo,0,BSA-20,15
C13,Blank,0,110,DOPC,3,BSA-40,15
C14,Neu,5,85,DOPC,3,BSA-40,15
C15,MtlA,5,110,DOPC,3,BSA-40,15
C16,Blank,0,135,no_lipo,0,BSA-40,15
C17,Cat,5,85,no_lipo,0,BSA-40,15
C18,Blank,0,85,no_lipo,0,BSA-40,15
C19,Blank,0,110,DOPC,3,BSA-5,15
C2,Neu,5,85,DOPC,3,BSA-0,15
C20,Neu,5,85,DOPC,3,BSA-5,15
C21,MtlA,5,110,DOPC,3,BSA-5,15
C22,Blank,0,135,no_lipo,0,BSA-5,15
C23,Cat,5,85,no_lipo,0,BSA-5,15
C24,Blank,0,85,no_lipo,0,BSA-5,15
C3,MtlA,5,110,DOPC,3,BSA-0,15
