well_name,DNA_name,DNA_conc,K,DOPC,Mg,combo
A1,deGFP,5,85,3,20,50
A10,deGFP,5,135,3,15,100
A11,Cat,5,85,3,20,100
A12,MtlA,5,135,3,10,100
A13,CD47,5,85,3,15,100
A14,Cat,5,135,3,15,100
A15,deGFP,5,85,3,20,200
A16,deGFP,5,135,3,10,200
A17,deGFP,5,135,3,15,200
A18,Cat,5,85,3,20,200
A19,MtlA,5,135,3,10,200
A2,deGFP,5,135,3,10,50
A20,CD47,5,85,3,15,200
A21,Cat,5,135,3,15,200
A3,deGFP,5,135,3,15,50
A4,Cat,5,85,3,20,50
A5,MtlA,5,135,3,10,50
A6,CD47,5,85,3,15,50
A7,Cat,5,135,3,15,50
A8,deGFP,5,85,3,20,100
A9,deGFP,5,135,3,10,100
B1,deGFP,5,85,3,10,50
B10,SecYE,5,85,3,15,100
B11,deGFP,5,135,3,20,100
B12,MtlA,5,135,3,20,100
B13,AqpZ,5,85,3,15,100
B14,AqpZ,5,85,3,10,100
B15,deGFP,5,85,3,10,200
B16,Cat,5,85,3,20,200
B17,SecYE,5,85,3,15,200
B18,deGFP,5,135,3,20,200
B19,MtlA,5,135,3,20,200
B2,Cat,5,85,3,20,50
B20,AqpZ,5,85,3,15,200
B21,AqpZ,5,85,3,10,200
B3,SecYE,5,85,3,15,50
B4,deGFP,5,135,3,20,50
B5,MtlA,5,135,3,20,50
B6,AqpZ,5,85,3,15,50
B7,AqpZ,5,85,3,10,50
B8,deGFP,5,85,3,10,100
B9,Cat,5,85,3,20,100
C1,MtlA,5,135,3,20,50
C10,SecYE,5,135,3,15,100
C11,CD47,5,85,3,20,100
C12,MtlA,5,85,3,15,100
C13,MtlA,5,135,3,10,100
C14,deGFP,5,85,3,15,100
C15,MtlA,5,135,3,20,200
C16,MtlA,5,135,3,15,200
C17,SecYE,5,135,3,15,200
C18,CD47,5,85,3,20,200
C19,MtlA,5,85,3,15,200
C2,MtlA,5,135,3,15,50
C20,MtlA,5,135,3,10,200
C21,deGFP,5,85,3,15,200
C3,SecYE,5,135,3,15,50
C4,CD47,5,85,3,20,50
C5,MtlA,5,85,3,15,50
C6,MtlA,5,135,3,10,50
C7,deGFP,5,85,3,15,50
C8,MtlA,5,135,3,20,100
C9,MtlA,5,135,3,15,100
D1,MtlA,5,85,3,15,50
D10,CD47,5,135,3,10,100
D11,CD47,5,85,3,20,100
D12,SecYE,5,135,3,20,100
D13,deGFP,5,135,3,20,100
D14,AqpZ,5,85,3,20,100
D15,MtlA,5,85,3,15,200
D16,SecYE,5,135,3,10,200
D17,CD47,5,135,3,10,200
D18,CD47,5,85,3,20,200
D19,SecYE,5,135,3,20,200
D2,SecYE,5,135,3,10,50
D20,deGFP,5,135,3,20,200
D21,AqpZ,5,85,3,20,200
D3,CD47,5,135,3,10,50
D4,CD47,5,85,3,20,50
D5,SecYE,5,135,3,20,50
D6,deGFP,5,135,3,20,50
D7,AqpZ,5,85,3,20,50
D8,MtlA,5,85,3,15,100
D9,SecYE,5,135,3,10,100
E1,CD47,5,85,3,20,50
E10,AqpZ,5,85,3,10,100
E11,MtlA,5,85,3,10,100
E12,CD47,5,135,3,20,100
E13,deGFP,5,85,3,20,100
E14,CD47,5,135,3,20,100
E15,CD47,5,85,3,20,200
E16,AqpZ,5,85,3,15,200
E17,AqpZ,5,85,3,10,200
E18,MtlA,5,85,3,10,200
E19,CD47,5,135,3,20,200
E2,AqpZ,5,85,3,15,50
E20,deGFP,5,85,3,20,200
E21,CD47,5,135,3,20,200
E3,AqpZ,5,85,3,10,50
E4,MtlA,5,85,3,10,50
E5,CD47,5,135,3,20,50
E6,deGFP,5,85,3,20,50
E7,CD47,5,135,3,20,50
E8,CD47,5,85,3,20,100
E9,AqpZ,5,85,3,15,100
F1,CD47,5,135,3,20,50
F10,Cat,5,135,3,20,100
F11,MtlA,5,85,3,10,100
F12,CD47,5,135,3,15,100
F13,Cat,5,135,3,10,100
F14,deGFP,5,135,3,10,100
F15,CD47,5,135,3,20,200
F16,Cat,5,135,3,15,200
F17,Cat,5,135,3,20,200
F18,MtlA,5,85,3,10,200
F19,CD47,5,135,3,15,200
F2,Cat,5,135,3,15,50
F20,Cat,5,135,3,10,200
F21,deGFP,5,135,3,10,200
F3,Cat,5,135,3,20,50
F4,MtlA,5,85,3,10,50
F5,CD47,5,135,3,15,50
F6,Cat,5,135,3,10,50
F7,deGFP,5,135,3,10,50
F8,CD47,5,135,3,20,100
F9,Cat,5,135,3,15,100
G1,deGFP,5,85,3,15,50
G10,Cat,5,85,3,15,100
G11,deGFP,5,135,3,15,100
G12,CD47,5,85,3,10,100
G13,Cat,5,85,3,15,100
G14,MtlA,5,135,3,20,100
G15,deGFP,5,85,3,15,200
G16,Cat,5,135,3,10,200
G17,Cat,5,85,3,15,200
G18,deGFP,5,135,3,15,200
G19,CD47,5,85,3,10,200
G2,Cat,5,135,3,10,50
G20,Cat,5,85,3,15,200
G21,MtlA,5,135,3,20,200
G3,Cat,5,85,3,15,50
G4,deGFP,5,135,3,15,50
G5,CD47,5,85,3,10,50
G6,Cat,5,85,3,15,50
G7,MtlA,5,135,3,20,50
G8,deGFP,5,85,3,15,100
G9,Cat,5,135,3,10,100
H1,MtlA,5,85,3,20,50
H10,SecYE,5,85,3,15,100
H11,SecYE,5,85,3,10,100
H12,CD47,5,135,3,10,100
H13,SecYE,5,85,3,10,100
H14,CD47,5,135,3,15,100
H15,MtlA,5,85,3,20,200
