Row,Column,Droplet
0,0,4
0,1,2
0,3,4
0,4,2
0,6,4
0,7,2
0,9,4
0,10,2
1,11,2
1,8,2
1,5,2
1,2,2
2,0,2
2,1,4
2,2,4
2,3,2
2,4,4
2,5,4
2,6,2
2,7,4
2,8,4
2,9,2
2,10,4
2,11,4
3,11,4
3,10,2
3,9,4
3,8,4
3,7,2
3,6,4
3,5,4
3,4,2
3,3,4
3,2,4
3,1,2
3,0,4
4,0,4
4,3,4
4,6,4
4,9,4
5,11,4
5,9,2
5,8,4
5,6,2
5,5,4
5,3,2
5,2,4
5,0,2
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,2
6,10,2
6,11,2
7,11,2
7,10,2
7,8,2
7,7,2
7,5,2
7,4,2
7,2,2
7,1,2
8,0,4
8,2,2
8,3,4
8,5,2
8,6,4
8,8,2
8,9,4
8,11,2
10,1,4
10,2,2
10,4,4
10,5,2
10,7,4
10,8,2
10,10,4
10,11,2
11,11,4
11,8,4
11,5,4
11,2,4
12,0,4
12,1,2
12,3,4
12,4,2
12,6,4
12,7,2
12,9,4
12,10,2
13,10,4
13,9,4
13,7,4
13,6,4
13,4,4
13,3,4
13,1,4
13,0,4
14,0,4
14,1,2
14,3,4
14,4,2
14,6,4
14,7,2
14,9,4
14,10,2
15,10,2
15,9,4
15,7,2
15,6,4
15,4,2
15,3,4
15,1,2
15,0,4
