well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,combo,K
A1,SecYE,5,DOPC,3,20,50,85
A10,MtlA,5,DOPC,3,15,100,85
A11,CD47,5,DOPC,3,20,100,85
A12,MtlA,5,no_lipo,0,20,100,85
A13,Blank,0,DOPC,3,15,100,85
A14,CD47,5,no_lipo,0,15,100,85
A15,SecYE,5,DOPC,3,20,200,85
A16,MtlA,5,DOPC,3,10,200,85
A17,MtlA,5,DOPC,3,15,200,85
A18,CD47,5,DOPC,3,20,200,85
A19,MtlA,5,no_lipo,0,20,200,85
A2,MtlA,5,DOPC,3,10,50,85
A20,Blank,0,DOPC,3,15,200,85
A21,CD47,5,no_lipo,0,15,200,85
A3,MtlA,5,DOPC,3,15,50,85
A4,CD47,5,DOPC,3,20,50,85
A5,MtlA,5,no_lipo,0,20,50,85
A6,Blank,0,DOPC,3,15,50,85
A7,CD47,5,no_lipo,0,15,50,85
A8,SecYE,5,DOPC,3,20,100,85
A9,MtlA,5,DOPC,3,10,100,85
B1,SecYE,5,no_lipo,0,10,50,85
B10,Cat,5,DOPC,3,15,100,85
B11,Cat,5,no_lipo,0,20,100,85
B12,MtlA,5,no_lipo,0,20,100,85
B13,AqpZ,5,DOPC,3,15,100,85
B14,AqpZ,5,DOPC,3,10,100,85
B15,SecYE,5,no_lipo,0,10,200,85
B16,CD47,5,DOPC,3,20,200,85
B17,Cat,5,DOPC,3,15,200,85
B18,Cat,5,no_lipo,0,20,200,85
B19,MtlA,5,no_lipo,0,20,200,85
B2,CD47,5,DOPC,3,20,50,85
B20,AqpZ,5,DOPC,3,15,200,85
B21,AqpZ,5,DOPC,3,10,200,85
B3,Cat,5,DOPC,3,15,50,85
B4,Cat,5,no_lipo,0,20,50,85
B5,MtlA,5,no_lipo,0,20,50,85
B6,AqpZ,5,DOPC,3,15,50,85
B7,AqpZ,5,DOPC,3,10,50,85
B8,SecYE,5,no_lipo,0,10,100,85
B9,CD47,5,DOPC,3,20,100,85
C1,Cat,5,no_lipo,0,20,50,85
C10,MtlA,5,DOPC,3,15,100,85
C11,Blank,0,DOPC,3,20,100,85
C12,MtlA,5,no_lipo,0,20,100,85
C13,Cat,5,no_lipo,0,10,100,85
C14,SecYE,5,DOPC,3,15,100,85
C15,Cat,5,no_lipo,0,20,200,85
C16,SecYE,5,no_lipo,0,20,200,85
C17,MtlA,5,DOPC,3,15,200,85
C18,Blank,0,DOPC,3,20,200,85
C19,MtlA,5,no_lipo,0,20,200,85
C2,SecYE,5,no_lipo,0,20,50,85
C20,Cat,5,no_lipo,0,10,200,85
C21,SecYE,5,DOPC,3,15,200,85
C3,MtlA,5,DOPC,3,15,50,85
C4,Blank,0,DOPC,3,20,50,85
C5,MtlA,5,no_lipo,0,20,50,85
C6,Cat,5,no_lipo,0,10,50,85
C7,SecYE,5,DOPC,3,15,50,85
C8,Cat,5,no_lipo,0,20,100,85
C9,SecYE,5,no_lipo,0,20,100,85
D1,SecYE,5,DOPC,3,15,50,85
D10,Blank,0,no_lipo,0,10,100,85
D11,Blank,0,DOPC,3,20,100,85
D12,MtlA,5,no_lipo,0,15,100,85
D13,MtlA,5,DOPC,3,20,100,85
D14,AqpZ,5,DOPC,3,20,100,85
D15,SecYE,5,DOPC,3,15,200,85
D16,Cat,5,no_lipo,0,10,200,85
D17,Blank,0,no_lipo,0,10,200,85
D18,Blank,0,DOPC,3,20,200,85
D19,MtlA,5,no_lipo,0,15,200,85
D2,Cat,5,no_lipo,0,10,50,85
D20,MtlA,5,DOPC,3,20,200,85
D21,AqpZ,5,DOPC,3,20,200,85
D3,Blank,0,no_lipo,0,10,50,85
D4,Blank,0,DOPC,3,20,50,85
D5,MtlA,5,no_lipo,0,15,50,85
D6,MtlA,5,DOPC,3,20,50,85
D7,AqpZ,5,DOPC,3,20,50,85
D8,SecYE,5,DOPC,3,15,100,85
D9,Cat,5,no_lipo,0,10,100,85
E1,Blank,0,DOPC,3,20,50,85
E10,AqpZ,5,DOPC,3,10,100,85
E11,SecYE,5,no_lipo,0,20,100,85
E12,Blank,0,no_lipo,0,20,100,85
E13,SecYE,5,no_lipo,0,10,100,85
E14,Blank,0,no_lipo,0,20,100,85
E15,Blank,0,DOPC,3,20,200,85
E16,AqpZ,5,DOPC,3,15,200,85
E17,AqpZ,5,DOPC,3,10,200,85
E18,SecYE,5,no_lipo,0,20,200,85
E19,Blank,0,no_lipo,0,20,200,85
E2,AqpZ,5,DOPC,3,15,50,85
E20,SecYE,5,no_lipo,0,10,200,85
E21,Blank,0,no_lipo,0,20,200,85
E3,AqpZ,5,DOPC,3,10,50,85
E4,SecYE,5,no_lipo,0,20,50,85
E5,Blank,0,no_lipo,0,20,50,85
E6,SecYE,5,no_lipo,0,10,50,85
E7,Blank,0,no_lipo,0,20,50,85
E8,Blank,0,DOPC,3,20,100,85
E9,AqpZ,5,DOPC,3,15,100,85
F1,Blank,0,no_lipo,0,20,50,85
F10,CD47,5,no_lipo,0,20,100,85
F11,Cat,5,DOPC,3,10,100,85
F12,Blank,0,no_lipo,0,15,100,85
F13,CD47,5,no_lipo,0,10,100,85
F14,MtlA,5,no_lipo,0,10,100,85
F15,Blank,0,no_lipo,0,20,200,85
F16,CD47,5,no_lipo,0,15,200,85
F17,CD47,5,no_lipo,0,20,200,85
F18,Cat,5,DOPC,3,10,200,85
F19,Blank,0,no_lipo,0,15,200,85
F2,CD47,5,no_lipo,0,15,50,85
F20,CD47,5,no_lipo,0,10,200,85
F21,MtlA,5,no_lipo,0,10,200,85
F3,CD47,5,no_lipo,0,20,50,85
F4,Cat,5,DOPC,3,10,50,85
F5,Blank,0,no_lipo,0,15,50,85
F6,CD47,5,no_lipo,0,10,50,85
F7,MtlA,5,no_lipo,0,10,50,85
F8,Blank,0,no_lipo,0,20,100,85
F9,CD47,5,no_lipo,0,15,100,85
G1,MtlA,5,no_lipo,0,10,50,85
G10,CD47,5,DOPC,3,15,100,85
G11,Cat,5,no_lipo,0,15,100,85
G12,Blank,0,DOPC,3,10,100,85
G13,CD47,5,DOPC,3,15,100,85
G14,MtlA,5,DOPC,3,20,100,85
G15,MtlA,5,no_lipo,0,10,200,85
G16,CD47,5,no_lipo,0,10,200,85
G17,CD47,5,DOPC,3,15,200,85
G18,Cat,5,no_lipo,0,15,200,85
G19,Blank,0,DOPC,3,10,200,85
G2,CD47,5,no_lipo,0,10,50,85
G20,CD47,5,DOPC,3,15,200,85
G21,MtlA,5,DOPC,3,20,200,85
G3,CD47,5,DOPC,3,15,50,85
G4,Cat,5,no_lipo,0,15,50,85
G5,Blank,0,DOPC,3,10,50,85
G6,CD47,5,DOPC,3,15,50,85
G7,MtlA,5,DOPC,3,20,50,85
G8,MtlA,5,no_lipo,0,10,100,85
G9,CD47,5,no_lipo,0,10,100,85
H1,Cat,5,DOPC,3,20,50,85
H10,SecYE,5,DOPC,3,15,100,85
H11,Cat,5,DOPC,3,10,100,85
H12,Blank,0,no_lipo,0,10,100,85
H13,SecYE,5,DOPC,3,10,100,85
H14,Blank,0,no_lipo,0,15,100,85
H15,Cat,5,DOPC,3,20,200,85
H16,AqpZ,5,no_lipo,0,15,200,85
H17,SecYE,5,DOPC,3,15,200,85
H18,Cat,5,DOPC,3,10,200,85
H19,Blank,0,no_lipo,0,10,200,85
H2,AqpZ,5,no_lipo,0,15,50,85
H20,SecYE,5,DOPC,3,10,200,85
H21,Blank,0,no_lipo,0,15,200,85
H3,SecYE,5,DOPC,3,15,50,85
H4,Cat,5,DOPC,3,10,50,85
H5,Blank,0,no_lipo,0,10,50,85
H6,SecYE,5,DOPC,3,10,50,85
H7,Blank,0,no_lipo,0,15,50,85
H8,Cat,5,DOPC,3,20,100,85
H9,AqpZ,5,no_lipo,0,15,100,85
I1,Blank,0,DOPC,3,15,50,85
I10,SecYE,5,no_lipo,0,20,100,85
I11,CD47,5,no_lipo,0,15,100,85
I12,MtlA,5,no_lipo,0,10,100,85
I13,SecYE,5,DOPC,3,10,100,85
I14,Cat,5,no_lipo,0,15,100,85
I15,Blank,0,DOPC,3,15,200,85
I16,MtlA,5,no_lipo,0,15,200,85
I17,SecYE,5,no_lipo,0,20,200,85
I18,CD47,5,no_lipo,0,15,200,85
I19,MtlA,5,no_lipo,0,10,200,85
I2,MtlA,5,no_lipo,0,15,50,85
I20,SecYE,5,DOPC,3,10,200,85
I21,Cat,5,no_lipo,0,15,200,85
