Row,Column,Droplet
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
1,22,2
1,21,2
1,20,2
1,19,2
1,18,2
1,17,2
2,17,2
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
3,22,2
3,21,2
3,20,2
3,19,2
3,18,2
3,17,2
4,17,2
4,18,2
4,19,2
4,20,2
4,21,2
4,22,2
5,22,2
5,21,2
5,20,2
5,19,2
5,18,2
5,17,2
6,17,2
6,18,2
6,19,2
6,20,2
6,21,2
6,22,2
7,22,2
7,21,2
7,20,2
7,19,2
7,18,2
7,17,2
8,17,2
8,18,2
8,19,2
8,20,2
8,21,2
8,22,2
9,22,2
9,21,2
9,20,2
9,19,2
9,18,2
9,17,2
10,17,2
10,18,2
10,19,2
10,20,2
10,21,2
10,22,2
11,22,2
11,21,2
11,20,2
11,19,2
11,18,2
11,17,2
12,17,2
12,18,2
12,19,2
12,20,2
12,21,2
12,22,2
13,21,2
13,20,2
13,18,2
13,17,2
14,17,2
14,18,2
14,20,2
14,21,2
15,21,2
15,20,2
15,18,2
15,17,2
